  0.008854, BNO0_UnitAccX, BNO0_UnitAccY, BNO0_UnitAccZ, BNO0_RawAccMag, BNO0_GyrX, BNO0_GyrY, BNO0_GyrZ, BNO0_MagX, BNO0_MagY, BNO0_MagZ, BNO1_UnitAccX, BNO1_UnitAccY, BNO1_UnitAccZ, BNO1_RawAccMag, BNO1_GyrX, BNO1_GyrY, BNO1_GyrZ, BNO1_MagX, BNO1_MagY, BNO1_MagZ, BNO2_UnitAccX, BNO2_UnitAccY, BNO2_UnitAccZ, BNO2_RawAccMag, BNO2_GyrX, BNO2_GyrY, BNO2_GyrZ, BNO2_MagX, BNO2_MagY, BNO2_MagZ, BNO3_UnitAccX, BNO3_UnitAccY, BNO3_UnitAccZ, BNO3_RawAccMag, BNO3_GyrX, BNO3_GyrY, BNO3_GyrZ, BNO3_MagX, BNO3_MagY, BNO3_MagZ, MPU0_UnitAccX, MPU0_UnitAccY, MPU0_UnitAccZ, MPU0_RawAccMag, MPU0_GyrX, MPU0_GyrY, MPU0_GyrZ, MPU1_UnitAccX, MPU1_UnitAccY, MPU1_UnitAccZ, MPU1_RawAccMag, MPU1_GyrX, MPU1_GyrY, MPU1_GyrZ, none
  0.020539, -0.290       , -0.300       , -0.909       ,        2598.93, 6.267    , -4.476   , 5.148    , 0.067    , 0.392    , 0.917    , 0.128        , -0.447       , -0.885       ,        2588.85, 4.812    , -2.238   , 7.833    , -0.301   , 0.549    , 0.780    , -0.298       , -0.712       , -0.636       ,        2672.08, 6.043    , -0.224   , 8.169    , 0.035    , 0.698    , 0.715    , -0.861       , 0.094        , -0.500       ,        2572.16, 9.176    , -4.700   , -2.910   , 0.345    , -0.074   , 0.936    , 0.528        , -0.514       , 0.676        ,         10.545, -3.191   , 0.092    , -0.366   , 0.682        , -0.418       , 0.601        ,          9.920, -13.557  , -2.321   , 1.985    , none
  0.063967, -0.329       , -0.332       , -0.884       ,        2495.87, 3.133    , -6.491   , 5.483    , 0.069    , 0.382    , 0.922    , 0.107        , -0.471       , -0.876       ,        2539.91, 0.895    , -6.602   , 7.162    , -0.278   , 0.529    , 0.802    , -0.310       , -0.713       , -0.629       ,        2654.80, 0.224    , -3.357   , 9.512    , 0.029    , 0.733    , 0.679    , -0.872       , 0.085        , -0.482       ,        2505.20, 4.924    , -8.169   , -0.783   , 0.349    , -0.072   , 0.934    , 0.534        , -0.513       , 0.672        ,         10.563, -3.924   , -3.511   , -2.046   , 0.683        , -0.418       , 0.599        ,          9.894, -14.763  , -6.153   , 0.824    , none
  0.064245, -0.346       , -0.309       , -0.886       ,        2457.87, -1.567   , -5.819   , 6.491    , 0.070    , 0.386    , 0.920    , 0.060        , -0.460       , -0.886       ,        2432.96, -2.126   , -6.938   , 8.169    , -0.297   , 0.505    , 0.810    , -0.349       , -0.698       , -0.625       ,        2499.40, -2.574   , -3.469   , 11.302   , 0.044    , 0.730    , 0.682    , -0.884       , 0.089        , -0.459       ,        2481.52, 2.910    , -9.288   , 0.560    , 0.347    , -0.072   , 0.935    , 0.549        , -0.530       , 0.646        ,         10.451, -4.061   , -2.626   , -2.489   , 0.696        , -0.443       , 0.566        ,          9.820, -15.252  , -5.389   , 0.534    , none
  0.081882, -0.369       , -0.287       , -0.884       ,        2439.21, 0.336    , -6.379   , 7.610    , 0.077    , 0.357    , 0.931    , 0.036        , -0.454       , -0.890       ,        2400.02, -1.679   , -5.148   , 8.393    , -0.294   , 0.541    , 0.788    , -0.375       , -0.690       , -0.619       ,        2458.94, -1.455   , -2.462   , 11.638   , 0.051    , 0.722    , 0.690    , -0.890       , 0.090        , -0.446       ,        2463.88, 6.155    , -9.064   , 0.671    , 0.352    , -0.071   , 0.933    , 0.534        , -0.525       , 0.663        ,         10.454, -5.450   , 0.305    , -3.115   , 0.683        , -0.446       , 0.578        ,          9.801, -17.206  , -2.809   , -0.214   , none
  0.495311, -0.395       , -0.300       , -0.869       ,        2405.07, 2.686    , -5.931   , 9.736    , 0.090    , 0.374    , 0.923    , 0.024        , -0.475       , -0.880       ,        2394.48, 0.224    , -2.574   , 11.079   , -0.269   , 0.549    , 0.792    , -0.388       , -0.688       , -0.613       ,        2481.08, 1.119    , 0.671    , 12.869   , 0.029    , 0.722    , 0.691    , -0.897       , 0.086        , -0.434       ,        2468.12, 8.281    , -7.722   , 1.455    , 0.354    , -0.068   , 0.933    , 0.545        , -0.547       , 0.636        ,         10.275, -7.939   , 1.924    , -4.840   , 0.686        , -0.472       , 0.554        ,          9.686, -18.473  , -2.076   , -1.985   , none
  0.495474, -0.411       , -0.287       , -0.865       ,        2403.71, 2.910    , -4.476   , 11.079   , 0.095    , 0.378    , 0.921    , 0.020        , -0.460       , -0.888       ,        2406.73, -1.343   , -0.336   , 10.855   , -0.295   , 0.530    , 0.795    , -0.382       , -0.682       , -0.624       ,        2518.25, 0.560    , 1.679    , 12.310   , 0.042    , 0.709    , 0.704    , -0.901       , 0.077        , -0.427       ,        2481.07, 9.512    , -7.610   , 3.021    , 0.348    , -0.072   , 0.935    , 0.566        , -0.562       , 0.604        ,         10.244, -7.115   , 1.557    , -6.489   , 0.689        , -0.480       , 0.543        ,          9.686, -17.099  , -3.527   , -3.618   , none
  0.495575, -0.412       , -0.268       , -0.871       ,        2397.92, 0.895    , -1.902   , 9.960    , 0.093    , 0.389    , 0.916    , 0.027        , -0.444       , -0.895       ,        2450.32, -3.133   , -0.671   , 9.960    , -0.285   , 0.528    , 0.800    , -0.379       , -0.663       , -0.645       ,        2482.57, -0.448   , 2.350    , 10.519   , 0.052    , 0.706    , 0.706    , -0.902       , 0.086        , -0.422       ,        2464.29, 8.169    , -6.826   , 4.029    , 0.354    , -0.076   , 0.932    , 0.568        , -0.548       , 0.614        ,         10.267, -4.061   , -0.229   , -6.855   , 0.707        , -0.474       , 0.525        ,          9.682, -15.481  , -5.435   , -3.649   , none
  0.495673, -0.394       , -0.251       , -0.884       ,        2406.78, -0.895   , -0.895   , 8.841    , 0.075    , 0.396    , 0.915    , 0.024        , -0.411       , -0.911       ,        2408.60, -4.029   , -1.567   , 9.400    , -0.279   , 0.518    , 0.809    , -0.378       , -0.664       , -0.646       ,        2495.00, -1.231   , 2.238    , 9.288    , 0.046    , 0.727    , 0.685    , -0.906       , 0.103        , -0.410       ,        2442.70, 4.476    , -6.491   , 4.364    , 0.342    , -0.074   , 0.937    , 0.581        , -0.546       , 0.604        ,         10.247, -2.947   , -1.221   , -6.351   , 0.712        , -0.468       , 0.524        ,          9.782, -14.885  , -5.817   , -2.962   , none
  0.495782, -0.401       , -0.250       , -0.881       ,        2414.74, -1.007   , -1.790   , 7.722    , 0.092    , 0.367    , 0.926    , 0.012        , -0.413       , -0.911       ,        2398.98, -3.357   , -1.902   , 8.169    , -0.263   , 0.536    , 0.802    , -0.390       , -0.644       , -0.657       ,        2464.06, -1.902   , 2.014    , 9.736    , 0.054    , 0.731    , 0.681    , -0.911       , 0.100        , -0.400       ,        2430.96, 4.924    , -6.602   , 4.029    , 0.355    , -0.068   , 0.932    , 0.579        , -0.563       , 0.590        ,         10.187, -2.779   , -2.000   , -6.626   , 0.706        , -0.498       , 0.503        ,          9.657, -13.786  , -6.870   , -3.008   , none
  0.495881, -0.447       , -0.222       , -0.866       ,        2363.72, -2.798   , -1.455   , 6.491    , 0.075    , 0.429    , 0.900    , -0.001       , -0.413       , -0.911       ,        2398.82, -4.364   , -1.679   , 6.379    , -0.261   , 0.550    , 0.793    , -0.403       , -0.632       , -0.661       ,        2481.26, -2.910   , 1.902    , 8.729    , 0.059    , 0.721    , 0.690    , -0.919       , 0.093        , -0.383       ,        2484.39, 4.252    , -6.379   , 4.364    , 0.346    , -0.072   , 0.936    , 0.602        , -0.573       , 0.556        ,         10.212, 0.534    , -2.931   , -6.748   , 0.717        , -0.517       , 0.467        ,          9.685, -10.977  , -8.473   , -4.107   , none
