0.011154,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.024175,0.469,-0.353,-0.810,1628.31,-44.986,-58.639,48.679,-0.338,-0.229,0.913,0.204,-0.347,-0.915,1600.72,-1.902,10.519,-6.379,-0.789,0.609,0.079,0.240,-0.262,-0.935,1845.07,-10.519,4.924,3.917,0.320,-0.201,0.926,-0.403,0.316,-0.859,2250.08,-3.805,6.826,8.505,-0.043,0.612,0.789,0.320,-0.026,0.947,9.505,23.863,5.557,-0.687,0.614,0.283,0.737,8.520,-23.221,-14.382,-10.565,none
0.067975,0.441,-0.052,-0.896,1418.73,-29.431,-28.312,41.293,-0.326,-0.292,0.899,0.314,-0.346,-0.884,1945.42,-2.574,25.850,-9.288,-0.787,0.616,0.037,0.251,-0.403,-0.880,2270.75,-13.429,16.786,-15.667,0.320,-0.201,0.926,-0.363,0.342,-0.867,2307.52,-23.500,29.319,15.891,-0.047,0.626,0.778,0.269,-0.004,0.963,10.322,21.939,17.282,-1.313,0.636,0.299,0.712,8.362,-10.672,-2.290,-14.153,none
0.068228,0.502,-0.225,-0.835,1989.49,-12.869,0.671,20.926,-0.336,-0.262,0.905,0.382,-0.352,-0.855,2219.45,-10.295,35.474,-14.772,-0.785,0.616,0.064,0.272,-0.378,-0.885,2524.07,-25.403,11.526,-20.591,0.341,-0.220,0.914,-0.306,0.376,-0.875,2389.02,-23.948,29.655,18.576,-0.053,0.658,0.751,0.339,0.011,0.941,9.199,29.695,11.771,-2.183,0.624,0.323,0.711,8.757,6.214,-12.672,-15.206,none
0.084842,0.517,-0.270,-0.813,2274.09,-19.024,13.093,4.588,-0.313,-0.311,0.897,0.441,-0.368,-0.818,2761.49,-20.703,37.265,-20.479,-0.793,0.606,0.068,0.271,-0.363,-0.892,2680.65,-40.398,2.574,-21.822,0.336,-0.203,0.920,-0.276,0.352,-0.894,2435.18,-23.388,25.403,20.814,-0.063,0.696,0.716,0.313,0.056,0.948,9.118,57.130,-3.878,-0.580,0.549,0.361,0.754,9.683,13.618,-34.107,-10.489,none
0.494567,0.524,-0.400,-0.752,2561.46,-36.034,7.833,-2.462,-0.313,-0.282,0.907,0.436,-0.351,-0.829,2478.87,-43.419,25.850,-22.717,-0.808,0.588,0.024,0.285,-0.334,-0.898,2683.41,-56.512,1.343,-19.472,0.328,-0.227,0.917,-0.267,0.419,-0.868,2701.19,-46.553,14.995,27.305,-0.068,0.721,0.690,0.242,0.058,0.969,12.416,74.153,-6.092,-9.466,0.512,0.377,0.772,11.097,11.328,-42.885,-19.603,none
0.500201,0.540,-0.316,-0.780,2283.54,-61.212,19.472,7.722,-0.288,-0.306,0.907,0.438,-0.266,-0.859,2381.56,-42.860,35.250,-7.945,-0.818,0.575,0.015,0.292,-0.260,-0.920,2384.08,-54.498,-2.014,-10.072,0.358,-0.242,0.902,-0.261,0.458,-0.850,2794.13,-38.272,21.150,29.991,-0.099,0.773,0.627,0.349,0.089,0.933,12.790,64.229,14.489,-3.344,0.613,0.372,0.697,11.456,4.672,-27.130,-29.145,none
0.500472,0.565,-0.124,-0.816,2566.36,-61.884,34.355,12.645,-0.289,-0.428,0.856,0.484,-0.130,-0.865,2315.87,-36.369,49.462,-7.162,-0.818,0.575,0.005,0.336,-0.208,-0.919,2367.43,-41.517,11.302,-5.931,0.351,-0.270,0.897,-0.237,0.477,-0.846,2745.59,-24.060,25.738,27.865,-0.116,0.808,0.578,0.390,0.131,0.911,11.461,65.588,24.519,15.725,0.636,0.380,0.672,11.842,-3.237,-20.519,-21.374,none
0.500693,0.576,-0.072,-0.815,2774.60,-52.484,32.900,11.638,-0.273,-0.439,0.856,0.522,-0.127,-0.843,2598.24,-30.774,59.310,-17.681,-0.838,0.545,-0.012,0.372,-0.197,-0.907,2744.13,-20.031,18.800,-14.883,0.331,-0.250,0.910,-0.193,0.511,-0.838,2657.71,-16.450,19.024,21.038,-0.131,0.833,0.537,0.311,0.119,0.943,15.079,-13.206,43.924,13.908,0.710,0.356,0.608,14.476,-36.687,17.771,7.008,none
0.500902,0.528,-0.037,-0.849,5367.37,-41.741,3.245,9.624,-0.186,-0.550,0.814,0.555,-0.044,-0.831,2566.91,-21.934,63.227,-27.417,-0.835,0.549,-0.051,0.387,-0.171,-0.906,2585.19,-17.122,5.483,-5.707,0.426,-0.269,0.864,-0.185,0.558,-0.809,2837.37,-8.617,14.324,12.757,-0.145,0.846,0.513,0.214,0.141,0.967,11.496,-1.435,35.344,7.817,0.620,0.400,0.676,10.496,-18.366,12.611,-1.130,none
0.501131,0.578,-0.228,-0.783,1997.01,31.669,-15.667,19.695,-0.169,-0.494,0.853,0.547,-0.039,-0.836,3195.93,19.807,71.955,-22.717,-0.833,0.544,-0.096,0.377,-0.108,-0.920,2290.62,25.738,6.155,2.238,0.337,-0.276,0.900,-0.217,0.437,-0.873,2505.80,1.119,8.841,-3.021,-0.144,0.849,0.508,0.272,0.120,0.955,11.256,-2.611,39.557,6.412,0.632,0.360,0.687,10.061,-17.145,14.733,1.618,none
