0.003349,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.046102,0.409,-0.033,-0.912,2449.38,-8.281,5.371,-7.610,-0.698,-0.423,0.577,0.392,0.006,-0.920,2362.12,-11.414,11.974,-1.007,-0.339,-0.387,0.858,0.051,-0.456,-0.889,2610.73,7.945,6.602,16.338,0.316,0.258,0.913,-0.361,0.438,-0.823,2403.06,1.567,-14.660,-2.686,-0.131,0.194,-0.972,0.181,0.283,0.942,10.954,12.290,3.908,4.718,0.594,0.397,0.700,10.220,0.962,-9.695,-2.947,none
0.046287,0.376,-0.021,-0.926,2506.74,-1.679,4.029,-2.014,-0.764,-0.388,0.516,0.375,0.039,-0.926,2441.31,-1.567,7.050,1.679,-0.350,-0.388,0.852,0.025,-0.447,-0.894,2156.22,11.750,4.588,12.869,0.303,0.256,0.918,-0.359,0.339,-0.870,2501.76,9.176,-7.274,-2.798,-0.126,0.194,-0.973,0.185,0.288,0.940,10.829,9.084,5.908,2.275,0.584,0.418,0.696,9.967,-3.359,-7.405,-2.840,none
0.054765,0.409,-0.049,-0.911,2473.31,1.790,-0.112,1.790,-0.767,-0.384,0.514,0.410,-0.018,-0.912,2424.54,-1.567,0.671,2.798,-0.340,-0.422,0.840,0.074,-0.428,-0.901,2598.28,5.371,10.855,1.790,0.323,0.278,0.905,-0.351,0.377,-0.857,2559.54,3.469,-1.679,-1.790,-0.130,0.193,-0.973,0.188,0.302,0.934,10.891,8.427,1.893,-0.305,0.582,0.432,0.690,10.065,-3.725,-7.435,-3.252,none
0.078402,0.434,-0.065,-0.898,2486.58,-1.902,1.790,-0.224,-0.743,-0.407,0.531,0.433,-0.010,-0.901,2409.57,-1.343,4.364,1.119,-0.338,-0.413,0.846,0.082,-0.452,-0.888,2546.67,3.917,4.700,3.581,0.333,0.273,0.902,-0.332,0.386,-0.861,2527.75,-8.505,-5.260,-2.014,-0.128,0.194,-0.973,0.219,0.306,0.926,10.922,7.679,2.198,1.038,0.579,0.445,0.683,10.035,-3.221,-9.435,-2.626,none
0.464432,0.447,-0.025,-0.894,2478.81,-5.148,3.693,-4.700,-0.705,-0.420,0.572,0.445,-0.018,-0.896,2456.48,3.693,7.722,-2.238,-0.347,-0.412,0.843,0.079,-0.462,-0.883,2405.50,4.476,8.952,4.476,0.313,0.263,0.913,-0.327,0.408,-0.852,2531.61,-6.379,-8.393,-2.238,-0.130,0.200,-0.971,0.193,0.314,0.930,10.890,8.031,-1.878,3.832,0.580,0.451,0.678,9.992,-3.069,-12.412,-2.992,none
0.464588,0.446,-0.029,-0.895,2466.09,-5.036,4.364,-6.267,-0.737,-0.403,0.542,0.441,-0.026,-0.897,2432.37,-0.224,7.945,-3.917,-0.368,-0.382,0.848,0.105,-0.433,-0.895,2568.40,8.057,10.519,5.483,0.320,0.284,0.904,-0.335,0.404,-0.851,2533.84,-1.455,-8.729,-3.357,-0.127,0.197,-0.972,0.187,0.313,0.931,10.876,8.626,-6.595,2.641,0.582,0.446,0.680,10.007,-3.313,-13.954,-3.588,none
0.464720,0.443,-0.022,-0.896,2461.17,-4.364,4.364,-7.386,-0.768,-0.413,0.489,0.443,-0.030,-0.896,2423.68,-2.462,7.610,-2.910,-0.348,-0.434,0.831,0.103,-0.453,-0.886,2520.08,7.722,6.714,5.931,0.320,0.294,0.901,-0.365,0.424,-0.829,2483.31,-5.595,-10.183,-5.036,-0.124,0.201,-0.972,0.185,0.307,0.934,10.909,9.405,-10.550,4.137,0.584,0.442,0.681,9.982,-2.718,-16.382,-3.389,none
0.464838,0.439,-0.029,-0.898,2458.14,-4.476,4.588,-9.400,-0.722,-0.424,0.547,0.441,-0.037,-0.897,2475.75,-4.364,9.288,-4.364,-0.353,-0.385,0.852,0.105,-0.471,-0.876,2461.04,8.057,5.371,6.714,0.318,0.297,0.900,-0.327,0.373,-0.868,2562.53,0.783,-7.833,-5.483,-0.124,0.198,-0.972,0.209,0.310,0.927,10.876,9.160,-8.351,3.344,0.580,0.452,0.677,9.973,-2.901,-13.328,-2.840,none
0.464954,0.447,-0.037,-0.894,2480.61,-4.700,3.693,-11.414,-0.767,-0.414,0.491,0.444,-0.034,-0.895,2458.40,-4.812,7.162,-4.364,-0.370,-0.384,0.846,0.078,-0.485,-0.871,2575.08,5.036,7.162,7.162,0.308,0.304,0.902,-0.352,0.402,-0.845,2574.25,-4.812,-11.526,-5.595,-0.124,0.202,-0.971,0.195,0.306,0.932,10.961,9.053,-9.557,2.229,0.591,0.438,0.677,10.083,-2.641,-14.458,-3.435,none
0.466180,0.427,-0.029,-0.904,2483.71,-7.833,5.819,-12.310,-0.766,-0.434,0.475,0.430,-0.021,-0.902,2493.32,-9.176,11.638,-5.595,-0.343,-0.428,0.836,0.095,-0.461,-0.882,2431.17,6.938,4.141,12.310,0.315,0.285,0.905,-0.369,0.401,-0.838,2431.98,-5.819,-10.631,-5.260,-0.117,0.201,-0.973,0.201,0.315,0.928,10.899,7.878,-11.939,3.466,0.582,0.448,0.679,9.860,-4.321,-11.267,-1.908,none
