0.003898,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.045886,0.808,0.587,0.056,2540.41,0.000,1.007,-1.679,-0.886,-0.357,-0.297,0.911,0.412,-0.032,2473.58,-0.448,0.448,-0.112,-0.934,-0.356,0.040,0.529,-0.292,-0.797,2495.70,-0.112,0.336,-0.112,-0.653,0.109,0.750,0.460,0.584,-0.669,2450.93,-0.560,-0.560,-0.783,-0.364,-0.121,0.924,0.537,0.829,-0.159,9.929,9.802,-0.336,-1.817,0.291,0.753,-0.590,10.545,-3.252,-4.947,-1.618,none
0.046201,0.817,0.575,0.051,2559.12,-0.448,1.790,-1.567,-0.882,-0.351,-0.314,0.913,0.407,-0.032,2477.69,0.112,-0.224,-0.224,-0.935,-0.352,0.046,0.531,-0.293,-0.795,2486.94,0.336,-0.112,0.224,-0.636,0.073,0.769,0.457,0.581,-0.673,2463.68,-0.224,-0.224,-0.336,-0.347,-0.102,0.932,0.533,0.831,-0.157,9.978,8.534,-0.183,-1.618,0.291,0.752,-0.592,10.573,-4.290,-4.656,-1.221,none
0.060427,0.822,0.568,0.040,2555.13,-0.224,0.448,-0.560,-0.887,-0.334,-0.318,0.913,0.407,-0.028,2477.39,0.895,0.224,0.448,-0.940,-0.338,0.036,0.528,-0.295,-0.796,2498.34,0.336,-0.112,0.000,-0.654,0.078,0.752,0.461,0.580,-0.672,2468.94,0.560,-0.560,-0.112,-0.349,-0.110,0.931,0.530,0.831,-0.171,9.897,7.191,-0.382,-1.481,0.283,0.749,-0.599,10.532,-4.718,-5.038,-1.008,none
0.084664,0.812,0.581,0.055,2549.96,-0.671,-0.112,-0.336,-0.888,-0.326,-0.326,0.911,0.410,-0.032,2481.78,0.224,-0.112,0.000,-0.938,-0.344,0.037,0.528,-0.291,-0.798,2501.28,-0.112,0.000,-0.224,-0.675,0.085,0.733,0.459,0.583,-0.671,2456.96,0.336,-0.336,0.224,-0.364,-0.115,0.924,0.536,0.827,-0.172,9.901,7.115,-0.595,-1.908,0.288,0.746,-0.600,10.543,-4.214,-5.511,-1.511,none
0.107077,0.810,0.584,0.051,2555.25,-1.007,0.895,-0.783,-0.897,-0.323,-0.302,0.910,0.413,-0.032,2486.80,0.224,0.000,-0.560,-0.936,-0.347,0.060,0.530,-0.288,-0.798,2492.00,-0.224,-0.448,-0.224,-0.633,0.137,0.762,0.455,0.582,-0.674,2476.90,-1.679,-0.448,0.224,-0.358,-0.113,0.927,0.536,0.830,-0.156,9.987,6.275,0.168,-2.427,0.294,0.756,-0.584,10.577,-5.237,-4.977,-2.321,none
0.128512,0.822,0.569,0.036,2568.91,-0.224,1.007,0.560,-0.896,-0.323,-0.304,0.913,0.405,-0.040,2488.45,3.805,0.783,0.112,-0.942,-0.334,0.012,0.526,-0.292,-0.799,2490.42,0.895,-0.112,-0.112,-0.646,0.072,0.760,0.453,0.589,-0.669,2464.79,0.000,-1.343,0.336,-0.353,-0.115,0.929,0.542,0.824,-0.167,9.908,4.336,0.336,-1.832,0.300,0.748,-0.593,10.546,-6.977,-4.809,-1.252,none
0.152163,0.807,0.588,0.051,2553.01,-0.336,-1.567,1.679,-0.881,-0.351,-0.317,0.907,0.421,-0.028,2464.34,3.133,-0.224,0.448,-0.940,-0.338,0.036,0.526,-0.292,-0.799,2490.42,0.895,-0.336,-0.336,-0.633,0.113,0.766,0.453,0.585,-0.673,2464.96,1.679,-0.895,0.224,-0.353,-0.115,0.929,0.539,0.823,-0.181,9.839,5.130,0.824,-1.573,0.292,0.739,-0.607,10.500,-6.244,-4.366,-1.267,none
0.173429,0.811,0.583,0.055,2541.03,0.448,-0.560,0.560,-0.882,-0.351,-0.314,0.911,0.412,-0.032,2473.58,1.007,-0.224,0.224,-0.932,-0.359,0.047,0.528,-0.295,-0.796,2498.34,0.671,0.112,-0.112,-0.665,0.110,0.739,0.460,0.580,-0.673,2451.82,2.574,-0.783,0.000,-0.357,-0.115,0.927,0.533,0.827,-0.179,9.852,6.122,-0.015,-1.176,0.289,0.745,-0.601,10.489,-5.023,-4.870,-0.580,none
0.195562,0.814,0.578,0.052,2542.81,-0.224,0.000,-0.336,-0.878,-0.365,-0.309,0.914,0.405,-0.036,2488.07,1.007,-2.238,0.000,-0.933,-0.357,0.040,0.531,-0.295,-0.794,2502.31,0.112,0.224,0.112,-0.639,0.104,0.762,0.460,0.580,-0.673,2451.82,-1.007,-0.224,-0.112,-0.351,-0.104,0.931,0.533,0.829,-0.168,9.903,6.153,-0.351,-0.901,0.288,0.749,-0.597,10.518,-4.916,-4.992,-0.260,none
0.215487,0.814,0.579,0.048,2542.37,-0.336,-0.224,-0.895,-0.899,-0.330,-0.289,0.911,0.412,-0.036,2473.00,0.112,-2.462,-0.112,-0.935,-0.349,0.060,0.531,-0.293,-0.795,2486.94,-0.336,0.112,0.000,-0.649,0.088,0.756,0.458,0.586,-0.669,2462.80,-1.679,-0.112,-0.224,-0.345,-0.107,0.933,0.538,0.824,-0.178,9.866,5.588,-0.412,-0.672,0.294,0.743,-0.601,10.522,-5.435,-5.115,0.137,none
0.237417,0.814,0.579,0.040,2556.23,-0.560,-1.343,-0.783,-0.885,-0.368,-0.285,0.923,0.368,-0.112,2632.66,-0.336,-7.274,0.112,-0.940,-0.341,0.035,0.528,-0.287,-0.799,2499.19,-0.560,0.112,0.224,-0.624,0.131,0.771,0.461,0.582,-0.670,2444.43,-0.224,0.671,-0.336,-0.350,-0.110,0.930,0.539,0.824,-0.173,9.920,6.458,-1.267,0.229,0.293,0.744,-0.600,10.560,-4.489,-5.435,1.084,none
0.257598,0.810,0.585,0.044,2567.48,-1.679,-1.902,-1.679,-0.893,-0.355,-0.276,0.923,0.379,-0.066,2527.01,2.126,-18.353,3.805,-0.946,-0.321,0.031,0.527,-0.294,-0.797,2503.91,-0.448,0.112,-0.224,-0.640,0.081,0.764,0.461,0.589,-0.664,2467.26,0.895,0.671,-0.671,-0.353,-0.106,0.930,0.539,0.823,-0.178,9.904,5.038,-1.710,0.809,0.296,0.752,-0.589,10.607,-6.229,-6.611,2.489,none
0.281127,0.841,0.540,0.013,2578.00,-2.574,-7.610,-0.448,-0.885,-0.361,-0.295,0.947,0.271,-0.171,2812.55,-2.126,-42.188,13.541,-0.937,-0.341,0.080,0.524,-0.295,-0.799,2498.66,1.119,0.671,0.224,-0.655,0.105,0.748,0.455,0.581,-0.675,2499.41,0.224,1.679,-0.895,-0.352,-0.114,0.929,0.547,0.825,-0.144,10.197,6.931,-3.405,2.015,0.305,0.753,-0.584,10.774,-6.290,-7.695,4.641,none
0.303950,0.815,0.579,0.028,2625.90,-4.141,-9.960,0.224,-0.885,-0.365,-0.290,0.897,0.436,0.072,2291.44,-5.148,-56.960,24.619,-0.940,-0.335,0.072,0.527,-0.296,-0.796,2519.58,2.014,1.455,-1.343,-0.672,0.101,0.733,0.450,0.587,-0.673,2505.98,0.112,-0.336,-1.343,-0.356,-0.112,0.928,0.534,0.829,-0.164,9.976,2.656,-0.733,2.794,0.287,0.756,-0.588,10.537,-8.626,-5.863,4.473,none
0.323847,0.820,0.570,0.045,2512.15,-0.448,-10.183,1.119,-0.895,-0.343,-0.285,0.858,0.510,0.064,2283.05,-15.331,-26.074,10.407,-0.934,-0.341,0.108,0.532,-0.291,-0.795,2499.67,2.574,2.686,-1.902,-0.636,0.121,0.762,0.455,0.588,-0.669,2435.56,1.119,-1.119,-0.895,-0.353,-0.106,0.930,0.531,0.825,-0.194,9.655,3.405,-0.656,-0.183,0.283,0.732,-0.620,10.288,-8.992,-6.290,1.435,none
0.346110,0.781,0.618,0.092,2476.63,-1.455,-9.288,3.917,-0.897,-0.334,-0.288,0.903,0.425,-0.062,2396.06,-5.371,-14.436,4.364,-0.940,-0.331,0.085,0.527,-0.297,-0.796,2484.30,1.343,0.895,-0.671,-0.637,0.123,0.761,0.458,0.589,-0.666,2398.53,1.679,0.783,0.000,-0.344,-0.105,0.933,0.538,0.817,-0.207,9.614,6.626,-0.504,-1.756,0.289,0.719,-0.632,10.309,-4.763,-5.634,-0.931,none
0.367126,0.786,0.612,0.089,2483.77,-1.007,-2.686,0.783,-0.893,-0.370,-0.256,0.902,0.430,-0.038,2346.42,-3.245,-10.631,3.133,-0.935,-0.334,0.117,0.532,-0.294,-0.794,2478.99,-0.560,0.000,0.336,-0.644,0.104,0.758,0.457,0.583,-0.672,2423.18,0.783,1.231,-0.224,-0.353,-0.111,0.929,0.532,0.826,-0.183,9.725,9.832,-0.748,-2.626,0.287,0.742,-0.606,10.398,-1.786,-5.527,-2.244,none
0.389091,0.807,0.587,0.064,2506.45,-0.224,4.141,-2.462,-0.904,-0.341,-0.259,0.897,0.442,-0.029,2348.92,-2.238,-0.895,-1.119,-0.940,-0.332,0.079,0.532,-0.294,-0.794,2478.99,-2.462,-0.783,0.448,-0.650,0.125,0.750,0.458,0.583,-0.671,2439.84,-2.350,1.790,0.224,-0.361,-0.113,0.926,0.536,0.827,-0.173,9.866,9.802,-0.580,-4.122,0.288,0.746,-0.600,10.494,-2.061,-5.740,-3.725,none
0.411922,0.813,0.580,0.052,2535.49,-0.895,5.148,-1.231,-0.897,-0.334,-0.288,0.917,0.389,-0.084,2465.60,-0.560,6.267,-2.910,-0.933,-0.343,0.109,0.527,-0.294,-0.797,2503.91,-3.021,-1.567,0.671,-0.665,0.101,0.740,0.457,0.581,-0.673,2463.68,-2.910,2.574,0.560,-0.367,-0.109,0.924,0.542,0.821,-0.181,9.947,13.511,-1.695,-4.580,0.300,0.745,-0.596,10.657,-1.389,-5.924,-3.832,none
0.433189,0.814,0.580,0.031,2604.89,-1.007,6.155,-1.679,-0.892,-0.329,-0.311,0.913,0.401,-0.075,2488.57,0.224,8.952,-3.245,-0.933,-0.344,0.103,0.528,-0.295,-0.796,2498.34,-2.350,-1.119,0.000,-0.664,0.095,0.742,0.458,0.586,-0.669,2479.93,-1.902,1.231,0.448,-0.358,-0.110,0.927,0.546,0.823,-0.156,10.100,11.710,-0.824,-3.099,0.304,0.748,-0.589,10.703,-2.076,-4.748,-2.611,none
0.455592,0.814,0.580,0.028,2604.62,-0.224,4.924,-2.014,-0.891,-0.337,-0.305,0.908,0.411,-0.079,2502.42,0.783,9.176,-3.693,-0.942,-0.318,0.113,0.529,-0.292,-0.797,2495.70,-0.671,-0.448,0.000,-0.645,0.071,0.761,0.456,0.586,-0.669,2491.89,-0.671,-0.448,-0.336,-0.351,-0.109,0.930,0.537,0.826,-0.171,10.012,11.466,0.031,-2.305,0.298,0.744,-0.598,10.612,-3.115,-3.557,-2.015,none
0.477410,0.811,0.583,0.043,2575.59,2.574,4.364,-1.231,-0.893,-0.359,-0.271,0.908,0.415,-0.056,2450.71,3.357,11.750,-4.700,-0.943,-0.323,0.077,0.530,-0.290,-0.797,2506.84,0.000,0.112,0.336,-0.637,0.136,0.759,0.459,0.583,-0.671,2456.96,-1.679,-1.455,-0.560,-0.348,-0.105,0.932,0.531,0.826,-0.191,9.913,9.221,1.176,-2.183,0.286,0.741,-0.607,10.538,-2.947,-3.023,-2.718,none
0.502165,0.810,0.584,0.056,2535.36,2.574,5.371,-1.679,-0.883,-0.393,-0.257,0.918,0.386,-0.087,2484.73,4.141,14.883,-6.379,-0.936,-0.343,0.080,0.530,-0.288,-0.798,2492.00,0.112,0.112,0.448,-0.652,0.110,0.750,0.460,0.589,-0.665,2450.13,-1.567,-1.007,-0.560,-0.360,-0.115,0.926,0.536,0.823,-0.186,9.850,9.420,0.489,-2.733,0.292,0.738,-0.609,10.510,-2.855,-4.015,-2.748,none
0.521197,0.814,0.579,0.036,2555.85,1.679,4.364,-1.007,-0.895,-0.362,-0.263,0.921,0.376,-0.098,2521.40,2.350,10.631,-3.917,-0.947,-0.311,0.081,0.529,-0.292,-0.797,2495.70,0.336,0.112,0.671,-0.673,0.116,0.731,0.461,0.582,-0.670,2444.43,-0.783,-0.224,-0.336,-0.361,-0.118,0.925,0.536,0.826,-0.174,9.967,9.634,0.321,-1.832,0.292,0.748,-0.596,10.585,-2.366,-3.985,-2.000,none
0.543827,0.817,0.576,0.040,2572.54,0.671,3.693,-2.126,-0.884,-0.368,-0.289,0.919,0.388,-0.071,2495.62,1.790,6.043,-2.574,-0.939,-0.330,0.099,0.526,-0.292,-0.799,2490.42,0.112,0.224,0.112,-0.638,0.114,0.761,0.461,0.580,-0.672,2468.94,0.112,-0.895,-0.560,-0.360,-0.117,0.926,0.527,0.832,-0.171,9.987,6.809,0.687,-1.985,0.283,0.759,-0.587,10.565,-4.840,-4.137,-1.954,none
0.565576,0.828,0.559,0.036,2560.81,0.671,2.350,-0.448,-0.889,-0.338,-0.310,0.925,0.373,-0.075,2490.72,0.783,1.119,0.783,-0.935,-0.342,0.096,0.528,-0.295,-0.796,2498.34,0.336,-0.336,-0.224,-0.639,0.104,0.762,0.458,0.581,-0.672,2480.80,-0.112,-0.560,0.112,-0.353,-0.104,0.930,0.539,0.822,-0.186,9.957,4.947,-0.260,-1.924,0.296,0.742,-0.602,10.591,-6.275,-5.023,-1.237,none
0.587837,0.810,0.585,0.043,2581.65,-1.119,-0.671,0.895,-0.888,-0.346,-0.304,0.906,0.418,-0.067,2485.32,-0.560,0.560,1.455,-0.939,-0.338,0.064,0.527,-0.294,-0.797,2503.91,0.112,0.448,-0.224,-0.635,0.130,0.762,0.452,0.587,-0.671,2471.49,-0.112,-1.119,0.336,-0.359,-0.109,0.927,0.544,0.816,-0.196,9.870,5.725,0.244,-1.084,0.299,0.732,-0.612,10.536,-5.267,-4.427,-0.565,none
0.609189,0.805,0.592,0.048,2551.43,0.448,0.224,-0.783,-0.890,-0.359,-0.281,0.907,0.414,-0.071,2482.76,0.336,1.455,-0.783,-0.929,-0.365,0.063,0.530,-0.288,-0.798,2492.00,0.448,0.560,0.000,-0.642,0.099,0.760,0.456,0.590,-0.666,2428.21,0.336,-0.895,-0.336,-0.349,-0.109,0.931,0.540,0.820,-0.192,9.807,6.641,0.519,-0.397,0.294,0.735,-0.611,10.468,-4.321,-4.000,-0.137,none
0.631930,0.805,0.591,0.056,2524.28,1.119,0.448,-1.567,-0.892,-0.351,-0.284,0.909,0.414,-0.057,2436.58,1.567,1.790,-2.126,-0.942,-0.326,0.077,0.531,-0.289,-0.796,2484.83,0.448,0.560,0.224,-0.661,0.068,0.747,0.454,0.586,-0.671,2442.25,-0.336,-0.560,-0.671,-0.351,-0.106,0.930,0.533,0.823,-0.195,9.772,7.542,0.229,-1.038,0.287,0.737,-0.612,10.434,-3.527,-4.198,-0.809,none
0.654103,0.806,0.588,0.064,2519.58,0.895,1.343,-1.790,-0.883,-0.355,-0.306,0.911,0.409,-0.048,2440.51,1.119,4.812,-3.917,-0.935,-0.343,0.088,0.528,-0.293,-0.797,2481.65,-0.671,0.000,0.336,-0.661,0.117,0.741,0.458,0.583,-0.671,2439.84,-1.119,0.224,-0.671,-0.353,-0.111,0.929,0.533,0.824,-0.194,9.836,8.580,-0.351,-1.328,0.287,0.738,-0.611,10.502,-2.290,-4.565,-1.084,none
0.675399,0.808,0.587,0.056,2540.41,0.224,2.574,-2.350,-0.889,-0.346,-0.300,0.912,0.406,-0.052,2458.34,0.783,6.714,-4.588,-0.936,-0.340,0.088,0.531,-0.293,-0.795,2486.94,-1.455,0.112,0.000,-0.644,0.104,0.758,0.459,0.583,-0.671,2456.96,-2.014,0.895,-0.336,-0.361,-0.117,0.925,0.530,0.828,-0.182,9.927,8.427,-0.046,-1.893,0.283,0.747,-0.601,10.565,-2.656,-4.565,-1.664,none
0.698346,0.815,0.577,0.051,2564.88,0.336,3.133,-1.679,-0.887,-0.354,-0.297,0.917,0.393,-0.059,2488.46,1.119,7.498,-4.364,-0.937,-0.339,0.081,0.529,-0.292,-0.797,2495.70,-1.679,-0.448,0.112,-0.616,0.116,0.779,0.456,0.588,-0.668,2469.34,-1.902,0.783,-0.112,-0.356,-0.115,0.927,0.541,0.820,-0.187,9.956,7.069,0.122,-2.122,0.297,0.741,-0.602,10.643,-4.031,-4.519,-1.664,none
0.720722,0.808,0.588,0.039,2587.10,0.448,1.902,-0.783,-0.889,-0.371,-0.268,0.913,0.402,-0.067,2509.43,1.567,7.386,-3.245,-0.941,-0.330,0.071,0.530,-0.290,-0.797,2506.84,-1.007,-0.112,0.671,-0.651,0.105,0.752,0.455,0.586,-0.670,2476.03,-0.895,0.448,-0.224,-0.366,-0.115,0.923,0.543,0.817,-0.196,9.935,6.931,0.275,-0.809,0.297,0.733,-0.612,10.575,-4.061,-4.107,-0.427,none
