0.003437,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.046008,0.097,-0.313,-0.945,1429.80,8.505,-121.082,82.251,-0.159,0.855,0.493,0.193,-0.343,-0.919,1815.73,10.967,-22.829,-9.176,-0.135,0.794,0.593,-0.048,-0.656,-0.753,1824.35,10.743,6.155,15.555,-0.507,0.433,0.745,-0.496,0.174,-0.851,2061.52,-13.541,-6.714,-0.112,0.249,0.235,0.940,0.304,-0.129,0.944,5.862,-17.038,29.603,-24.733,0.776,-0.188,0.603,3.433,-122.672,-30.977,5.145,none
0.046220,-0.272,-0.406,-0.872,930.72,4.588,-82.586,83.258,-0.129,0.854,0.504,-0.063,-0.690,-0.721,1102.74,7.722,5.595,-15.443,-0.121,0.774,0.621,0.027,-0.588,-0.808,2234.83,-12.422,37.600,-6.379,-0.468,0.421,0.777,-0.456,0.243,-0.856,2563.97,-34.131,19.584,23.053,0.249,0.227,0.942,0.355,-0.028,0.935,7.458,29.298,35.695,-45.450,0.355,0.124,0.927,5.098,-87.695,-37.924,-46.473,none
0.068324,0.256,-0.550,-0.795,2611.95,-0.783,5.371,75.536,-0.115,0.844,0.524,0.302,-0.563,-0.769,1874.53,-16.003,58.191,-13.429,-0.139,0.797,0.587,0.053,-0.665,-0.745,2583.17,-24.619,48.791,-5.707,-0.495,0.414,0.764,-0.378,0.261,-0.888,2470.85,-6.379,43.308,38.831,0.252,0.229,0.940,0.205,0.045,0.978,9.709,65.023,37.893,-60.275,0.483,0.241,0.842,10.747,-102.626,-56.580,-76.931,none
0.090597,0.336,-0.413,-0.847,3101.28,-36.257,-8.281,103.961,-0.124,0.845,0.519,0.391,-0.574,-0.720,3257.00,-39.615,67.032,26.186,-0.143,0.785,0.603,0.171,-0.417,-0.893,2991.30,-41.965,32.117,0.224,-0.462,0.445,0.767,-0.331,0.371,-0.868,2529.18,11.302,34.243,45.769,0.256,0.247,0.935,0.316,0.109,0.942,12.853,75.405,-1.023,-55.405,0.707,0.222,0.671,12.605,-104.397,-59.634,-73.145,none
0.500276,0.336,-0.233,-0.913,2630.06,-63.003,-4.141,106.982,-0.113,0.866,0.487,0.482,-0.274,-0.832,3274.81,-46.553,48.679,39.055,-0.160,0.786,0.597,0.149,-0.449,-0.881,2383.32,-39.950,23.053,7.498,-0.509,0.396,0.764,-0.320,0.347,-0.882,2645.12,4.476,21.598,42.860,0.254,0.278,0.926,0.395,0.131,0.909,12.817,58.122,-1.802,-33.847,0.840,0.171,0.514,11.110,-86.656,-34.611,-50.977,none
0.500452,0.296,0.085,-0.951,2587.12,-57.072,10.519,86.951,-0.105,0.860,0.500,0.445,-0.121,-0.888,2642.24,-36.929,20.479,39.503,-0.161,0.797,0.583,0.215,-0.298,-0.930,2238.10,-42.636,26.522,7.610,-0.499,0.412,0.762,-0.333,0.426,-0.841,2362.95,-13.876,20.703,30.662,0.256,0.303,0.918,0.403,0.146,0.904,10.655,52.656,10.870,-17.176,0.876,0.135,0.464,8.367,-52.183,-18.565,-40.672,none
0.500574,0.263,0.273,-0.925,2244.23,-17.122,27.081,37.153,-0.104,0.846,0.523,0.429,-0.049,-0.902,2327.35,-27.976,11.191,28.536,-0.160,0.801,0.577,0.198,-0.299,-0.934,2333.94,-13.541,44.091,-16.114,-0.484,0.385,0.786,-0.298,0.428,-0.854,2514.05,-3.245,30.103,23.388,0.239,0.325,0.915,0.432,0.154,0.889,11.704,-8.168,66.779,0.931,0.739,0.201,0.643,9.255,-15.511,-16.321,-55.038,none
0.500690,0.344,-0.131,-0.930,2655.78,-1.119,38.943,12.422,-0.106,0.856,0.507,0.461,-0.207,-0.863,2442.86,-13.876,17.233,6.602,-0.173,0.792,0.586,0.211,-0.403,-0.890,2602.59,-8.505,42.077,-14.660,-0.476,0.373,0.796,-0.278,0.408,-0.870,2445.24,4.924,21.934,16.786,0.240,0.345,0.907,0.264,0.168,0.950,11.103,-12.153,38.229,-0.412,0.740,0.210,0.640,11.325,3.771,-15.023,-51.191,none
0.500797,0.366,-0.292,-0.883,3405.16,-4.700,27.305,18.017,-0.113,0.862,0.493,0.477,-0.357,-0.803,2895.52,-4.700,21.262,1.119,-0.171,0.786,0.595,0.245,-0.460,-0.853,2920.70,-2.462,34.019,-10.183,-0.547,0.391,0.740,-0.219,0.349,-0.911,2604.16,12.310,18.912,14.883,0.234,0.363,0.902,0.229,0.164,0.959,10.925,-5.298,22.427,0.061,0.703,0.223,0.676,11.058,21.847,-14.718,-41.924,none
0.500913,0.357,-0.157,-0.921,2779.12,-12.869,7.722,22.381,-0.106,0.851,0.515,0.493,-0.311,-0.813,2981.31,-10.072,8.952,14.548,-0.165,0.773,0.612,0.257,-0.466,-0.847,2863.30,-3.469,16.338,2.686,-0.474,0.430,0.769,-0.206,0.317,-0.926,2583.08,11.079,7.833,11.414,0.237,0.364,0.901,0.258,0.157,0.953,10.941,-1.450,13.344,1.496,0.679,0.242,0.693,11.692,24.015,-15.466,-31.832,none
