time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
24.015732,0.533,0.479,-0.697,0.614,0.436,-0.658,-0.432,-0.03,0.902,0.308,-0.433,0.847,0.301,-0.375,0.877,0.218,-0.673,0.707,0.046,-0.709,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.371,-0.279,0.886,0.315,-0.191,0.93,0.298,-0.698,0.651,0.167,-0.623,0.764,rock
42.515781,0.766,0.505,-0.398,-0.796,0.239,0.557,-0.658,-0.646,0.388,0.529,-0.049,0.848,0.174,-0.0,-0.985,-0.224,-0.573,0.789,-0.338,0.878,-0.338,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.17,0.886,0.076,0.152,-0.986,0.24,-0.285,0.928,-0.076,0.841,-0.535,scissors
3.848861,0.356,0.473,-0.806,-0.022,0.994,-0.108,-0.347,0.094,0.933,0.287,-0.748,0.599,0.852,-0.522,0.027,0.527,-0.422,0.738,0.074,0.213,0.974,0.0,0.0,0.0,0.0,0.0,0.0,0.526,-0.539,0.658,0.956,-0.123,0.265,0.561,-0.737,0.377,0.863,-0.086,0.498,paper
37.277661,0.427,0.434,-0.793,-0.256,0.654,-0.711,-0.524,-0.464,0.715,0.273,-0.501,0.821,0.383,-0.912,0.147,0.31,-0.643,0.7,0.552,-0.103,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.381,-0.374,0.846,0.738,-0.615,0.277,0.332,-0.746,0.577,0.757,-0.62,0.207,paper
9.788267,0.527,0.575,-0.626,-0.688,0.688,-0.229,-0.119,-0.262,0.958,0.397,-0.461,0.793,0.302,-0.302,-0.905,0.213,-0.575,0.79,-0.781,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,-0.247,0.849,0.535,0.267,-0.802,0.401,-0.628,0.667,-0.243,0.97,0.0,scissors
19.868748,0.571,0.399,-0.717,0.511,0.549,-0.662,-0.244,-0.514,0.822,0.246,-0.445,0.861,0.36,-0.54,0.76,0.241,-0.698,0.675,0.097,-0.622,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.319,-0.315,0.894,0.427,-0.297,0.854,0.247,-0.736,0.63,0.268,-0.652,0.709,rock
54.225206,0.512,0.456,-0.728,-0.68,0.733,-0.0,-0.061,-0.025,0.998,0.349,-0.386,0.854,0.304,-0.456,-0.836,0.194,-0.649,0.735,-0.099,0.99,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.425,-0.238,0.874,0.552,-0.092,-0.829,0.345,-0.641,0.686,0.359,0.717,-0.598,paper
23.763522,0.632,0.453,-0.628,0.711,0.536,-0.455,-0.295,-0.088,0.952,0.32,-0.39,0.863,0.549,-0.258,0.795,0.156,-0.673,0.723,-0.172,-0.537,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.363,-0.233,0.902,0.477,0.021,0.879,0.27,-0.662,0.699,0.257,-0.375,0.89,scissors
12.581289,-0.102,0.717,0.69,0.254,0.966,-0.051,0.713,-0.178,-0.678,0.822,-0.468,0.325,0.277,-0.484,0.83,0.981,-0.115,0.153,0.385,-0.275,0.881,0.884,0.036,0.467,0.734,-0.677,0.056,0.877,0.054,0.478,0.68,-0.68,0.272,0.032,0.884,0.467,0.523,0.719,0.458,scissors
61.519778,0.393,0.425,-0.815,-0.877,0.195,0.439,0.192,0.345,0.919,0.227,-0.535,0.814,0.141,-0.094,-0.986,0.367,-0.655,0.661,-0.101,0.962,-0.253,0.0,0.0,0.0,0.0,0.0,0.0,0.363,-0.438,0.822,0.267,0.053,-0.962,0.334,-0.784,0.524,0.262,0.682,-0.682,scissors
10.625876,-0.085,0.984,0.159,-0.157,-0.987,0.039,-0.624,-0.78,0.044,0.685,-0.565,0.459,-0.635,0.389,-0.667,0.727,-0.305,0.615,-0.594,0.195,-0.781,0.766,-0.338,0.547,-0.681,0.133,-0.72,0.859,-0.105,0.501,-0.742,-0.095,-0.663,0.756,0.544,0.364,-0.901,-0.303,-0.311,rock
32.711744,0.586,0.369,-0.722,0.521,0.329,-0.788,-0.229,-0.188,0.955,0.224,-0.392,0.892,0.151,-0.439,0.886,0.186,-0.743,0.643,0.149,-0.77,0.621,0.0,0.0,0.0,0.0,0.0,0.0,0.266,-0.281,0.922,0.225,-0.324,0.919,0.176,-0.728,0.662,0.109,-0.73,0.675,paper
15.032197,0.603,0.509,-0.615,-0.51,-0.646,0.568,-0.344,-0.648,0.68,0.367,-0.361,0.857,-0.451,0.457,-0.766,0.121,-0.662,0.739,-0.148,0.529,-0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.383,-0.183,0.905,-0.511,0.222,-0.831,0.275,-0.626,0.73,-0.412,0.568,-0.712,scissors
5.761479,0.753,0.368,-0.546,0.661,0.681,-0.314,-0.556,-0.355,0.751,0.288,-0.316,0.904,0.614,-0.265,0.743,0.077,-0.746,0.661,-0.169,-0.484,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.258,-0.172,0.951,0.526,0.043,0.85,0.134,-0.653,0.745,0.317,-0.339,0.885,scissors
1.826405,-0.201,0.933,0.299,-0.123,0.915,0.384,-0.399,-0.907,0.134,0.642,-0.751,0.153,0.678,-0.718,0.157,0.894,-0.344,0.286,0.91,-0.28,0.305,0.938,0.277,0.209,0.904,0.261,0.338,0.813,0.367,0.451,0.715,0.343,0.609,0.243,0.957,0.16,0.169,0.956,0.241,scissors
60.617236,0.362,0.398,-0.843,-0.196,-0.0,0.981,0.147,0.356,0.923,0.202,-0.573,0.794,0.147,0.442,-0.885,0.409,-0.639,0.651,-0.847,0.376,-0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.367,-0.478,0.798,-0.298,0.745,-0.596,0.35,-0.803,0.482,-0.6,0.8,0.0,rock
4.609569,0.436,0.698,-0.568,-0.318,-0.272,0.908,-0.35,-0.029,0.936,0.47,-0.506,0.723,-0.014,0.67,-0.742,0.253,-0.493,0.833,-0.553,0.623,-0.553,0.0,0.0,0.0,0.0,0.0,0.0,0.549,-0.26,0.794,-0.24,0.564,-0.79,0.489,-0.597,0.636,-0.29,0.869,-0.4,rock
7.786635,0.004,0.989,0.146,-0.101,-0.974,0.202,-0.387,-0.804,0.451,0.733,-0.493,0.469,-0.565,0.418,-0.712,0.733,-0.208,0.647,-0.549,0.257,-0.795,0.811,-0.237,0.535,-0.627,0.168,-0.761,0.885,0.005,0.465,-0.701,-0.034,-0.712,0.778,0.456,0.431,-0.913,-0.33,-0.242,rock
58.400776,0.276,0.401,-0.874,0.192,-0.962,-0.192,-0.045,0.445,0.895,0.131,-0.644,0.753,-0.964,0.249,0.093,0.5,-0.627,0.597,-0.116,-0.524,-0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.327,-0.583,0.744,-0.987,-0.159,0.0,0.341,-0.86,0.379,-0.931,-0.175,-0.32,rock
40.365806,0.549,0.396,-0.736,0.061,-0.811,0.581,-0.41,-0.549,0.729,0.273,-0.243,0.931,-0.744,0.609,-0.277,0.059,-0.78,0.623,-0.266,-0.061,-0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.206,-0.125,0.97,-0.908,0.175,-0.381,0.071,-0.64,0.765,-0.859,0.239,-0.453,scissors
11.310871,0.557,0.565,-0.608,-0.796,0.597,0.1,-0.142,-0.272,0.952,0.426,-0.423,0.8,0.477,-0.191,-0.858,0.166,-0.57,0.805,-0.635,0.762,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.479,-0.194,0.856,0.625,0.0,-0.781,0.399,-0.587,0.705,0.0,0.97,-0.243,rock
25.764899,0.452,0.524,-0.722,0.565,0.315,-0.762,-0.756,-0.402,0.516,0.338,-0.513,0.789,0.163,-0.436,0.885,0.306,-0.588,0.748,0.094,-0.78,0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.443,-0.343,0.829,0.226,-0.292,0.929,0.406,-0.706,0.581,0.068,-0.699,0.712,scissors
1.529548,0.634,0.268,-0.726,-0.659,0.061,0.75,-0.233,-0.277,0.932,0.107,-0.458,0.883,0.199,0.365,-0.91,0.265,-0.794,0.548,-0.288,0.909,-0.301,0.0,0.0,0.0,0.0,0.0,0.0,0.163,-0.348,0.923,0.12,0.414,-0.902,0.078,-0.802,0.592,0.159,0.861,-0.482,paper
12.344845,0.677,0.279,-0.681,0.577,-0.793,-0.198,-0.269,-0.28,0.922,0.145,-0.327,0.934,-0.761,0.535,0.366,0.15,-0.812,0.564,-0.386,-0.628,-0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.159,-0.259,0.953,-0.935,0.104,0.338,0.057,-0.746,0.664,-0.985,-0.144,0.096,rock
45.902455,0.392,0.5,-0.772,-0.286,-0.429,0.857,-0.198,-0.512,0.836,0.353,-0.514,0.782,-0.28,0.466,-0.839,0.312,-0.568,0.761,-0.69,0.383,-0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.484,-0.35,0.802,-0.527,0.422,-0.738,0.431,-0.697,0.573,-0.709,0.63,-0.315,paper
48.97086,0.448,0.59,-0.672,0.626,0.532,-0.57,-0.356,-0.075,0.931,0.417,-0.421,0.806,0.504,-0.37,0.78,0.211,-0.571,0.793,-0.015,-0.517,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.502,-0.245,0.83,0.548,-0.11,0.829,0.417,-0.615,0.669,0.375,-0.446,0.813,scissors
1.004893,-0.073,0.986,0.149,0.178,0.98,-0.089,0.338,-0.933,0.121,0.858,-0.198,-0.473,0.605,-0.173,-0.777,0.619,0.528,0.581,0.598,0.359,0.717,0.843,0.187,0.504,0.985,-0.123,0.123,0.79,0.178,0.587,0.408,0.408,0.816,0.778,0.176,0.604,0.802,0.267,0.535,paper
57.668963,0.565,0.427,-0.706,0.067,-0.94,0.336,-0.379,0.265,0.887,0.302,-0.393,0.869,-0.393,0.917,-0.066,0.184,-0.675,0.715,-0.794,-0.234,-0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.372,-0.268,0.889,-0.816,0.565,0.125,0.283,-0.668,0.688,-0.921,0.339,0.194,scissors
33.135897,0.43,0.568,-0.702,0.295,0.619,-0.728,-0.433,-0.096,0.896,0.367,-0.537,0.76,0.436,-0.633,0.639,0.321,-0.546,0.773,0.269,-0.44,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.498,-0.354,0.792,0.586,-0.362,0.725,0.46,-0.687,0.563,0.511,-0.617,0.598,rock
34.061992,0.038,0.823,0.567,-0.0,-0.894,-0.447,0.189,-0.948,-0.255,0.725,-0.344,0.597,-0.381,0.254,-0.889,0.817,-0.195,0.543,-0.937,0.312,-0.156,0.853,-0.192,0.486,-0.566,0.424,-0.707,0.996,-0.02,-0.09,-0.909,0.404,-0.101,0.185,0.917,0.355,-0.873,-0.218,-0.436,rock
55.4233,0.496,0.449,-0.743,0.476,0.336,-0.812,-0.047,0.011,0.999,0.331,-0.419,0.845,0.227,-0.487,0.844,0.235,-0.646,0.726,0.032,-0.738,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.422,-0.284,0.861,0.299,-0.329,0.896,0.348,-0.672,0.654,0.064,-0.673,0.737,scissors
34.571832,0.162,0.821,0.547,0.079,0.946,0.315,0.207,-0.948,-0.241,0.729,-0.263,0.633,0.424,-0.707,0.566,0.794,-0.122,0.595,0.199,-0.398,0.896,0.861,-0.099,0.498,0.635,-0.127,0.762,0.995,0.07,-0.071,0.745,0.298,0.596,0.2,0.873,0.446,-0.0,0.995,-0.1,rock
