time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.045176,0.02,0.975,0.222,0.0,-0.707,0.707,-0.186,-0.964,0.19,0.746,-0.499,0.441,0.0,0.083,-0.997,0.754,-0.218,0.62,-0.147,0.442,-0.885,0.821,-0.26,0.509,-0.0,0.1,-0.995,0.897,-0.02,0.441,-0.549,0.329,-0.768,0.759,0.47,0.45,-0.983,-0.164,0.082,rock
0.057871,0.033,0.974,0.225,-0.248,-0.62,0.744,-0.214,-0.956,0.199,0.745,-0.5,0.442,-0.0,0.091,-0.996,0.754,-0.213,0.621,-0.371,0.557,-0.743,0.823,-0.258,0.506,-0.123,0.123,-0.985,0.898,-0.015,0.439,-0.598,0.359,-0.717,0.76,0.464,0.454,-0.996,-0.0,-0.091,rock
0.097488,0.041,0.974,0.223,-0.248,-0.62,0.744,-0.21,-0.961,0.178,0.748,-0.493,0.445,-0.228,0.342,-0.912,0.754,-0.205,0.624,-0.811,0.487,-0.324,0.826,-0.249,0.506,-0.408,0.408,-0.816,0.9,-0.004,0.436,-0.781,0.488,-0.39,0.761,0.456,0.461,-0.921,-0.276,-0.276,rock
0.13897,0.048,0.975,0.217,0.174,-0.696,-0.696,-0.21,-0.961,0.178,0.747,-0.49,0.45,-0.625,0.625,-0.469,0.75,-0.207,0.628,-0.912,0.342,0.228,0.823,-0.247,0.512,-0.617,0.772,-0.154,0.896,-0.003,0.443,-0.786,0.612,0.087,0.769,0.453,0.451,-0.57,-0.456,-0.684,rock
0.181095,0.04,0.974,0.225,0.316,-0.0,-0.949,-0.21,-0.961,0.178,0.749,-0.49,0.446,-0.588,0.784,-0.196,0.753,-0.207,0.625,-0.848,0.318,0.424,0.823,-0.25,0.509,-0.555,0.832,0.0,0.897,-0.009,0.441,-0.724,0.634,0.272,0.762,0.461,0.454,-0.512,-0.384,-0.768,rock
0.225302,0.039,0.973,0.228,0.487,-0.324,-0.811,-0.21,-0.961,0.178,0.75,-0.492,0.442,-0.487,0.811,-0.324,0.756,-0.207,0.622,-0.816,0.408,0.408,0.824,-0.253,0.507,-0.496,0.868,-0.0,0.898,-0.013,0.44,-0.705,0.705,0.078,0.759,0.464,0.458,-0.456,-0.684,-0.57,rock
0.264458,0.035,0.974,0.223,0.617,-0.154,-0.772,-0.21,-0.961,0.178,0.746,-0.497,0.443,-0.183,0.913,-0.365,0.753,-0.214,0.623,-0.778,0.444,0.444,0.82,-0.258,0.511,-0.275,0.962,-0.0,0.894,-0.018,0.448,-0.647,0.74,0.185,0.765,0.467,0.444,-0.577,-0.577,-0.577,rock
0.310012,0.027,0.973,0.23,0.707,0.0,-0.707,-0.187,-0.963,0.194,0.75,-0.496,0.437,-0.192,0.192,-0.962,0.757,-0.21,0.618,-0.873,0.436,0.218,0.824,-0.258,0.505,-0.267,0.535,-0.802,0.898,-0.019,0.439,-0.772,0.617,-0.154,0.758,0.471,0.452,-0.953,0.136,-0.272,rock
0.347679,0.036,0.974,0.222,-0.426,-0.64,0.64,-0.187,-0.963,0.194,0.75,-0.49,0.445,-0.241,0.12,-0.963,0.755,-0.202,0.624,-0.873,0.218,-0.436,0.825,-0.249,0.507,-0.302,0.302,-0.905,0.9,-0.007,0.436,-0.816,0.408,-0.408,0.761,0.461,0.455,-0.976,0.098,-0.195,rock
0.39421,0.037,0.978,0.203,0.371,-0.743,-0.557,-0.194,-0.956,0.22,0.743,-0.493,0.453,-0.384,0.512,-0.768,0.747,-0.21,0.631,-0.911,0.391,-0.13,0.819,-0.249,0.517,-0.577,0.577,-0.577,0.895,-0.005,0.447,-0.83,0.518,-0.207,0.771,0.454,0.447,-0.87,-0.097,-0.483,rock
0.43189,0.032,0.977,0.211,0.11,0.0,-0.994,-0.194,-0.956,0.22,0.738,-0.499,0.454,-0.696,0.696,-0.174,0.745,-0.22,0.63,-0.896,0.199,0.398,0.816,-0.256,0.518,-0.64,0.768,0.0,0.892,-0.014,0.452,-0.763,0.594,0.254,0.77,0.46,0.442,-0.566,-0.226,-0.793,rock
0.474376,0.023,0.974,0.223,0.314,0.105,-0.943,-0.17,-0.966,0.195,0.742,-0.499,0.447,-0.617,0.772,0.154,0.751,-0.218,0.624,-0.818,0.182,0.545,0.819,-0.261,0.511,-0.566,0.793,0.226,0.894,-0.021,0.448,-0.709,0.63,0.315,0.762,0.47,0.446,-0.349,-0.465,-0.814,rock
0.516115,0.035,0.974,0.223,0.394,0.0,-0.919,-0.188,-0.955,0.231,0.744,-0.497,0.446,-0.535,0.802,-0.267,0.75,-0.215,0.626,-0.843,0.241,0.482,0.818,-0.259,0.513,-0.514,0.857,0.0,0.893,-0.019,0.45,-0.742,0.636,0.212,0.763,0.469,0.445,-0.7,-0.14,-0.7,rock
0.561281,0.031,0.974,0.226,-0.707,-0.707,0.0,-0.193,-0.963,0.188,0.747,-0.497,0.443,-0.183,0.365,-0.913,0.754,-0.212,0.622,-0.97,0.243,0.0,0.822,-0.258,0.508,-0.371,0.557,-0.743,0.896,-0.018,0.443,-0.824,0.549,-0.137,0.758,0.471,0.452,-0.93,0.116,-0.349,rock
0.600602,0.027,0.974,0.225,-0.0,-0.894,0.447,-0.169,-0.967,0.192,0.742,-0.5,0.446,-0.136,0.272,-0.953,0.751,-0.215,0.624,-0.802,0.535,-0.267,0.818,-0.261,0.513,-0.183,0.365,-0.913,0.894,-0.02,0.447,-0.762,0.457,-0.457,0.762,0.469,0.446,-0.97,0.108,-0.216,rock
0.642428,0.024,0.976,0.216,0.577,-0.577,0.577,-0.171,-0.961,0.216,0.739,-0.502,0.449,-0.14,0.14,-0.98,0.748,-0.221,0.626,-0.802,0.535,-0.267,0.817,-0.261,0.515,-0.183,0.365,-0.913,0.893,-0.022,0.45,-0.762,0.457,-0.457,0.763,0.471,0.442,-0.988,0.11,-0.11,rock
0.686679,0.028,0.978,0.207,0.0,-0.894,0.447,-0.171,-0.961,0.216,0.736,-0.502,0.454,-0.0,0.141,-0.99,0.745,-0.223,0.629,-0.802,0.535,-0.267,0.813,-0.261,0.521,-0.183,0.365,-0.913,0.889,-0.02,0.457,-0.707,0.566,-0.424,0.768,0.468,0.437,-0.992,0.0,-0.124,rock
0.729278,0.031,0.976,0.214,-0.408,0.408,0.816,-0.171,-0.961,0.216,0.739,-0.5,0.451,0.14,-0.14,-0.98,0.746,-0.219,0.629,-0.707,0.707,-0.0,0.815,-0.259,0.518,0.243,0.0,-0.97,0.891,-0.019,0.454,-0.728,0.485,-0.485,0.767,0.468,0.439,-0.93,0.349,-0.116,rock
0.770516,0.032,0.975,0.221,-0.408,0.408,0.816,-0.203,-0.955,0.215,0.744,-0.5,0.444,0.162,-0.162,-0.973,0.752,-0.215,0.623,-1.0,0.0,0.0,0.82,-0.26,0.511,0.243,0.0,-0.97,0.895,-0.017,0.445,-0.802,0.535,-0.267,0.761,0.467,0.45,-0.911,0.391,-0.13,rock
0.813139,0.028,0.975,0.221,-0.0,0.707,0.707,-0.203,-0.955,0.215,0.744,-0.499,0.445,0.0,0.0,-1.0,0.753,-0.215,0.622,-0.816,0.408,0.408,0.82,-0.259,0.51,-0.0,0.316,-0.949,0.896,-0.018,0.443,-0.784,0.588,-0.196,0.76,0.469,0.45,-0.953,0.272,-0.136,rock
0.856379,0.032,0.976,0.217,-0.0,-0.0,1.0,-0.206,-0.953,0.223,0.742,-0.498,0.449,-0.0,0.164,-0.986,0.75,-0.218,0.624,-0.894,0.447,0.0,0.818,-0.259,0.513,-0.0,0.555,-0.832,0.895,-0.018,0.446,-0.784,0.588,-0.196,0.763,0.467,0.448,-0.927,0.265,-0.265,rock
0.899876,0.028,0.976,0.215,0.0,1.0,-0.0,-0.206,-0.953,0.223,0.742,-0.497,0.449,0.0,0.196,-0.981,0.75,-0.215,0.626,-0.905,0.302,0.302,0.818,-0.258,0.515,-0.0,0.555,-0.832,0.894,-0.017,0.448,-0.696,0.696,-0.174,0.762,0.468,0.448,-0.953,0.136,-0.272,rock
0.939252,0.031,0.976,0.217,0.707,-0.0,0.707,-0.179,-0.96,0.214,0.743,-0.498,0.447,0.0,0.164,-0.986,0.75,-0.215,0.625,-0.802,0.535,0.267,0.819,-0.256,0.513,-0.0,0.555,-0.832,0.894,-0.016,0.447,-0.696,0.696,-0.174,0.763,0.467,0.446,-0.99,0.0,-0.141,rock
0.982927,0.032,0.975,0.222,0.0,0.0,1.0,-0.212,-0.954,0.21,0.744,-0.497,0.447,0.0,0.0,-1.0,0.751,-0.216,0.624,-0.894,0.447,-0.0,0.819,-0.257,0.513,0.0,0.243,-0.97,0.894,-0.016,0.448,-0.743,0.557,-0.371,0.763,0.467,0.446,-0.93,0.349,-0.116,rock
1.026535,0.032,0.975,0.22,-0.447,0.0,0.894,-0.212,-0.954,0.21,0.743,-0.498,0.447,0.0,0.0,-1.0,0.75,-0.215,0.626,-0.894,0.447,-0.0,0.82,-0.256,0.512,-0.0,0.243,-0.97,0.895,-0.015,0.445,-0.784,0.588,-0.196,0.762,0.465,0.45,-0.953,0.272,-0.136,rock
1.066347,0.032,0.975,0.219,1.0,0.0,0.0,-0.189,-0.954,0.234,0.743,-0.498,0.448,0.0,0.164,-0.986,0.75,-0.218,0.625,-0.667,0.667,0.333,0.819,-0.258,0.512,-0.0,0.555,-0.832,0.895,-0.017,0.445,-0.696,0.696,-0.174,0.762,0.467,0.448,-0.98,0.14,-0.14,rock
1.111535,0.032,0.975,0.219,0.0,0.0,1.0,-0.189,-0.954,0.234,0.744,-0.496,0.447,0.0,0.164,-0.986,0.751,-0.215,0.624,-0.667,0.667,0.333,0.82,-0.256,0.511,-0.0,0.555,-0.832,0.896,-0.015,0.444,-0.696,0.696,-0.174,0.763,0.464,0.45,-0.953,0.136,-0.272,rock
1.153992,0.036,0.974,0.222,1.0,0.0,0.0,-0.178,-0.964,0.199,0.747,-0.495,0.445,0.0,0.196,-0.981,0.754,-0.215,0.621,-0.802,0.535,0.267,0.822,-0.255,0.51,-0.0,0.555,-0.832,0.896,-0.014,0.443,-0.696,0.696,-0.174,0.761,0.466,0.452,-0.949,0.0,-0.316,rock
1.195374,0.036,0.973,0.227,0.707,-0.0,0.707,-0.194,-0.96,0.201,0.747,-0.494,0.445,0.0,0.164,-0.986,0.752,-0.213,0.624,-0.667,0.667,0.333,0.822,-0.254,0.509,-0.0,0.447,-0.894,0.897,-0.013,0.442,-0.696,0.696,-0.174,0.762,0.464,0.452,-0.98,0.14,-0.14,rock
1.240015,0.04,0.975,0.217,0.0,-0.0,0.0,-0.194,-0.96,0.201,0.745,-0.495,0.448,0.0,0.196,-0.981,0.75,-0.212,0.626,-0.728,0.485,0.485,0.821,-0.253,0.512,-0.0,0.707,-0.707,0.895,-0.012,0.445,-0.707,0.707,-0.0,0.764,0.462,0.451,-0.949,0.0,-0.316,rock
1.278808,0.036,0.974,0.222,0.707,0.0,-0.707,-0.177,-0.963,0.202,0.747,-0.493,0.446,0.0,0.196,-0.981,0.751,-0.212,0.626,-0.905,0.302,0.302,0.822,-0.252,0.51,-0.0,0.707,-0.707,0.896,-0.012,0.444,-0.707,0.707,-0.0,0.764,0.463,0.449,-0.949,0.0,-0.316,rock
1.322772,0.044,0.975,0.219,0.0,0.707,0.707,-0.179,-0.963,0.202,0.747,-0.491,0.449,0.243,-0.0,-0.97,0.75,-0.209,0.628,-0.667,0.333,0.667,0.82,-0.251,0.515,0.333,0.667,-0.667,0.893,-0.009,0.449,-0.6,0.8,0.0,0.769,0.459,0.445,-0.962,0.192,-0.192,rock
1.360984,0.04,0.976,0.216,0.0,0.949,0.316,-0.188,-0.954,0.232,0.747,-0.49,0.449,0.436,-0.218,-0.873,0.75,-0.205,0.628,-0.408,0.408,0.816,0.822,-0.25,0.512,0.667,0.333,-0.667,0.895,-0.007,0.446,-0.436,0.873,0.218,0.765,0.461,0.45,-0.913,0.365,-0.183,rock
1.401758,0.04,0.975,0.219,0.485,0.728,0.485,-0.23,-0.951,0.207,0.746,-0.491,0.449,0.6,-0.0,-0.8,0.75,-0.206,0.629,-0.0,0.316,0.949,0.821,-0.25,0.514,0.667,0.667,-0.333,0.895,-0.008,0.446,-0.365,0.913,0.183,0.766,0.459,0.45,-0.97,0.243,-0.0,rock
1.445316,0.036,0.977,0.212,0.588,0.784,0.196,-0.211,-0.958,0.193,0.744,-0.491,0.453,0.6,-0.0,-0.8,0.747,-0.21,0.631,0.0,0.555,0.832,0.818,-0.25,0.518,0.802,0.535,-0.267,0.892,-0.008,0.452,-0.236,0.943,0.236,0.771,0.459,0.442,-0.8,0.6,0.0,rock
1.491126,0.036,0.978,0.205,0.365,0.913,0.183,-0.195,-0.955,0.223,0.739,-0.495,0.457,0.8,0.0,-0.6,0.745,-0.213,0.632,0.0,0.371,0.928,0.815,-0.254,0.521,0.8,0.6,0.0,0.89,-0.011,0.456,-0.0,0.949,0.316,0.77,0.462,0.44,-0.707,0.707,0.0,rock
1.528954,0.024,0.978,0.207,0.549,0.824,0.137,-0.195,-0.955,0.223,0.738,-0.498,0.455,0.928,-0.0,-0.371,0.744,-0.217,0.632,0.183,0.365,0.913,0.814,-0.258,0.52,0.784,0.588,0.196,0.89,-0.016,0.456,0.0,0.949,0.316,0.769,0.466,0.437,-0.408,0.816,0.408,rock
1.575388,0.032,0.977,0.211,0.442,0.885,0.147,-0.186,-0.961,0.206,0.741,-0.495,0.453,0.928,0.0,-0.371,0.746,-0.215,0.631,0.169,0.507,0.845,0.818,-0.255,0.516,0.857,0.514,0.0,0.892,-0.012,0.451,0.0,0.949,0.316,0.765,0.464,0.446,-0.667,0.667,0.333,rock
