time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.045251,-0.054,0.791,0.61,-0.044,-0.706,-0.706,0.131,-0.947,-0.293,0.847,-0.497,0.19,-0.869,0.434,-0.237,0.96,-0.011,0.278,-0.983,-0.109,-0.146,0.613,0.366,0.7,-0.562,-0.321,-0.762,0.457,0.497,0.737,-0.606,-0.39,-0.693,0.108,0.96,0.26,-0.314,-0.864,-0.393,scissors
0.045414,-0.039,0.798,0.602,0.127,-0.762,-0.635,0.138,-0.949,-0.283,0.841,-0.503,0.198,-0.813,0.529,-0.244,0.957,-0.023,0.288,-0.991,0.076,-0.114,0.635,0.342,0.692,-0.616,-0.352,-0.704,0.483,0.471,0.738,-0.651,-0.391,-0.651,0.124,0.96,0.25,-0.293,-0.879,-0.377,scissors
0.08718,-0.046,0.806,0.59,0.0,-0.735,-0.678,0.144,-0.95,-0.278,0.844,-0.5,0.196,-0.805,0.521,-0.284,0.958,-0.017,0.286,-0.988,0.086,-0.129,0.621,0.356,0.698,-0.627,-0.289,-0.723,0.475,0.48,0.737,-0.667,-0.333,-0.667,0.114,0.96,0.257,-0.376,-0.847,-0.376,scissors
0.500378,-0.055,0.793,0.607,0.05,-0.799,-0.599,0.177,-0.943,-0.282,0.845,-0.501,0.186,-0.774,0.547,-0.319,0.961,-0.016,0.275,-0.988,0.086,-0.129,0.619,0.365,0.695,-0.68,-0.272,-0.68,0.466,0.493,0.735,-0.71,-0.355,-0.608,0.106,0.961,0.257,-0.362,-0.859,-0.362,scissors
0.50052,-0.043,0.797,0.602,0.047,-0.793,-0.607,0.161,-0.944,-0.286,0.845,-0.501,0.189,-0.743,0.557,-0.371,0.961,-0.017,0.276,-0.98,0.089,-0.178,0.624,0.357,0.695,-0.71,-0.237,-0.663,0.472,0.484,0.737,-0.702,-0.281,-0.655,0.111,0.96,0.257,-0.376,-0.847,-0.376,scissors
0.500656,-0.04,0.796,0.605,0.122,-0.671,-0.732,0.166,-0.939,-0.3,0.843,-0.502,0.193,-0.802,0.535,-0.267,0.96,-0.02,0.28,-0.998,0.048,-0.048,0.633,0.346,0.693,-0.609,-0.332,-0.72,0.484,0.47,0.738,-0.692,-0.346,-0.634,0.118,0.96,0.253,-0.318,-0.848,-0.424,scissors
0.500789,-0.039,0.797,0.603,0.145,-0.582,-0.8,0.166,-0.939,-0.3,0.843,-0.502,0.194,-0.776,0.564,-0.282,0.96,-0.022,0.281,-0.996,0.062,0.062,0.633,0.343,0.694,-0.566,-0.424,-0.707,0.487,0.468,0.737,-0.723,-0.402,-0.562,0.117,0.961,0.251,-0.286,-0.857,-0.429,scissors
0.50092,-0.042,0.782,0.621,-0.577,-0.577,-0.577,0.161,-0.939,-0.304,0.852,-0.49,0.182,-0.766,0.287,-0.575,0.962,-0.0,0.274,-0.992,-0.09,-0.09,0.613,0.363,0.702,-0.555,-0.0,-0.832,0.466,0.484,0.741,-0.707,0.0,-0.707,0.099,0.959,0.267,-0.605,-0.518,-0.605,scissors
0.501053,-0.046,0.768,0.639,-0.707,-0.424,-0.566,0.161,-0.939,-0.304,0.851,-0.499,0.163,-0.824,0.137,-0.549,0.967,-0.009,0.256,-0.963,-0.241,0.12,0.614,0.376,0.694,-0.316,-0.0,-0.949,0.454,0.505,0.734,-0.784,0.196,-0.588,0.084,0.962,0.259,-0.636,-0.212,-0.742,scissors
0.501177,-0.072,0.771,0.632,-0.196,0.588,-0.784,0.161,-0.939,-0.304,0.849,-0.505,0.153,-0.802,-0.267,-0.535,0.97,-0.012,0.243,-0.811,-0.324,0.487,0.616,0.386,0.687,0.0,-0.243,-0.97,0.458,0.513,0.726,-0.816,0.408,-0.408,0.077,0.965,0.251,-0.555,0.0,-0.832,scissors
