time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.018173,0.125,0.2,0.972,0.688,0.229,0.688,-0.047,-0.518,-0.854,0.925,0.374,-0.063,-0.535,0.267,-0.802,0.356,0.779,0.516,-0.514,0.514,0.686,0.399,0.713,0.576,-0.0,0.949,0.316,0.182,0.817,0.547,-0.492,0.615,0.615,-0.077,0.421,0.904,-0.973,0.162,0.162,none
0.062268,0.113,0.192,0.975,0.196,0.588,0.784,-0.047,-0.518,-0.854,0.923,0.378,-0.071,0.408,0.408,-0.816,0.354,0.785,0.509,-0.154,0.617,0.772,0.391,0.721,0.572,0.196,0.784,0.588,0.174,0.822,0.542,-0.309,0.722,0.619,-0.089,0.425,0.901,-0.816,0.408,0.408,none
0.10812,0.112,0.17,0.979,0.169,0.507,0.845,-0.055,-0.517,-0.854,0.912,0.404,-0.068,0.436,0.218,-0.873,0.327,0.802,0.499,-0.174,0.696,0.696,0.366,0.739,0.565,0.218,0.873,0.436,0.146,0.832,0.535,-0.359,0.717,0.598,-0.114,0.413,0.904,-0.811,0.487,0.324,none
0.146073,0.116,0.166,0.979,0.577,0.577,0.577,-0.047,-0.533,-0.845,0.912,0.405,-0.066,0.0,0.316,-0.949,0.327,0.802,0.5,-0.64,0.426,0.64,0.363,0.739,0.568,-0.0,0.894,0.447,0.143,0.833,0.535,-0.469,0.625,0.625,-0.118,0.411,0.904,-0.973,0.162,-0.162,none
0.192857,0.123,0.188,0.974,0.333,-0.667,-0.667,-0.038,-0.53,-0.847,0.916,0.396,-0.061,-0.408,0.408,-0.816,0.333,0.795,0.507,-0.913,0.365,0.183,0.378,0.728,0.572,-0.0,1.0,0.0,0.166,0.824,0.542,-0.426,0.64,0.64,-0.098,0.418,0.903,-0.889,0.254,-0.381,none
0.229493,0.116,0.194,0.974,0.333,-0.667,-0.667,-0.046,-0.537,-0.843,0.919,0.388,-0.065,-0.457,0.457,-0.762,0.344,0.79,0.508,-0.845,0.507,-0.169,0.388,0.724,0.57,-0.236,0.943,-0.236,0.174,0.825,0.537,-0.487,0.811,0.324,-0.095,0.422,0.901,-0.921,0.276,-0.276,none
0.269392,0.118,0.185,0.976,-0.588,-0.784,0.196,-0.06,-0.531,-0.845,0.919,0.388,-0.067,-0.384,0.512,-0.768,0.339,0.794,0.504,-0.7,0.7,-0.14,0.379,0.73,0.568,-0.0,0.986,-0.164,0.167,0.829,0.534,-0.381,0.889,0.254,-0.102,0.421,0.901,-0.91,0.331,-0.248,none
0.315012,0.123,0.178,0.976,0.267,-0.802,-0.535,-0.06,-0.531,-0.845,0.917,0.393,-0.064,-0.625,0.469,-0.625,0.323,0.799,0.507,-0.949,0.316,0.0,0.361,0.737,0.572,-0.688,0.688,-0.229,0.153,0.832,0.533,-0.557,0.743,0.371,-0.103,0.416,0.903,-0.941,0.188,-0.282,none
0.35969,0.12,0.185,0.975,-0.514,-0.686,-0.514,-0.029,-0.5,-0.865,0.919,0.39,-0.064,-0.855,0.367,-0.367,0.339,0.793,0.506,-0.958,-0.0,-0.287,0.375,0.729,0.572,-0.749,0.094,-0.656,0.16,0.829,0.536,-0.889,0.254,-0.381,-0.098,0.416,0.904,-0.88,0.176,-0.44,none
0.399359,0.125,0.186,0.975,0.174,-0.696,-0.696,-0.029,-0.5,-0.865,0.924,0.378,-0.059,-0.811,0.487,-0.324,0.354,0.782,0.513,-0.99,-0.099,-0.099,0.399,0.714,0.575,-0.87,0.097,-0.483,0.183,0.821,0.541,-0.988,0.11,-0.11,-0.085,0.421,0.903,-0.993,0.083,-0.083,none
0.44186,0.129,0.203,0.971,0.174,-0.696,-0.696,-0.064,-0.542,-0.838,0.926,0.373,-0.055,-0.429,0.857,-0.286,0.35,0.778,0.522,-0.968,0.176,0.176,0.396,0.71,0.582,-0.928,0.309,-0.206,0.178,0.819,0.545,-0.928,0.371,0.0,-0.089,0.413,0.907,-0.996,0.066,0.066,none
0.480896,0.126,0.196,0.973,0.217,-0.976,0.0,-0.064,-0.542,-0.838,0.927,0.37,-0.054,-0.243,0.97,-0.0,0.351,0.776,0.524,-0.905,0.302,0.302,0.397,0.709,0.583,-0.891,0.445,0.089,0.185,0.817,0.547,-0.953,0.293,0.073,-0.089,0.409,0.908,-0.998,-0.0,0.059,none
0.52651,0.146,0.188,0.971,0.85,-0.523,0.065,-0.058,-0.529,-0.846,0.932,0.36,-0.053,0.182,0.818,0.545,0.36,0.769,0.528,-0.733,0.262,0.628,0.397,0.704,0.589,-0.715,0.26,0.65,0.182,0.814,0.552,-0.754,0.189,0.629,-0.08,0.408,0.91,-0.899,-0.337,0.281,none
