time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.04482,0.041,0.769,0.638,0.99,0.141,-0.0,0.488,-0.767,-0.416,0.774,-0.359,0.522,0.482,0.843,-0.241,0.864,-0.179,0.47,-0.1,0.796,0.597,0.888,-0.212,0.408,0.314,0.943,-0.105,0.983,-0.032,-0.18,-0.178,0.98,-0.089,0.095,0.937,0.336,-0.772,0.154,0.617,rock
0.057034,0.037,0.774,0.632,0.997,0.0,-0.083,0.503,-0.742,-0.443,0.772,-0.362,0.522,0.414,0.91,-0.0,0.864,-0.182,0.469,-0.07,0.772,0.632,0.886,-0.215,0.41,0.316,0.949,-0.0,0.984,-0.034,-0.177,-0.071,0.997,-0.0,0.098,0.938,0.332,-0.496,0.0,0.868,rock
0.22616,0.033,0.774,0.632,0.957,0.205,-0.205,0.512,-0.762,-0.397,0.771,-0.364,0.522,0.282,0.917,0.282,0.864,-0.185,0.469,-0.117,0.702,0.702,0.886,-0.218,0.409,0.269,0.942,0.202,0.984,-0.038,-0.177,0.0,0.983,0.184,0.097,0.94,0.328,-0.11,-0.11,0.988,rock
0.230021,0.028,0.773,0.633,0.936,0.25,-0.25,0.506,-0.782,-0.364,0.776,-0.363,0.516,0.202,0.942,0.269,0.867,-0.183,0.464,-0.121,0.605,0.787,0.888,-0.218,0.405,0.145,0.946,0.291,0.982,-0.036,-0.183,-0.067,0.94,0.336,0.09,0.939,0.333,0.254,-0.381,0.889,rock
0.23016,0.024,0.785,0.619,0.936,0.25,-0.25,0.492,-0.765,-0.416,0.763,-0.374,0.528,0.141,0.989,0.047,0.86,-0.199,0.47,-0.122,0.671,0.732,0.88,-0.23,0.415,-0.0,0.942,0.336,0.983,-0.046,-0.176,-0.418,0.766,0.488,0.098,0.941,0.324,0.545,-0.778,0.311,rock
0.230291,0.028,0.786,0.617,0.903,-0.151,-0.402,0.531,-0.755,-0.386,0.757,-0.363,0.543,0.17,0.983,0.068,0.852,-0.192,0.487,0.05,0.654,0.755,0.876,-0.218,0.431,0.111,0.889,0.444,0.987,-0.041,-0.158,-0.328,0.786,0.524,0.118,0.941,0.317,0.728,-0.679,0.097,rock
0.265522,0.04,0.799,0.601,0.914,0.0,-0.406,0.531,-0.755,-0.386,0.745,-0.361,0.561,0.294,0.955,0.037,0.842,-0.197,0.502,0.219,0.603,0.767,0.868,-0.217,0.446,0.366,0.793,0.488,0.988,-0.045,-0.145,-0.196,0.784,0.588,0.133,0.942,0.308,0.868,-0.496,-0.0,rock
0.305512,0.036,0.794,0.607,0.993,0.083,-0.083,0.545,-0.74,-0.393,0.745,-0.354,0.566,0.316,0.949,0.0,0.844,-0.187,0.502,0.27,0.595,0.757,0.872,-0.213,0.441,0.428,0.796,0.428,0.987,-0.04,-0.156,-0.0,0.928,0.371,0.121,0.943,0.311,0.818,-0.545,0.182,rock
0.470067,0.037,0.789,0.613,0.967,-0.242,-0.081,0.497,-0.778,-0.384,0.74,-0.357,0.57,0.202,0.972,-0.121,0.843,-0.188,0.503,-0.049,0.839,0.543,0.874,-0.216,0.435,0.268,0.964,0.0,0.985,-0.042,-0.169,-0.229,0.973,0.0,0.111,0.946,0.306,0.087,-0.786,0.612,rock
0.473639,0.028,0.797,0.603,0.955,-0.191,-0.229,0.497,-0.778,-0.384,0.735,-0.365,0.572,0.076,0.991,-0.114,0.839,-0.202,0.506,-0.225,0.899,0.375,0.865,-0.223,0.45,0.162,0.973,-0.162,0.987,-0.051,-0.151,-0.242,0.967,-0.081,0.131,0.947,0.293,-0.237,-0.592,0.77,rock
0.473778,0.032,0.81,0.585,0.954,-0.212,-0.212,0.574,-0.75,-0.329,0.729,-0.366,0.579,-0.0,0.942,-0.336,0.835,-0.204,0.512,-0.319,0.893,0.319,0.86,-0.222,0.459,0.067,0.94,-0.336,0.989,-0.051,-0.138,-0.346,0.922,-0.173,0.143,0.947,0.289,-0.781,-0.39,0.488,rock
0.479786,0.032,0.805,0.592,0.954,-0.212,-0.212,0.527,-0.773,-0.353,0.727,-0.365,0.581,0.0,0.894,-0.447,0.833,-0.206,0.513,-0.345,0.897,0.276,0.86,-0.223,0.458,0.13,0.911,-0.391,0.989,-0.05,-0.137,-0.29,0.928,-0.232,0.14,0.946,0.292,-0.912,-0.152,0.38,rock
0.520717,0.028,0.808,0.588,0.802,-0.267,0.535,0.527,-0.773,-0.353,0.729,-0.361,0.581,-0.0,0.6,-0.8,0.833,-0.204,0.514,-0.447,0.894,-0.0,0.862,-0.22,0.457,0.0,0.664,-0.747,0.989,-0.047,-0.14,-0.488,0.766,-0.418,0.134,0.944,0.3,-0.998,-0.062,0.0,rock
0.559905,0.032,0.806,0.591,0.617,-0.772,0.154,0.527,-0.773,-0.353,0.73,-0.358,0.582,-0.233,0.466,-0.854,0.834,-0.198,0.515,-0.616,0.704,-0.352,0.863,-0.214,0.457,-0.186,0.559,-0.808,0.989,-0.041,-0.139,-0.584,0.701,-0.409,0.132,0.942,0.31,-0.981,-0.187,-0.047,rock
0.712928,0.047,0.809,0.586,0.555,-0.832,-0.0,0.527,-0.773,-0.353,0.727,-0.357,0.587,-0.269,0.404,-0.874,0.83,-0.198,0.521,-0.64,0.64,-0.426,0.862,-0.21,0.462,-0.183,0.488,-0.854,0.991,-0.04,-0.129,-0.605,0.655,-0.453,0.139,0.939,0.316,-0.994,-0.106,-0.035,rock
0.716522,0.036,0.812,0.583,-0.588,-0.784,0.196,0.527,-0.773,-0.353,0.725,-0.355,0.59,-0.336,0.067,-0.94,0.827,-0.204,0.524,-0.69,0.383,-0.614,0.857,-0.215,0.468,-0.253,0.19,-0.949,0.992,-0.041,-0.12,-0.666,0.499,-0.555,0.15,0.935,0.322,-0.979,-0.0,-0.203,rock
0.716671,0.032,0.817,0.576,-0.696,-0.696,0.174,0.522,-0.78,-0.346,0.724,-0.361,0.588,-0.355,-0.142,-0.924,0.827,-0.208,0.522,-0.647,0.185,-0.74,0.858,-0.212,0.469,-0.294,-0.0,-0.956,0.992,-0.04,-0.119,-0.727,0.364,-0.582,0.145,0.935,0.324,-0.946,0.079,-0.315,rock
0.732783,0.037,0.81,0.585,-0.832,-0.555,-0.0,0.556,-0.775,-0.301,0.726,-0.363,0.583,-0.358,-0.268,-0.894,0.83,-0.208,0.518,-0.824,0.137,-0.549,0.859,-0.213,0.465,-0.406,0.0,-0.914,0.992,-0.039,-0.121,-0.808,0.303,-0.505,0.142,0.934,0.328,-0.873,0.154,-0.462,rock
0.771942,0.037,0.811,0.584,-0.873,-0.436,-0.218,0.506,-0.792,-0.342,0.73,-0.359,0.582,-0.389,-0.291,-0.874,0.83,-0.202,0.519,-0.885,-0.147,-0.442,0.862,-0.209,0.461,-0.577,-0.115,-0.808,0.991,-0.036,-0.125,-0.963,0.12,-0.241,0.135,0.932,0.336,-0.83,0.069,-0.553,rock
0.816371,0.041,0.809,0.587,-0.816,-0.408,-0.408,0.53,-0.793,-0.301,0.728,-0.356,0.586,-0.597,-0.1,-0.796,0.83,-0.201,0.521,-0.963,-0.12,-0.241,0.862,-0.205,0.464,-0.702,0.117,-0.702,0.992,-0.032,-0.122,-0.97,0.216,-0.108,0.136,0.93,0.342,-0.786,-0.087,-0.612,rock
0.954919,0.045,0.815,0.577,-0.816,-0.408,-0.408,0.521,-0.79,-0.322,0.723,-0.356,0.592,-0.704,-0.088,-0.704,0.823,-0.202,0.531,-0.976,-0.098,-0.195,0.857,-0.197,0.476,-0.839,0.28,-0.466,0.994,-0.027,-0.107,-0.936,0.341,0.085,0.153,0.924,0.349,-0.745,-0.298,-0.596,rock
0.958343,0.045,0.819,0.572,-0.535,0.267,-0.802,0.521,-0.79,-0.322,0.718,-0.347,0.604,-0.864,-0.259,-0.432,0.818,-0.194,0.542,-0.936,-0.341,-0.085,0.856,-0.193,0.48,-0.909,-0.101,-0.404,0.995,-0.027,-0.1,-0.878,0.479,0.0,0.155,0.924,0.35,-0.939,-0.043,-0.341,rock
0.958476,0.045,0.816,0.577,-0.781,0.488,-0.39,0.547,-0.77,-0.329,0.721,-0.35,0.597,-0.743,-0.473,-0.473,0.82,-0.201,0.535,-0.905,-0.302,-0.302,0.854,-0.199,0.481,-0.709,-0.315,-0.63,0.995,-0.029,-0.095,-0.894,0.358,-0.268,0.156,0.923,0.352,-0.901,0.155,-0.404,rock
0.983177,0.04,0.807,0.59,-0.892,0.446,-0.074,0.547,-0.77,-0.329,0.727,-0.355,0.588,-0.685,-0.548,-0.48,0.827,-0.2,0.525,-0.884,-0.402,-0.241,0.862,-0.197,0.467,-0.63,-0.315,-0.709,0.994,-0.026,-0.109,-0.943,0.236,-0.236,0.136,0.921,0.366,-0.837,0.258,-0.483,rock
1.02829,0.04,0.804,0.593,-0.667,0.333,-0.667,0.54,-0.766,-0.349,0.737,-0.355,0.574,-0.681,-0.426,-0.596,0.835,-0.195,0.514,-0.941,-0.282,-0.188,0.868,-0.2,0.455,-0.742,-0.212,-0.636,0.993,-0.027,-0.116,-0.936,0.351,-0.0,0.121,0.919,0.374,-0.83,0.249,-0.498,rock
1.19827,0.036,0.799,0.601,-0.973,0.162,-0.162,0.54,-0.766,-0.349,0.74,-0.359,0.569,-0.505,-0.303,-0.808,0.838,-0.197,0.509,-0.953,-0.136,-0.272,0.869,-0.204,0.451,-0.482,-0.241,-0.843,0.992,-0.03,-0.121,-0.927,0.265,-0.265,0.113,0.919,0.377,-0.802,0.267,-0.535,rock
1.201901,0.036,0.8,0.599,-0.408,-0.816,-0.408,0.568,-0.737,-0.367,0.743,-0.356,0.567,-0.314,0.105,-0.943,0.839,-0.192,0.508,-0.905,0.302,-0.302,0.872,-0.199,0.448,-0.391,0.13,-0.911,0.992,-0.027,-0.123,-0.912,0.342,-0.228,0.111,0.918,0.382,-0.875,0.08,-0.477,rock
