time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.034428,-0.178,0.744,0.644,-0.189,0.629,0.754,0.804,-0.504,-0.315,0.745,-0.584,0.323,0.84,-0.538,0.067,0.966,-0.219,0.136,0.993,-0.11,0.037,0.922,0.048,0.384,0.836,0.155,0.526,0.925,0.078,0.373,0.704,0.235,0.67,0.07,0.908,0.412,-0.315,0.883,0.347,scissors
0.079255,-0.19,0.748,0.636,-0.147,0.662,0.735,0.804,-0.504,-0.315,0.752,-0.578,0.315,0.841,-0.535,0.076,0.97,-0.208,0.127,0.987,-0.158,0.039,0.914,0.068,0.399,0.84,0.14,0.525,0.917,0.098,0.387,0.708,0.223,0.67,0.055,0.907,0.417,-0.285,0.89,0.356,scissors
0.124175,-0.182,0.746,0.64,0.179,0.718,0.673,0.783,-0.527,-0.331,0.759,-0.572,0.312,0.837,-0.523,0.157,0.972,-0.201,0.124,0.975,-0.054,0.217,0.909,0.07,0.411,0.831,0.046,0.554,0.915,0.095,0.393,0.648,0.149,0.747,0.046,0.906,0.421,-0.286,0.857,0.429,scissors
0.163481,-0.166,0.74,0.652,0.0,0.678,0.735,0.783,-0.527,-0.331,0.757,-0.572,0.316,0.862,-0.492,0.123,0.971,-0.202,0.127,0.966,0.0,0.258,0.912,0.055,0.406,0.823,0.051,0.566,0.915,0.085,0.394,0.584,0.159,0.796,0.053,0.905,0.423,-0.318,0.848,0.424,scissors
0.207957,-0.178,0.756,0.63,-0.061,0.791,0.609,0.789,-0.545,-0.282,0.754,-0.575,0.319,0.807,-0.587,0.073,0.97,-0.206,0.13,0.95,-0.173,0.259,0.912,0.062,0.405,0.892,0.074,0.446,0.918,0.085,0.388,0.61,0.271,0.745,0.053,0.906,0.419,-0.319,0.893,0.319,scissors
0.246802,-0.179,0.743,0.645,-0.076,0.841,0.535,0.776,-0.55,-0.309,0.749,-0.582,0.317,0.745,-0.662,0.083,0.968,-0.216,0.132,0.913,-0.183,0.365,0.918,0.05,0.392,0.908,0.0,0.419,0.924,0.074,0.374,0.653,0.218,0.725,0.064,0.91,0.41,-0.276,0.897,0.345,scissors
0.286539,-0.18,0.75,0.637,-0.076,0.841,0.535,0.796,-0.534,-0.285,0.753,-0.574,0.321,0.759,-0.651,-0.0,0.97,-0.202,0.137,0.953,-0.136,0.272,0.912,0.061,0.406,0.943,0.105,0.314,0.916,0.088,0.391,0.52,0.347,0.78,0.058,0.904,0.423,-0.473,0.867,0.158,scissors
0.329712,-0.16,0.754,0.637,-0.226,0.793,0.566,0.796,-0.534,-0.285,0.751,-0.572,0.33,0.745,-0.596,-0.298,0.968,-0.204,0.146,0.962,-0.192,0.192,0.917,0.033,0.397,0.857,0.286,0.429,0.923,0.06,0.38,0.207,0.518,0.83,0.069,0.901,0.427,-0.612,0.786,0.087,scissors
0.372662,-0.161,0.753,0.637,-0.212,0.636,0.742,0.796,-0.534,-0.285,0.753,-0.569,0.331,0.768,-0.512,-0.384,0.968,-0.203,0.149,0.973,-0.162,-0.162,0.914,0.039,0.403,0.855,0.367,0.367,0.919,0.069,0.387,0.267,0.535,0.802,0.068,0.9,0.43,-0.662,0.745,0.083,scissors
0.410439,-0.161,0.753,0.637,-0.298,0.596,0.745,0.796,-0.534,-0.285,0.751,-0.571,0.331,0.651,-0.391,-0.651,0.967,-0.207,0.147,0.943,-0.236,-0.236,0.916,0.037,0.398,0.707,0.566,0.424,0.921,0.066,0.383,0.185,0.647,0.74,0.071,0.902,0.426,-0.749,0.656,-0.094,scissors
0.453033,-0.162,0.752,0.638,-0.53,0.53,0.662,0.793,-0.517,-0.322,0.749,-0.575,0.329,0.577,-0.577,-0.577,0.966,-0.214,0.143,0.816,-0.408,-0.408,0.919,0.033,0.394,0.744,0.62,0.248,0.924,0.06,0.377,0.174,0.696,0.696,0.074,0.905,0.419,-0.655,0.737,-0.164,scissors
0.491024,-0.17,0.75,0.64,-0.477,0.572,0.667,0.793,-0.517,-0.322,0.753,-0.573,0.323,0.572,-0.667,-0.477,0.968,-0.211,0.137,0.802,-0.535,-0.267,0.917,0.04,0.397,0.784,0.588,0.196,0.92,0.068,0.385,0.352,0.704,0.616,0.065,0.904,0.422,-0.531,0.834,-0.152,scissors
0.536393,-0.159,0.744,0.649,-0.451,0.631,0.631,0.785,-0.546,-0.293,0.761,-0.563,0.322,0.468,-0.749,-0.468,0.972,-0.193,0.136,0.745,-0.596,-0.298,0.906,0.054,0.42,0.87,0.483,0.097,0.913,0.075,0.402,0.426,0.681,0.596,0.052,0.899,0.434,-0.523,0.822,-0.224,scissors
