0.012761,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.013060,0.583,0.134,-0.801,2529.60,20.926,0.448,-23.724,-0.471,-0.462,0.751,0.489,-0.092,-0.867,2320.72,9.064,16.674,-33.012,-0.737,-0.222,0.638,0.253,-0.565,-0.785,2667.53,9.400,-5.148,-9.288,0.691,0.565,0.450,-0.417,0.158,-0.895,2616.61,1.790,-9.288,-18.241,-0.047,0.610,0.791,0.217,0.083,0.973,11.760,-11.481,-10.443,6.916,0.651,0.460,0.604,11.476,-4.702,0.122,34.687,none
0.029567,0.605,0.061,-0.794,3022.24,15.779,-0.895,-41.405,-0.473,-0.448,0.759,0.518,-0.039,-0.855,2457.03,7.162,27.081,-55.393,-0.745,-0.226,0.628,0.271,-0.551,-0.789,2642.21,10.072,-11.526,-8.729,0.651,0.546,0.528,-0.405,0.178,-0.897,2720.13,-29.207,-16.114,-25.962,-0.030,0.597,0.802,0.310,0.075,0.948,12.730,-17.481,-19.511,7.527,0.687,0.428,0.588,12.503,-6.427,8.534,53.618,none
0.486116,0.564,0.140,-0.814,3139.73,12.086,-19.136,-49.239,-0.468,-0.464,0.752,0.503,0.011,-0.864,2839.06,27.081,38.943,-89.301,-0.739,-0.245,0.628,0.214,-0.571,-0.793,2654.75,23.724,-14.324,-4.588,0.694,0.551,0.463,-0.473,0.233,-0.850,2744.09,-43.867,-24.060,-46.889,-0.023,0.570,0.821,0.381,0.068,0.922,12.748,-22.626,-9.252,28.000,0.696,0.407,0.591,10.985,-2.382,24.977,61.939,none
0.486759,0.535,0.138,-0.834,2593.63,38.160,-25.515,-52.260,-0.455,-0.486,0.746,0.492,-0.049,-0.869,2744.34,50.470,37.041,-98.701,-0.741,-0.253,0.622,0.217,-0.531,-0.819,2483.75,30.662,-14.883,-1.567,0.623,0.566,0.540,-0.497,0.249,-0.831,2805.61,-46.441,-22.157,-57.184,-0.015,0.549,0.836,0.436,0.065,0.898,11.488,-14.977,1.466,47.588,0.741,0.405,0.535,10.886,10.962,22.794,67.847,none
0.486940,0.544,0.242,-0.803,2534.00,44.091,-14.660,-63.674,-0.438,-0.461,0.772,0.554,-0.028,-0.832,2383.63,55.953,42.412,-104.520,-0.737,-0.255,0.626,0.223,-0.560,-0.798,2587.25,47.112,-15.219,-21.150,0.610,0.575,0.545,-0.490,0.265,-0.830,3044.58,-48.791,-23.948,-64.682,0.009,0.516,0.857,0.540,0.095,0.836,11.585,25.695,9.420,75.221,0.740,0.425,0.522,11.123,33.008,33.664,66.916,none
0.487084,0.540,0.201,-0.817,2513.79,60.989,9.176,-70.724,-0.426,-0.464,0.777,0.569,-0.054,-0.820,2666.91,59.982,60.877,-115.823,-0.729,-0.221,0.648,0.263,-0.502,-0.824,2980.95,47.448,-14.100,-22.941,0.653,0.582,0.486,-0.509,0.283,-0.813,3124.26,-42.300,-14.100,-71.844,0.011,0.487,0.873,0.561,0.149,0.814,11.784,86.321,20.947,124.687,0.730,0.434,0.528,11.330,56.534,45.481,56.153,none
0.487217,0.557,0.102,-0.824,3123.38,69.270,22.157,-68.151,-0.414,-0.452,0.790,0.581,-0.035,-0.813,2982.44,70.613,67.927,-106.982,-0.731,-0.210,0.649,0.301,-0.444,-0.844,2865.32,46.441,-19.919,-37.377,0.587,0.622,0.517,-0.510,0.374,-0.775,3099.62,-55.953,7.610,-79.006,0.030,0.457,0.889,0.501,0.277,0.820,11.458,137.313,45.588,152.992,0.744,0.480,0.464,10.466,72.855,58.260,40.962,none
0.487347,0.558,0.172,-0.812,2592.63,76.432,15.443,-50.470,-0.413,-0.460,0.786,0.603,-0.009,-0.798,2939.95,90.756,64.346,-85.944,-0.717,-0.246,0.652,0.364,-0.395,-0.843,2447.26,49.127,-15.667,-66.584,0.557,0.624,0.548,-0.499,0.407,-0.765,3305.30,-45.993,32.229,-82.586,0.069,0.381,0.922,0.466,0.372,0.802,11.666,186.809,70.931,160.641,0.866,0.477,0.152,9.204,114.656,67.725,13.466,none
0.487494,0.508,0.607,-0.611,2191.64,71.284,39.055,-43.867,-0.419,-0.429,0.800,0.682,0.119,-0.721,2583.97,95.456,74.753,-68.151,-0.745,-0.190,0.639,0.455,-0.339,-0.823,2734.18,66.584,5.595,-95.120,0.469,0.647,0.601,-0.482,0.441,-0.757,3364.41,-34.691,74.082,-92.994,0.097,0.318,0.943,0.446,0.424,0.789,13.129,226.977,110.794,170.336,0.901,0.422,-0.100,10.197,204.809,107.603,-15.481,none
0.487645,0.450,0.721,-0.527,2169.85,76.544,105.080,-71.396,-0.377,-0.425,0.823,0.598,0.447,-0.665,2506.57,108.325,99.708,-75.201,-0.748,-0.194,0.634,0.533,-0.325,-0.781,2794.11,93.441,7.498,-122.201,0.437,0.684,0.584,-0.502,0.421,-0.755,3127.13,-12.086,109.892,-108.437,0.174,0.225,0.959,0.379,0.519,0.766,11.344,233.191,156.595,172.473,0.757,0.653,-0.033,9.940,277.237,144.687,-33.679,none
