0.009196,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.021549,0.507,0.325,-0.798,2680.54,113.025,43.419,-50.693,-0.346,-0.513,0.785,0.692,-0.233,-0.684,3332.79,220.119,14.883,-160.585,-0.638,0.179,0.749,0.413,-0.320,-0.852,3228.76,38.943,-89.860,-208.592,0.269,0.403,0.874,-0.420,0.479,-0.771,2638.24,-29.767,98.589,-84.489,-0.076,0.295,0.952,0.619,0.122,0.776,11.293,69.023,61.481,138.321,0.803,0.471,0.364,12.421,44.504,98.870,48.412,none
0.063923,0.669,0.197,-0.717,2941.22,149.618,29.767,-58.751,-0.332,-0.453,0.827,0.735,-0.309,-0.604,3108.59,197.738,-8.169,-164.613,-0.640,0.332,0.693,0.280,-0.632,-0.722,2983.63,62.555,-113.025,-199.080,0.233,0.407,0.883,-0.378,0.433,-0.818,2668.32,-26.857,76.991,-104.632,0.014,0.229,0.973,0.194,0.130,0.972,13.681,67.817,49.328,148.931,0.695,0.560,0.450,10.732,51.069,108.229,60.855,none
0.071191,0.723,-0.038,-0.690,2587.75,151.968,27.865,-67.703,-0.298,-0.435,0.850,0.614,-0.670,-0.417,3161.45,179.161,0.671,-148.947,-0.608,0.404,0.684,0.304,-0.508,-0.806,2710.46,42.412,-96.687,-156.109,0.259,0.410,0.874,-0.392,0.407,-0.825,2597.28,-46.665,66.584,-105.527,0.068,0.179,0.981,0.065,0.096,0.993,14.253,12.779,48.718,116.779,0.430,0.620,0.656,10.906,46.779,107.405,52.641,none
0.489955,0.712,-0.264,-0.651,2488.53,137.868,29.096,-66.920,-0.257,-0.343,0.903,0.702,-0.550,-0.452,2264.07,144.023,3.245,-119.963,-0.580,0.500,0.643,0.206,-0.664,-0.718,2575.26,60.765,-95.679,-152.751,0.283,0.441,0.852,-0.423,0.407,-0.810,2524.94,-34.803,57.631,-88.741,0.100,0.149,0.984,0.167,0.044,0.985,10.034,-10.580,40.901,86.244,0.439,0.576,0.690,10.042,25.710,80.885,38.168,none
0.495449,0.670,-0.334,-0.664,2646.36,105.863,22.045,-55.393,-0.244,-0.341,0.908,0.583,-0.726,-0.365,2808.90,113.920,26.745,-115.487,-0.566,0.542,0.622,0.213,-0.578,-0.788,2399.59,36.705,-73.075,-130.146,0.262,0.474,0.841,-0.428,0.317,-0.846,2471.62,-6.267,47.560,-70.277,0.120,0.132,0.984,0.236,-0.019,0.972,8.674,3.924,21.725,67.267,0.514,0.541,0.665,8.847,22.992,54.901,33.725,none
0.495632,0.652,-0.274,-0.707,2610.92,71.620,10.519,-40.958,-0.222,-0.229,0.948,0.649,-0.577,-0.496,2719.21,67.703,27.081,-99.037,-0.536,0.593,0.601,0.176,-0.701,-0.691,2734.13,34.019,-67.255,-123.208,0.256,0.492,0.832,-0.442,0.313,-0.840,2433.95,-9.288,37.377,-54.610,0.140,0.109,0.984,0.244,-0.016,0.970,9.751,26.504,11.725,58.107,0.556,0.513,0.654,9.400,25.160,32.229,29.298,none
0.495814,0.655,-0.242,-0.715,2508.87,42.748,6.826,-35.810,-0.253,-0.233,0.939,0.619,-0.563,-0.548,2961.36,49.127,29.319,-86.727,-0.538,0.557,0.633,0.148,-0.703,-0.695,2519.09,18.241,-60.765,-105.527,0.261,0.516,0.816,-0.445,0.347,-0.826,2487.45,-29.319,31.893,-42.972,0.153,0.088,0.984,0.205,-0.014,0.979,11.372,29.221,9.740,44.473,0.524,0.508,0.684,10.025,25.069,22.779,21.969,none
0.495996,0.624,-0.172,-0.762,2460.29,28.648,8.617,-27.081,-0.227,-0.186,0.956,0.636,-0.494,-0.592,2837.64,28.648,19.024,-60.653,-0.555,0.570,0.606,0.180,-0.597,-0.781,2454.41,16.003,-34.131,-73.970,0.262,0.541,0.799,-0.464,0.372,-0.804,2530.09,-25.403,25.850,-33.124,0.176,0.062,0.982,0.238,-0.021,0.971,11.849,17.298,13.176,29.939,0.543,0.480,0.689,10.835,15.969,18.733,10.611,none
0.496153,0.603,-0.138,-0.786,2497.76,27.641,11.750,-19.136,-0.238,-0.160,0.958,0.615,-0.562,-0.553,2598.12,31.110,19.248,-48.903,-0.553,0.590,0.588,0.133,-0.637,-0.759,2592.52,25.962,-16.674,-59.982,0.255,0.559,0.789,-0.481,0.361,-0.799,2545.92,-10.072,25.850,-24.284,0.177,0.066,0.982,0.275,-0.045,0.960,10.532,13.038,12.473,20.336,0.579,0.460,0.673,9.709,9.725,14.260,3.908,none
0.496321,0.601,-0.205,-0.772,2489.79,21.822,11.974,-10.967,-0.214,-0.143,0.966,0.626,-0.527,-0.575,2737.06,10.855,23.612,-31.334,-0.564,0.566,0.600,0.120,-0.667,-0.735,2623.50,16.003,-2.574,-37.377,0.251,0.562,0.788,-0.468,0.321,-0.824,2471.12,-2.462,20.479,-9.848,0.192,0.042,0.981,0.242,-0.066,0.968,9.772,22.229,8.046,10.198,0.561,0.462,0.687,8.933,13.893,0.458,-1.695,none
