0.004629,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.004763,-0.3,0.809,-0.506,2470.34,-3.805,-3.581,-2.686,-0.096,-0.924,0.371,-0.317,0.885,-0.341,2455.13,-5.483,2.686,-4.812,-0.08,-0.937,0.339,0.257,0.441,-0.86,2598.32,-1.679,1.455,-3.581,0.148,-0.642,0.752,-0.089,0.994,-0.061,2495.49,-1.231,3.245,-0.224,0.345,-0.937,-0.054,0.532,0.771,-0.35,9.531,5.038,2.198,-7.221,0.517,0.8,-0.305,10.196,-6.824,-2.26,-5.878,none
0.004879,-0.274,0.824,-0.496,2497.67,-0.112,3.021,0.336,-0.098,-0.907,0.411,-0.302,0.896,-0.325,2512.96,0.56,3.245,-0.56,-0.061,-0.929,0.365,0.248,0.755,-0.607,2533.65,-1.679,1.455,-3.581,0.148,-0.642,0.752,0.262,0.774,-0.576,2442.62,2.91,-0.112,1.343,-0.107,-0.773,0.626,0.54,0.769,-0.341,9.679,5.908,1.74,-8.916,0.521,0.799,-0.3,10.304,-6.58,-1.939,-7.466,none
0.007543,0.887,0.442,-0.136,2393.74,2.014,3.357,4.029,-0.835,-0.288,0.469,-0.302,0.896,-0.325,2512.96,1.902,2.686,4.252,-0.8,-0.455,0.392,0.585,-0.491,-0.646,2522.87,6.491,2.91,-1.231,-0.237,0.634,0.736,0.273,0.744,-0.609,2420.42,5.819,3.581,1.231,-0.085,-0.763,0.641,0.543,0.769,-0.337,9.712,5.954,1.893,-9.389,0.525,0.797,-0.297,10.403,-6.626,-1.359,-7.649,none
0.007657,0.887,0.44,-0.14,2449.53,3.021,5.371,5.148,-0.813,-0.329,0.48,0.858,0.512,0.044,2458.07,1.902,4.141,6.491,-0.804,-0.467,0.367,0.579,-0.497,-0.647,2550.11,7.945,3.133,-1.679,-0.229,0.636,0.737,0.278,0.737,-0.616,2444.31,6.602,3.917,1.007,-0.088,-0.779,0.62,0.537,0.77,-0.344,9.717,5.908,1.359,-9.038,0.519,0.801,-0.298,10.359,-6.55,-1.969,-7.481,none
0.007752,0.888,0.438,-0.137,2434.87,2.238,4.7,4.924,-0.813,-0.285,0.508,0.859,0.51,0.052,2447.06,1.567,4.141,5.819,-0.825,-0.431,0.365,0.576,-0.503,-0.644,2576.76,6.491,3.133,-2.014,-0.22,0.646,0.731,0.264,0.735,-0.624,2426.68,5.707,3.917,1.79,-0.088,-0.766,0.637,5.241,7.482,-3.335,9.725,6.076,-0.519,-8.168,5.423,8.332,-3.132,10.423,-6,-3.45,-6.611,none
0.007847,0.889,0.435,-0.143,2476.7,1.007,4.812,3.805,-0.843,-0.308,0.441,0.858,0.513,0.043,2493.19,0.336,4.7,4.588,-0.812,-0.452,0.368,0.582,-0.494,-0.645,2584.18,4.588,3.133,-2.126,-0.194,0.668,0.718,0.139,0.77,-0.622,2212.24,22.941,1.231,2.91,-0.09,-0.751,0.654,5.507,7.554,-3.218,9.886,5.466,-1.45,-6.595,5.629,8.353,-3.072,10.531,-6.107,-3.817,-4.473,none
0.007933,0.876,0.452,-0.169,2557.88,-1.679,2.686,1.902,-0.848,-0.267,0.457,0.86,0.51,0.027,2523.54,-0.336,3.021,3.469,-0.814,-0.462,0.352,0.559,-0.518,-0.647,2654.69,1.119,2.014,-1.567,-0.201,0.665,0.72,0.299,0.748,-0.593,2569.56,-27.529,-4.252,-0.671,-0.11,-0.767,0.632,5.351,7.412,-3.417,9.76,6.87,-2.275,-3.221,5.729,8.334,-3.187,10.604,-4.046,-6.931,-2.046,none
0.008011,0.882,0.457,-0.117,2440.86,-0.783,-0.224,0.224,-0.838,-0.279,0.469,0.855,0.518,0.024,2502.2,-1.455,-0.112,-0.783,-0.806,-0.441,0.395,0.562,-0.497,-0.662,2610.34,-2.35,0.895,-0.336,-0.249,0.619,0.745,0.259,0.789,-0.557,2509.93,-29.879,-4.7,-0.224,-0.09,-0.746,0.66,5.55,7.472,-3.409,9.913,5.282,-2.397,-1.221,5.638,8.344,-3.141,10.549,-5.313,-7.191,-0.382,none
0.008106,0.879,0.449,-0.161,2505.81,-1.902,-1.902,-0.448,-0.837,-0.27,0.476,0.84,0.54,0.055,2476.44,-1.343,-0.56,-0.783,-0.815,-0.441,0.376,0.586,-0.473,-0.658,2551.46,-2.574,0.448,-0.112,-0.251,0.647,0.72,0.269,0.765,-0.586,2486.49,1.119,1.79,1.567,-0.119,-0.765,0.633,5.509,7.554,-3.373,9.939,4.901,-2.183,-1.71,5.59,8.337,-3.27,10.557,-6.366,-5.924,-0.183,none
0.008191,0.871,0.472,-0.135,2470.67,-1.455,-0.224,-0.112,-0.836,-0.318,0.448,0.838,0.543,0.055,2495.12,-1.567,-1.455,0,-0.814,-0.451,0.365,0.573,-0.485,-0.66,2589.59,-1.231,0.448,0.112,-0.234,0.647,0.726,0.282,0.744,-0.606,2449.7,10.407,5.148,2.574,-0.106,-0.748,0.655,5.59,7.331,-3.613,9.902,4.763,-0.702,-1.191,5.751,8.222,-3.424,10.601,-6.427,-5.115,0.443,none
