0.016887,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.062622,0.519,-0.237,-0.821,2448.60,0.112,0.000,0.336,-0.595,0.047,0.802,0.732,-0.128,-0.669,2462.31,0.000,0.224,0.448,-0.673,0.201,0.712,0.278,-0.408,-0.869,2455.48,0.336,0.000,0.336,-0.268,0.448,0.853,-0.250,0.233,-0.940,2439.54,0.112,-0.448,0.000,-0.157,-0.614,-0.774,0.491,0.251,0.834,10.830,5.130,0.641,-1.878,0.751,0.376,0.542,10.142,-5.939,-4.519,-1.206,none
0.063494,0.519,-0.241,-0.820,2450.99,0.448,0.112,0.448,-0.593,0.062,0.803,0.730,-0.128,-0.672,2469.01,0.224,0.112,0.448,-0.676,0.279,0.682,0.281,-0.408,-0.868,2458.27,0.336,0.112,0.560,-0.317,0.379,0.869,-0.249,0.232,-0.940,2448.94,0.112,-0.224,0.000,-0.153,-0.622,-0.768,0.492,0.251,0.833,10.834,5.267,0.626,-1.786,0.751,0.377,0.542,10.164,-5.863,-4.550,-1.053,none
0.064332,0.519,-0.241,-0.820,2450.99,0.224,0.000,0.224,-0.632,0.026,0.775,0.730,-0.128,-0.672,2469.01,0.336,0.000,0.336,-0.661,0.207,0.721,0.277,-0.407,-0.870,2464.17,0.112,0.112,0.112,-0.332,0.413,0.848,-0.250,0.233,-0.940,2439.54,0.000,-0.336,0.000,-0.139,-0.638,-0.758,0.493,0.249,0.834,10.843,5.344,0.504,-1.649,0.753,0.375,0.540,10.139,-5.832,-4.626,-1.008,none
0.081641,0.517,-0.238,-0.822,2443.94,0.000,-0.224,0.112,-0.613,0.045,0.789,0.730,-0.132,-0.671,2456.17,0.112,0.112,0.336,-0.664,0.304,0.684,0.278,-0.408,-0.869,2455.48,0.448,0.000,0.224,-0.301,0.422,0.855,-0.250,0.233,-0.940,2439.54,0.000,0.000,-0.112,-0.145,-0.635,-0.759,0.493,0.249,0.834,10.839,5.313,0.580,-1.725,0.751,0.378,0.542,10.145,-5.802,-4.489,-1.084,none
0.103926,0.514,-0.241,-0.823,2455.38,0.224,-0.112,0.448,-0.638,0.053,0.769,0.730,-0.132,-0.671,2470.18,0.336,0.112,0.560,-0.665,0.241,0.707,0.278,-0.408,-0.869,2455.48,0.671,0.112,0.224,-0.312,0.401,0.861,-0.253,0.233,-0.939,2442.06,0.336,-0.112,-0.112,-0.104,-0.647,-0.755,0.493,0.247,0.835,10.858,5.450,0.809,-2.031,0.751,0.375,0.543,10.160,-5.817,-4.305,-1.389,none
0.125810,0.516,-0.242,-0.822,2446.33,0.224,0.112,0.448,-0.601,0.058,0.797,0.732,-0.128,-0.669,2462.31,0.224,0.336,0.783,-0.669,0.221,0.710,0.278,-0.408,-0.869,2455.48,0.671,0.224,0.448,-0.314,0.410,0.856,-0.249,0.237,-0.939,2441.89,0.336,-0.112,-0.224,-0.098,-0.640,-0.762,0.491,0.250,0.835,10.838,5.634,1.038,-2.321,0.749,0.376,0.545,10.141,-5.771,-4.198,-1.725,none
0.147419,0.519,-0.241,-0.820,2450.99,0.560,0.448,0.783,-0.638,0.045,0.769,0.731,-0.132,-0.669,2463.48,0.671,0.783,0.671,-0.681,0.260,0.684,0.281,-0.411,-0.867,2462.37,1.119,0.560,0.336,-0.302,0.457,0.837,-0.249,0.228,-0.941,2445.70,0.336,-0.112,-0.112,-0.119,-0.647,-0.753,0.491,0.250,0.835,10.860,5.725,0.962,-2.290,0.749,0.378,0.545,10.161,-5.695,-4.321,-1.634,none
0.170214,0.518,-0.245,-0.819,2454.24,0.448,0.336,0.671,-0.655,0.043,0.754,0.733,-0.132,-0.667,2470.80,0.448,0.448,0.560,-0.678,0.277,0.681,0.281,-0.408,-0.868,2458.27,0.671,0.224,0.224,-0.308,0.423,0.852,-0.250,0.233,-0.940,2439.54,0.112,-0.112,-0.112,-0.127,-0.622,-0.772,0.491,0.251,0.834,10.856,5.573,0.718,-1.985,0.750,0.376,0.544,10.154,-5.725,-4.458,-1.298,none
0.190819,0.518,-0.245,-0.819,2454.24,0.336,0.112,0.112,-0.633,0.023,0.773,0.731,-0.131,-0.669,2477.49,0.224,0.112,0.336,-0.654,0.247,0.715,0.281,-0.408,-0.868,2458.27,0.336,0.112,0.224,-0.333,0.431,0.839,-0.250,0.233,-0.940,2439.54,0.224,-0.112,-0.224,-0.126,-0.628,-0.768,0.491,0.250,0.835,10.864,5.450,0.458,-1.634,0.749,0.378,0.544,10.163,-5.771,-4.656,-0.977,none
0.212155,0.519,-0.241,-0.820,2450.99,0.448,-0.112,0.112,-0.620,0.012,0.785,0.731,-0.131,-0.669,2477.49,0.000,0.000,0.112,-0.672,0.267,0.691,0.281,-0.411,-0.867,2462.37,0.000,-0.112,0.112,-0.312,0.385,0.868,-0.245,0.228,-0.942,2443.23,0.112,0.000,0.000,-0.155,-0.608,-0.779,0.490,0.250,0.835,10.838,5.176,0.015,-1.191,0.751,0.377,0.542,10.157,-5.832,-4.977,-0.489,none
0.233700,0.524,-0.241,-0.817,2448.02,-0.336,-0.560,0.000,-0.615,0.033,0.788,0.731,-0.136,-0.669,2464.82,-0.224,-0.560,0.000,-0.642,0.305,0.703,0.281,-0.408,-0.868,2458.27,-0.336,-0.448,0.224,-0.287,0.430,0.856,-0.250,0.233,-0.940,2439.54,-0.112,-0.112,0.000,-0.158,-0.631,-0.760,0.492,0.250,0.834,10.839,4.962,-0.015,-1.145,0.750,0.374,0.545,10.192,-5.985,-4.855,-0.382,none
0.256640,0.516,-0.245,-0.821,2449.59,0.112,-0.448,0.112,-0.606,0.017,0.796,0.731,-0.132,-0.669,2463.48,-0.112,-0.560,0.336,-0.668,0.230,0.708,0.278,-0.408,-0.869,2455.48,-0.560,-0.560,0.224,-0.295,0.429,0.854,-0.253,0.232,-0.939,2451.45,-0.224,-0.336,0.000,-0.174,-0.625,-0.761,0.491,0.250,0.834,10.853,5.359,-0.061,-1.450,0.750,0.376,0.544,10.151,-5.725,-4.947,-0.702,none
0.278540,0.521,-0.242,-0.819,2442.80,-0.448,-0.560,0.112,-0.606,0.017,0.796,0.731,-0.132,-0.669,2463.48,-0.112,-0.224,-0.112,-0.642,0.256,0.723,0.278,-0.408,-0.869,2455.48,-0.224,-0.112,0.112,-0.311,0.405,0.860,-0.248,0.236,-0.940,2451.28,0.000,0.000,0.000,-0.135,-0.634,-0.762,0.493,0.250,0.834,10.849,5.802,0.015,-1.863,0.749,0.375,0.546,10.171,-5.450,-4.748,-1.176,none
