0.002914,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.045542,0.810,0.575,-0.117,2237.36,-12.310,-23.948,-20.814,-0.983,-0.181,0.019,0.843,0.534,-0.061,2089.02,-22.717,-34.131,-19.024,-0.951,-0.219,0.218,0.511,-0.286,-0.810,2023.59,-27.753,-9.960,31.110,-0.253,0.595,0.763,0.073,0.795,-0.602,2289.72,-36.593,-12.533,-1.902,-0.070,-0.072,0.995,0.701,0.546,0.459,10.125,1.817,-29.221,21.771,0.608,0.792,-0.049,9.771,-7.389,-19.237,21.817,none
0.045724,0.816,0.556,-0.159,2259.16,-0.448,-15.891,-7.610,-0.978,-0.194,0.079,0.850,0.504,-0.155,2212.53,-6.379,-13.205,-5.707,-0.944,-0.224,0.243,0.452,-0.319,-0.833,2180.47,-10.183,-4.476,17.457,-0.311,0.592,0.743,0.059,0.799,-0.599,2316.26,-11.302,-6.602,-5.260,-0.077,-0.086,0.993,0.703,0.542,0.461,10.199,3.863,-4.809,10.137,0.601,0.798,-0.038,9.800,-12.840,-1.664,4.397,none
0.056719,0.807,0.564,-0.174,2296.18,12.086,-5.707,6.602,-0.972,-0.214,0.096,0.848,0.509,-0.145,2227.64,2.798,-7.386,3.245,-0.949,-0.214,0.230,0.454,-0.327,-0.829,2215.53,1.343,-6.043,6.938,-0.265,0.562,0.783,0.040,0.772,-0.634,2435.51,7.274,-1.790,-8.617,-0.077,-0.078,0.994,0.628,0.555,0.546,11.313,-1.863,31.267,-8.763,0.550,0.831,0.083,10.614,-26.031,24.962,-17.985,none
0.081180,0.871,0.476,-0.124,2352.71,20.143,7.274,15.443,-0.988,-0.136,0.078,0.941,0.330,-0.069,2277.47,18.576,10.855,14.324,-0.937,-0.239,0.257,0.431,-0.546,-0.718,2172.85,28.424,-6.267,-12.198,-0.285,0.582,0.761,0.030,0.690,-0.723,2637.23,24.731,5.483,-9.624,-0.066,-0.071,0.995,0.562,0.543,0.624,11.555,-13.191,69.710,-28.779,0.460,0.866,0.199,10.998,-40.351,45.130,-36.046,none
0.491615,0.942,0.263,-0.210,2653.29,24.507,22.605,27.641,-0.976,-0.197,0.092,0.973,0.164,-0.161,2677.47,23.612,26.186,27.417,-0.948,-0.216,0.236,0.348,-0.646,-0.680,2612.40,48.567,4.029,-17.457,-0.289,0.615,0.734,0.019,0.574,-0.819,2642.40,46.665,7.162,-8.393,-0.060,-0.065,0.996,0.473,0.545,0.692,11.015,-17.542,68.122,-35.160,0.447,0.861,0.241,10.808,-42.290,31.985,-38.718,none
0.491776,0.946,0.209,-0.248,2869.31,17.569,16.226,33.236,-0.985,-0.153,0.081,0.982,0.102,-0.161,2854.54,22.269,25.067,31.669,-0.950,-0.203,0.236,0.303,-0.702,-0.645,2893.10,50.470,7.833,-21.486,-0.257,0.616,0.745,0.015,0.426,-0.904,2682.49,74.753,-9.064,-2.126,-0.060,-0.069,0.996,0.431,0.551,0.715,10.731,-13.542,37.695,-29.954,0.412,0.876,0.253,10.464,-29.649,7.695,-27.603,none
0.491876,0.957,0.079,-0.279,3114.13,18.688,4.141,30.886,-0.991,-0.123,0.052,0.987,-0.008,-0.163,3059.22,9.624,7.498,21.822,-0.958,-0.187,0.216,0.290,-0.733,-0.616,2997.55,23.948,5.595,-3.581,-0.268,0.653,0.708,0.019,0.366,-0.930,2618.06,60.093,-22.157,2.798,-0.035,-0.048,0.998,0.406,0.567,0.717,10.156,-2.595,-4.061,-19.527,0.399,0.884,0.243,9.835,-10.366,-22.718,-8.763,none
0.491980,0.968,0.192,-0.160,2562.17,-14.100,-13.317,13.317,-0.993,-0.104,0.048,0.993,0.053,-0.104,2545.38,-3.805,-13.541,19.024,-0.970,-0.155,0.187,0.317,-0.728,-0.608,2679.59,2.686,2.350,9.512,-0.284,0.646,0.708,0.032,0.382,-0.924,2403.58,11.750,-18.688,8.617,-0.022,-0.043,0.999,0.449,0.558,0.698,9.974,3.237,-32.366,-10.412,0.423,0.878,0.225,9.485,-0.580,-36.351,2.290,none
0.492084,0.962,0.191,-0.194,2413.33,-22.157,-15.219,0.560,-0.990,-0.124,0.061,0.991,0.131,-0.035,2215.58,-16.003,-22.381,12.645,-0.962,-0.160,0.223,0.372,-0.690,-0.620,2358.31,-10.407,1.455,21.038,-0.320,0.635,0.703,0.013,0.474,-0.880,2288.73,-22.941,-18.353,14.324,-0.011,-0.034,0.999,0.498,0.542,0.677,10.185,4.626,-44.183,-2.855,0.454,0.868,0.201,9.593,5.756,-44.076,4.458,none
0.492187,0.949,0.270,-0.161,2292.39,-28.200,-17.233,-0.560,-0.991,-0.115,0.070,0.979,0.188,-0.079,2220.81,-23.724,-9.512,5.707,-0.958,-0.187,0.216,0.404,-0.622,-0.671,2224.44,-15.219,11.638,15.331,-0.289,0.640,0.711,-0.008,0.546,-0.838,2381.81,-24.284,-14.772,18.464,-0.023,-0.048,0.999,0.537,0.518,0.666,10.849,6.733,-43.160,-10.336,0.516,0.836,0.187,10.562,4.336,-37.053,-7.740,none
