1.576888,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
1.577057,-0.086,0.987,-0.137,2456.26,2.462,-1.455,0.448,0.032,-0.932,-0.361,0.409,0.537,-0.738,2503.39,0.336,-2.798,2.574,-0.605,-0.757,0.246,0.356,-0.471,-0.807,2464.38,-3.469,0.560,1.007,-0.829,0.510,0.228,-0.519,0.662,-0.540,2489.48,-0.560,-1.231,0.671,0.136,-0.395,0.909,0.992,0.037,-0.122,10.082,5.649,1.847,-0.840,0.932,0.157,-0.327,10.853,-6.000,-3.191,-0.412,none
1.577167,-0.086,0.987,-0.136,2466.13,2.462,-1.007,0.224,0.040,-0.952,-0.304,0.412,0.543,-0.732,2532.40,0.336,-3.245,1.007,-0.596,-0.759,0.261,0.357,-0.474,-0.805,2509.04,-2.686,-0.112,0.000,-0.825,0.527,0.205,-0.516,0.665,-0.541,2506.16,-1.007,-1.343,0.336,0.122,-0.387,0.914,0.991,0.043,-0.130,10.047,5.771,2.229,-1.206,0.930,0.162,-0.329,10.767,-5.817,-3.878,-0.748,none
1.577256,-0.086,0.987,-0.133,2455.90,3.805,-0.112,1.679,0.040,-0.939,-0.342,0.415,0.532,-0.738,2489.43,1.231,-3.917,1.455,-0.597,-0.771,0.222,0.348,-0.478,-0.806,2489.95,-4.588,-2.462,0.448,-0.832,0.512,0.213,-0.519,0.662,-0.540,2489.48,0.112,-1.119,-0.336,0.116,-0.389,0.914,0.991,0.041,-0.126,9.994,5.664,1.954,-0.901,0.931,0.168,-0.324,10.745,-6.046,-4.214,-0.183,none
1.577341,-0.075,0.989,-0.130,2432.49,5.371,0.000,2.350,0.039,-0.950,-0.310,0.424,0.515,-0.745,2437.72,2.126,-3.469,1.343,-0.604,-0.772,0.199,0.341,-0.479,-0.809,2483.87,-6.379,-3.805,0.112,-0.829,0.523,0.201,-0.519,0.662,-0.540,2489.48,-0.448,-1.007,0.112,0.132,-0.379,0.916,0.992,0.052,-0.119,10.030,5.405,1.542,0.015,0.930,0.173,-0.325,10.772,-6.336,-4.977,0.809,none
1.577425,-0.086,0.987,-0.133,2455.90,7.833,0.000,1.902,0.034,-0.951,-0.306,0.423,0.520,-0.742,2511.99,0.671,-3.581,0.895,-0.600,-0.761,0.246,0.344,-0.482,-0.806,2492.09,-9.288,-4.364,-0.224,-0.844,0.497,0.200,-0.514,0.663,-0.543,2511.58,-0.895,-0.895,1.007,0.113,-0.376,0.920,0.991,0.042,-0.126,10.034,5.084,2.824,0.336,0.929,0.161,-0.332,10.760,-6.595,-3.053,0.733,none
1.577506,-0.086,0.986,-0.145,2450.06,6.379,-0.671,1.455,0.059,-0.941,-0.333,0.406,0.539,-0.738,2474.78,-0.448,-4.588,0.783,-0.614,-0.763,0.201,0.354,-0.468,-0.810,2479.74,-6.826,-1.902,0.000,-0.802,0.552,0.227,-0.513,0.666,-0.542,2518.89,-1.455,-1.455,1.119,0.121,-0.379,0.917,0.991,0.035,-0.125,10.050,5.588,2.183,-0.427,0.931,0.155,-0.330,10.767,-5.954,-3.313,0.031,none
1.577587,-0.086,0.985,-0.150,2440.69,2.910,-0.336,0.671,0.043,-0.945,-0.323,0.401,0.543,-0.738,2476.89,0.336,-3.021,0.560,-0.599,-0.757,0.261,0.359,-0.458,-0.813,2470.22,-3.581,-0.112,0.336,-0.830,0.503,0.239,-0.517,0.666,-0.538,2500.77,-1.007,-0.783,0.448,0.102,-0.392,0.914,0.992,0.028,-0.122,10.003,6.824,1.298,-0.992,0.934,0.149,-0.325,10.716,-4.626,-3.908,-0.473,none
1.577676,-0.091,0.984,-0.154,2434.23,0.448,0.112,-0.224,0.050,-0.946,-0.321,0.397,0.548,-0.736,2454.17,0.336,-1.902,0.112,-0.576,-0.775,0.262,0.362,-0.450,-0.816,2472.18,-1.119,0.560,0.000,-0.826,0.510,0.242,-0.512,0.670,-0.538,2502.30,-1.007,-0.112,0.000,0.109,-0.371,0.922,0.992,0.034,-0.122,10.007,8.183,0.641,-1.725,0.932,0.155,-0.328,10.698,-3.252,-5.481,-0.962,none
1.984787,-0.090,0.985,-0.149,2442.56,-1.007,0.448,0.112,0.050,-0.946,-0.321,0.408,0.534,-0.741,2462.03,0.895,-0.224,-0.112,-0.623,-0.756,0.200,0.354,-0.460,-0.814,2478.57,1.567,-0.895,0.560,-0.800,0.532,0.276,-0.508,0.670,-0.541,2502.60,0.112,0.224,-0.895,0.102,-0.382,0.919,0.992,0.037,-0.123,10.005,7.786,-0.260,-2.382,0.932,0.160,-0.326,10.754,-3.573,-7.008,-1.145,none
1.985018,-0.082,0.986,-0.144,2459.16,-0.448,0.336,0.783,0.049,-0.960,-0.275,0.422,0.526,-0.739,2497.89,0.895,-0.112,1.343,-0.608,-0.768,0.200,0.348,-0.478,-0.806,2489.95,-0.112,-2.014,0.560,-0.825,0.519,0.225,-0.514,0.663,-0.544,2472.51,1.679,0.112,-1.231,0.109,-0.378,0.919,0.992,0.045,-0.121,10.010,7.511,1.053,-1.817,0.930,0.163,-0.328,10.763,-4.031,-5.267,-0.962,none
1.985138,-0.079,0.987,-0.138,2434.95,1.231,0.224,0.895,0.035,-0.946,-0.323,0.412,0.527,-0.743,2456.38,0.336,-2.686,1.231,-0.607,-0.743,0.283,0.345,-0.474,-0.810,2429.01,-1.679,-1.343,0.671,-0.832,0.512,0.213,-0.522,0.654,-0.547,2475.17,1.007,-0.112,-0.895,0.106,-0.381,0.918,0.991,0.041,-0.128,9.902,8.321,1.756,-0.809,0.928,0.160,-0.336,10.648,-3.206,-4.214,-0.046,none
1.985256,-0.076,0.987,-0.142,2435.87,0.112,-0.336,-0.783,0.023,-0.936,-0.350,0.413,0.521,-0.747,2430.25,0.336,-3.133,0.224,-0.583,-0.771,0.257,0.344,-0.467,-0.815,2464.60,-0.560,1.007,0.112,-0.820,0.534,0.208,-0.522,0.658,-0.543,2475.62,-1.119,0.336,0.448,0.109,-0.371,0.922,0.991,0.035,-0.133,9.968,10.382,1.435,0.321,0.929,0.151,-0.339,10.721,-1.191,-5.496,1.496,none
1.985788,-0.083,0.987,-0.138,2435.98,-0.224,-0.783,-2.126,0.052,-0.947,-0.318,0.409,0.528,-0.744,2451.94,-2.910,-4.476,0.783,-0.589,-0.751,0.300,0.345,-0.468,-0.814,2481.68,-0.336,2.686,0.000,-0.822,0.525,0.221,-0.516,0.663,-0.542,2501.51,-1.902,0.671,1.343,0.105,-0.378,0.920,0.990,0.036,-0.134,10.084,12.092,0.595,1.115,0.929,0.152,-0.337,10.819,0.489,-7.725,2.443,none
1.985904,-0.090,0.985,-0.145,2470.13,-1.567,-1.679,-2.798,0.056,-0.958,-0.281,0.402,0.546,-0.735,2496.41,-2.798,-1.902,0.448,-0.586,-0.767,0.260,0.355,-0.464,-0.811,2499.49,0.000,2.350,0.000,-0.823,0.516,0.237,-0.511,0.668,-0.540,2507.69,-0.560,0.560,1.007,0.105,-0.371,0.923,0.992,0.028,-0.125,10.148,13.130,0.611,0.244,0.933,0.146,-0.330,10.894,1.405,-7.985,1.435,none
1.985998,-0.098,0.985,-0.144,2479.89,-2.126,-0.895,-1.567,0.049,-0.944,-0.326,0.407,0.539,-0.738,2514.13,-1.007,-1.567,-0.112,-0.585,-0.780,0.221,0.360,-0.464,-0.809,2544.27,0.560,0.783,0.336,-0.822,0.515,0.243,-0.505,0.669,-0.545,2519.61,0.112,0.000,0.000,0.109,-0.372,0.922,0.993,0.035,-0.116,10.172,11.740,1.038,-0.565,0.932,0.154,-0.329,10.877,-0.275,-7.069,0.336,none
1.986092,-0.094,0.985,-0.143,2489.77,-0.112,-0.448,-0.336,0.044,-0.958,-0.283,0.401,0.548,-0.734,2525.84,0.112,-1.343,0.224,-0.568,-0.773,0.283,0.351,-0.465,-0.813,2496.78,-1.455,-1.007,0.112,-0.834,0.515,0.197,-0.509,0.666,-0.546,2518.68,0.448,-0.448,-0.783,0.116,-0.382,0.917,0.993,0.041,-0.115,10.099,8.916,1.176,-2.015,0.931,0.160,-0.328,10.824,-3.008,-6.168,-1.252,none
1.988925,-0.082,0.987,-0.141,2467.96,0.336,-0.336,1.231,0.030,-0.930,-0.367,0.415,0.520,-0.746,2510.53,1.679,-1.902,1.007,-0.586,-0.754,0.299,0.345,-0.470,-0.812,2510.77,-1.679,-1.790,1.343,-0.829,0.523,0.201,-0.516,0.665,-0.541,2506.16,0.112,-0.671,-1.231,0.123,-0.382,0.916,0.992,0.037,-0.118,10.040,7.908,1.160,-2.366,0.931,0.155,-0.330,10.774,-3.771,-5.542,-1.634,none
1.989037,-0.079,0.987,-0.141,2457.37,1.007,-0.112,1.679,0.047,-0.950,-0.309,0.395,0.545,-0.740,2466.17,1.231,-1.567,0.895,-0.564,-0.753,0.338,0.345,-0.466,-0.815,2514.23,-1.902,-1.343,1.231,-0.834,0.515,0.197,-0.519,0.658,-0.545,2487.64,0.783,-0.560,-1.343,0.121,-0.384,0.915,0.993,0.036,-0.117,10.037,8.840,1.817,-1.786,0.931,0.151,-0.332,10.796,-2.916,-4.366,-1.252,none
