0.002360,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.021218,0.427,-0.490,-0.760,2459.20,-1.007,0.224,-0.560,-0.440,0.325,0.837,0.545,-0.377,-0.749,2464.80,-1.343,-0.112,-0.671,-0.314,0.627,0.713,-0.040,-0.547,-0.836,2472.39,-0.560,0.671,-0.336,-0.145,0.145,-0.979,0.332,-0.113,-0.937,2485.79,-1.567,0.224,-0.448,-0.880,0.420,0.221,0.345,0.185,0.920,10.990,5.679,0.183,-1.542,0.568,0.282,0.773,10.006,-5.557,-4.855,-0.580,none
0.064851,0.428,-0.492,-0.758,2450.85,-0.224,0.000,0.336,-0.459,0.342,0.820,0.545,-0.381,-0.747,2467.85,0.671,-0.224,0.000,-0.328,0.604,0.726,-0.039,-0.554,-0.832,2496.41,-0.671,-0.224,0.224,-0.155,0.115,-0.981,0.328,-0.121,-0.937,2484.84,0.000,0.000,-0.336,-0.868,0.431,0.247,0.345,0.185,0.920,11.013,5.542,-0.061,-1.527,0.568,0.281,0.773,9.992,-5.786,-4.931,-0.046,none
0.088505,0.429,-0.489,-0.760,2445.95,-0.448,-0.448,0.336,-0.448,0.329,0.831,0.544,-0.376,-0.750,2472.30,0.783,-0.224,0.000,-0.321,0.604,0.729,-0.040,-0.552,-0.833,2469.54,-1.231,-0.671,0.448,-0.120,0.130,-0.984,0.329,-0.118,-0.937,2474.27,0.448,-0.112,0.112,-0.851,0.440,0.287,0.345,0.186,0.920,10.988,5.649,0.489,-1.908,0.568,0.282,0.773,10.003,-5.939,-4.351,-0.015,none
0.089638,0.426,-0.489,-0.761,2441.68,0.560,-0.560,0.671,-0.483,0.320,0.815,0.545,-0.381,-0.747,2467.85,1.119,-0.224,0.336,-0.292,0.651,0.701,-0.044,-0.552,-0.833,2469.12,0.112,-0.224,0.671,-0.120,0.130,-0.984,0.329,-0.118,-0.937,2474.27,0.112,0.336,0.224,-0.865,0.411,0.287,0.343,0.182,0.922,10.956,5.710,0.550,-1.847,0.565,0.278,0.777,9.997,-5.863,-4.244,-0.458,none
0.106151,0.424,-0.491,-0.761,2454.95,0.671,-0.112,0.671,-0.459,0.352,0.815,0.539,-0.384,-0.750,2474.49,0.783,0.000,0.112,-0.279,0.622,0.732,-0.044,-0.552,-0.833,2469.12,0.560,0.000,0.000,-0.121,0.112,-0.986,0.323,-0.121,-0.939,2490.96,0.448,-0.448,0.448,-0.863,0.425,0.273,0.345,0.181,0.921,10.975,5.679,0.137,-1.450,0.565,0.277,0.777,10.017,-5.450,-5.069,-0.809,none
0.127337,0.422,-0.493,-0.761,2442.78,0.448,0.224,-0.112,-0.494,0.293,0.818,0.541,-0.385,-0.748,2467.00,-0.336,0.112,-0.336,-0.319,0.552,0.770,-0.044,-0.550,-0.834,2478.29,0.000,0.448,-0.112,-0.113,0.089,-0.990,0.326,-0.114,-0.939,2469.84,0.671,-0.336,0.448,-0.887,0.398,0.233,0.344,0.183,0.921,10.994,5.695,0.412,-1.649,0.568,0.276,0.775,10.032,-5.588,-4.473,-0.763,none
0.148541,0.424,-0.491,-0.761,2454.95,0.000,-0.112,0.336,-0.483,0.320,0.815,0.545,-0.381,-0.747,2467.85,0.671,0.112,0.448,-0.282,0.676,0.681,-0.043,-0.551,-0.833,2492.13,0.112,-0.336,0.224,-0.155,0.137,-0.978,0.323,-0.124,-0.938,2492.06,-0.224,0.448,-0.224,-0.868,0.423,0.259,0.343,0.183,0.921,10.977,5.588,0.061,-1.252,0.569,0.277,0.775,9.997,-5.450,-4.977,-0.473,none
0.172146,0.424,-0.491,-0.761,2454.95,-0.336,-0.224,-0.112,-0.451,0.312,0.836,0.543,-0.380,-0.749,2475.33,0.336,-0.336,-0.112,-0.267,0.690,0.672,-0.047,-0.554,-0.831,2497.28,-0.783,-0.336,0.112,-0.159,0.117,-0.980,0.330,-0.120,-0.936,2498.43,-0.336,0.000,-0.448,-0.870,0.422,0.254,0.346,0.181,0.921,10.999,5.573,0.061,-1.374,0.569,0.279,0.773,10.018,-5.496,-4.931,-0.412,none
0.194856,0.428,-0.487,-0.762,2454.32,-0.112,-0.448,0.000,-0.461,0.324,0.826,0.542,-0.375,-0.752,2479.81,0.336,-0.112,-0.112,-0.341,0.598,0.725,-0.043,-0.548,-0.835,2485.80,-0.448,0.000,0.000,-0.145,0.111,-0.983,0.328,-0.117,-0.937,2484.58,-0.224,0.224,0.000,-0.879,0.412,0.240,0.345,0.185,0.920,10.973,5.725,0.656,-1.908,0.568,0.281,0.774,10.019,-5.802,-4.290,-0.763,none
0.216497,0.424,-0.488,-0.763,2450.06,0.336,0.000,0.336,-0.456,0.315,0.832,0.541,-0.377,-0.752,2466.88,0.560,0.336,0.448,-0.292,0.617,0.731,-0.044,-0.547,-0.836,2471.97,0.783,0.000,0.112,-0.121,0.100,-0.988,0.328,-0.117,-0.937,2484.58,0.448,0.000,0.224,-0.881,0.400,0.251,0.341,0.184,0.922,10.973,5.786,0.595,-1.695,0.565,0.279,0.776,9.985,-5.466,-4.595,-1.557,none
