0.004573,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.049375,0.575,-0.270,-0.772,2476.10,-1.231,-0.783,-1.679,-0.911,0.316,0.265,0.658,-0.445,-0.607,2486.58,-0.336,-0.895,-1.567,-0.996,0.081,0.036,0.606,-0.172,-0.777,2475.76,-1.231,1.007,-1.679,-0.400,-0.357,0.844,-0.051,0.814,-0.579,2519.44,-3.357,0.783,0.336,-0.191,-0.077,0.979,0.440,0.271,0.856,10.856,5.939,-1.481,-0.504,0.800,0.375,0.468,10.239,-4.168,-5.771,-0.672,none
0.049625,0.572,-0.276,-0.772,2489.02,-0.895,0.448,-1.790,-0.916,0.289,0.279,0.659,-0.437,-0.612,2466.56,-1.455,0.112,-2.574,-0.998,0.060,0.024,0.603,-0.167,-0.780,2487.30,-0.671,2.574,-2.014,-0.400,-0.358,0.844,-0.051,0.818,-0.573,2494.57,-1.231,0.112,-0.224,-0.191,-0.088,0.978,0.437,0.271,0.858,10.877,5.420,-0.565,-1.893,0.801,0.375,0.467,10.250,-5.023,-4.595,-2.168,none
0.052719,0.573,-0.275,-0.772,2465.86,0.000,1.119,-0.224,-0.917,0.277,0.286,0.658,-0.451,-0.603,2454.61,0.112,1.119,-0.783,-0.998,0.065,0.015,0.601,-0.173,-0.781,2463.70,0.448,1.902,-0.448,-0.402,-0.358,0.842,-0.052,0.816,-0.575,2450.40,0.224,0.671,0.000,-0.192,-0.082,0.978,0.432,0.270,0.860,10.845,5.511,1.420,-2.840,0.798,0.376,0.471,10.203,-6.550,-4.153,-2.443,none
0.075332,0.577,-0.273,-0.770,2449.53,0.671,1.119,1.007,-0.914,0.304,0.268,0.663,-0.443,-0.603,2452.72,0.448,1.679,1.567,-0.996,0.065,0.063,0.609,-0.170,-0.774,2444.71,3.245,0.895,2.350,-0.403,-0.355,0.844,-0.052,0.812,-0.581,2461.97,0.671,-0.671,0.000,-0.196,-0.071,0.978,0.433,0.270,0.860,10.839,5.374,2.412,-2.580,0.797,0.376,0.473,10.234,-7.344,-3.221,-1.374,none
0.098219,0.580,-0.278,-0.766,2472.48,1.679,0.000,2.238,-0.912,0.304,0.275,0.663,-0.448,-0.600,2468.48,1.119,0.448,2.798,-0.996,0.080,0.037,0.612,-0.180,-0.770,2482.95,2.462,-1.119,1.790,-0.403,-0.356,0.843,-0.051,0.803,-0.594,2505.52,1.343,-1.007,-0.112,-0.198,-0.077,0.977,0.429,0.269,0.862,10.818,5.511,0.885,-1.771,0.798,0.375,0.472,10.189,-6.031,-4.412,-0.885,none
0.122305,0.576,-0.274,-0.770,2470.84,0.112,-0.336,0.224,-0.914,0.297,0.275,0.656,-0.451,-0.605,2494.89,0.112,0.000,0.560,-0.996,0.080,0.027,0.607,-0.183,-0.773,2487.16,0.560,-0.560,0.560,-0.403,-0.353,0.844,-0.048,0.804,-0.593,2462.32,-0.560,0.224,0.112,-0.188,-0.084,0.979,0.433,0.270,0.860,10.872,5.756,0.244,-0.855,0.801,0.376,0.465,10.261,-5.420,-4.137,-0.290,none
0.145653,0.572,-0.268,-0.775,2454.98,0.448,-1.343,0.112,-0.911,0.316,0.265,0.660,-0.441,-0.609,2464.84,1.231,-0.224,0.783,-0.996,0.075,0.054,0.605,-0.172,-0.778,2481.20,-0.336,-0.783,-0.336,-0.402,-0.351,0.845,-0.048,0.806,-0.590,2457.21,0.448,0.895,0.000,-0.190,-0.090,0.978,0.434,0.269,0.860,10.852,5.557,-0.122,-1.252,0.801,0.374,0.468,10.275,-5.237,-5.878,-0.427,none
0.168080,0.573,-0.267,-0.775,2467.68,-1.567,0.112,-1.231,-0.913,0.306,0.269,0.658,-0.444,-0.607,2469.27,-1.119,-0.448,-1.119,-0.998,0.060,0.024,0.611,-0.162,-0.775,2454.63,-1.679,0.560,-0.671,-0.404,-0.356,0.843,-0.052,0.815,-0.577,2479.06,2.126,1.455,0.000,-0.191,-0.077,0.979,0.434,0.273,0.859,10.824,5.588,0.595,-1.832,0.798,0.383,0.466,10.106,-5.267,-4.702,-1.450,none
0.190601,0.577,-0.279,-0.767,2466.69,-0.224,0.224,0.000,-0.907,0.319,0.274,0.658,-0.452,-0.603,2471.73,1.007,0.560,0.560,-0.997,0.082,0.008,0.608,-0.182,-0.773,2449.99,0.224,0.112,0.560,-0.405,-0.354,0.843,-0.051,0.808,-0.586,2487.81,0.000,-1.119,-0.224,-0.188,-0.089,0.978,0.427,0.269,0.863,10.838,6.046,0.168,-0.901,0.799,0.376,0.470,10.237,-5.267,-5.053,-0.809,none
0.213041,0.570,-0.270,-0.776,2478.89,-0.560,0.224,-0.895,-0.912,0.301,0.280,0.656,-0.450,-0.605,2478.42,0.448,0.000,-0.112,-0.996,0.081,0.037,0.610,-0.183,-0.771,2492.47,0.112,-0.112,0.000,-0.403,-0.353,0.844,-0.051,0.811,-0.583,2503.19,-1.007,0.895,0.224,-0.202,-0.071,0.977,0.434,0.271,0.859,10.818,5.634,-0.473,-0.962,0.798,0.376,0.471,10.185,-4.992,-4.947,-1.023,none
0.234356,0.572,-0.283,-0.770,2470.67,-0.224,0.560,-0.448,-0.918,0.300,0.259,0.657,-0.455,-0.602,2476.26,-1.119,0.112,-1.567,-0.996,0.089,0.030,0.613,-0.162,-0.773,2446.89,-1.679,0.895,-0.560,-0.403,-0.356,0.843,-0.052,0.807,-0.588,2479.73,0.112,-0.671,-0.224,-0.185,-0.091,0.979,0.434,0.267,0.860,10.870,5.756,-0.366,-0.504,0.798,0.376,0.471,10.239,-5.038,-5.282,-0.107,none
0.258281,0.578,-0.277,-0.767,2480.14,-0.560,-0.112,-1.119,-0.917,0.315,0.244,0.657,-0.447,-0.606,2473.28,0.000,-1.231,-0.560,-0.997,0.076,0.026,0.606,-0.179,-0.775,2490.77,-1.007,-0.671,-1.231,-0.404,-0.354,0.844,-0.052,0.810,-0.584,2481.15,-1.119,0.448,0.112,-0.198,-0.079,0.977,0.435,0.270,0.859,10.849,5.771,-0.366,-0.763,0.798,0.376,0.471,10.216,-5.053,-5.099,-0.214,none
0.280276,0.575,-0.278,-0.769,2474.37,0.448,-1.119,-0.224,-0.913,0.304,0.272,0.660,-0.450,-0.601,2478.98,0.224,-0.560,-0.783,-0.997,0.076,-0.001,0.605,-0.168,-0.778,2479.51,-0.783,0.112,-0.895,-0.403,-0.355,0.844,-0.048,0.806,-0.591,2470.37,-0.783,-0.783,-0.112,-0.198,-0.078,0.977,0.435,0.267,0.860,10.862,5.771,-0.244,-0.855,0.801,0.376,0.467,10.250,-5.160,-4.672,-0.427,none
0.303098,0.575,-0.278,-0.769,2474.37,0.783,-0.112,-0.336,-0.914,0.287,0.287,0.659,-0.443,-0.607,2452.83,0.112,-0.671,-0.783,-0.998,0.065,0.015,0.608,-0.173,-0.775,2468.00,0.560,-0.671,-0.224,-0.403,-0.354,0.844,-0.048,0.808,-0.588,2465.28,0.895,1.119,0.112,-0.196,-0.089,0.977,0.432,0.270,0.860,10.834,5.603,-0.076,-1.008,0.800,0.373,0.470,10.216,-5.130,-5.221,-0.611,none
0.328278,0.573,-0.275,-0.772,2465.86,-0.783,-0.448,-0.895,-0.916,0.309,0.255,0.658,-0.446,-0.606,2457.27,-0.783,-0.560,-0.560,-0.996,0.073,0.055,0.608,-0.173,-0.775,2468.00,-0.671,-0.112,-0.671,-0.401,-0.356,0.844,-0.052,0.810,-0.584,2467.79,0.000,-0.671,0.000,-0.186,-0.094,0.978,0.434,0.272,0.859,10.845,5.634,-0.305,-0.885,0.799,0.376,0.470,10.225,-5.221,-5.145,-0.702,none
