time     , s1_X  , s1_Y , s1_Z  , s1_gyro_x, s1_gyro_y, s1_gyro_z, s1_mag_x, s1_mag_y, s1_mag_z, s2_X , s2_Y  , s2_Z  , s2_gyro_x, s2_gyro_y, s2_gyro_z, s3_X , s3_Y  , s3_Z  , s3_gyro_x, s3_gyro_y, s3_gyro_z, s4_X , s4_Y  , s4_Z  , s4_gyro_x, s4_gyro_y, s4_gyro_z, s5_X , s5_Y  , s5_Z , s5_gyro_x, s5_gyro_y, s5_gyro_z, s6_X , s6_Y  , s6_Z  , s6_gyro_x, s6_gyro_y, s6_gyro_z, label
 0.015201, 0.137 , 0.952, 0.273 , -0.342   , 0.912    , 0.228    , -0.037  , -0.996  , 0.078   , 0.928, -0.17 , -0.332, -0.218   , 0.653    , -0.725   , 0.635, 0.184 , 0.75  , -0.095   , 0.953    , 0.286    , 0.734, 0.136 , 0.665 , 0.341    , 0.936    , 0.085    , 0.592, 0.18  , 0.786, 0.0      , 0.906    , 0.423    , 0.77 , -0.171, 0.615 , -0.477   , 0.858    , 0.191    , paper
 0.05963 , 0.126 , 0.953, 0.274 , 0.243    , 0.97     , -0.0     , -0.037  , -0.996  , 0.078   , 0.928, -0.174, -0.328, 0.09     , 0.09     , -0.992   , 0.612, 0.202 , 0.765 , 0.302    , 0.302    , 0.905    , 0.726, 0.153 , 0.67  , 0.937    , 0.312    , 0.156    , 0.582, 0.204 , 0.787, 0.287    , 0.575    , 0.766    , 0.779, -0.155, 0.608 , -0.781   , 0.625    , -0.0     , paper
 0.494855, 0.124 , 0.953, 0.277 , 0.0      , 0.894    , 0.447    , -0.044  , -0.998  , 0.037   , 0.939, -0.157, -0.305, 0.53     , 0.0      , -0.848   , 0.608, 0.208 , 0.767 , 0.0      , 0.217    , 0.976    , 0.725, 0.155 , 0.671 , 0.577    , 0.577    , 0.577    , 0.588, 0.203 , 0.783, -0.078   , 0.705    , 0.705    , 0.77 , -0.151, 0.619 , -0.667   , 0.667    , 0.333    , paper
 0.494996, 0.12  , 0.952, 0.281 , 0.507    , 0.169    , 0.845    , -0.054  , -0.996  , 0.069   , 0.944, -0.137, -0.302, 0.0      , 0.447    , -0.894   , 0.585, 0.229 , 0.778 , -0.282   , 0.188    , 0.941    , 0.705, 0.187 , 0.684 , -0.0     , 0.625    , 0.781    , 0.559, 0.229 , 0.797, -0.285   , 0.641    , 0.712    , 0.766, -0.156, 0.624 , -0.912   , 0.228    , 0.342    , paper
 0.495134, 0.118 , 0.951, 0.286 , 0.447    , 0.0      , 0.894    , -0.08   , -0.99   , 0.116   , 0.934, -0.151, -0.324, 0.0      , -0.707   , -0.707   , 0.614, 0.209 , 0.761 , -0.37    , -0.092   , 0.925    , 0.724, 0.166 , 0.669 , 0.14     , 0.14     , 0.98     , 0.562, 0.229 , 0.795, -0.389   , 0.291    , 0.874    , 0.763, -0.139, 0.631 , -0.995   , 0.0      , 0.1      , paper
 0.49526 , 0.106 , 0.952, 0.288 , 0.957    , -0.205   , 0.205    , -0.079  , -0.991  , 0.11    , 0.94 , -0.138, -0.311, 0.514    , -0.686   , 0.514    , 0.605, 0.221 , 0.765 , -0.441   , -0.401   , 0.803    , 0.714, 0.184 , 0.675 , -0.331   , -0.284   , 0.9      , 0.557, 0.244 , 0.794, -0.505   , -0.303   , 0.808    , 0.747, -0.124, 0.653 , -0.726   , -0.532   , 0.436    , paper
 0.495385, 0.114 , 0.945, 0.308 , 0.949    , -0.271   , -0.163   , -0.058  , -0.995  , 0.087   , 0.945, -0.12 , -0.306, 0.107    , -0.787   , 0.608    , 0.586, 0.235 , 0.775 , -0.44    , -0.688   , 0.578    , 0.699, 0.2   , 0.687 , -0.399   , -0.584   , 0.707    , 0.535, 0.245 , 0.809, -0.426   , -0.64    , 0.64     , 0.726, -0.131, 0.675 , -0.633   , -0.753   , 0.181    , paper
 0.495514, 0.096 , 0.947, 0.306 , 0.949    , -0.271   , -0.163   , -0.097  , -0.992  , 0.08    , 0.935, -0.134, -0.328, -0.021   , -0.863   , 0.505    , 0.599, 0.233 , 0.766 , -0.39    , -0.816   , 0.426    , 0.703, 0.204 , 0.682 , -0.365   , -0.731   , 0.577    , 0.534, 0.263 , 0.804, -0.346   , -0.813   , 0.468    , 0.726, -0.126, 0.676 , -0.545   , -0.837   , 0.058    , paper
 0.495635, 0.105 , 0.963, 0.249 , 0.937    , -0.241   , -0.254   , -0.051  , -0.992  , 0.117   , 0.939, -0.12 , -0.323, -0.048   , -0.903   , 0.428    , 0.6  , 0.239 , 0.763 , -0.33    , -0.89    , 0.316    , 0.724, 0.18  , 0.666 , -0.379   , -0.837   , 0.395    , 0.592, 0.21  , 0.778, -0.302   , -0.905   , 0.302    , 0.781, -0.183, 0.597 , -0.497   , -0.865   , -0.064   , paper
 0.496609, 0.109 , 0.973, 0.205 , 0.781    , -0.363   , -0.508   , -0.057  , -0.983  , 0.173   , 0.918, -0.168, -0.358, -0.174   , -0.906   , 0.386    , 0.665, 0.18  , 0.725 , -0.302   , -0.943   , 0.142    , 0.775, 0.116 , 0.621 , -0.349   , -0.912   , 0.214    , 0.659, 0.169 , 0.733, -0.301   , -0.943   , 0.14     , 0.829, -0.184, 0.528 , -0.54    , -0.8     , -0.261   , paper
 0.496738, 0.111 , 0.981, 0.16  , 0.62     , -0.513   , -0.594   , -0.048  , -0.98   , 0.191   , 0.908, -0.179, -0.378, -0.407   , -0.842   , 0.353    , 0.677, 0.169 , 0.716 , -0.301   , -0.954   , -0.0     , 0.783, 0.103 , 0.614 , -0.414   , -0.91    , -0.0     , 0.67 , 0.152 , 0.727, -0.325   , -0.945   , -0.03    , 0.836, -0.202, 0.51  , -0.606   , -0.676   , -0.42    , paper
 0.496862, 0.107 , 0.989, 0.103 , 0.465    , -0.581   , -0.668   , -0.023  , -0.982  , 0.188   , 0.863, -0.246, -0.442, -0.513   , -0.787   , 0.342    , 0.733, 0.115 , 0.67  , -0.362   , -0.923   , -0.132   , 0.818, 0.049 , 0.573 , -0.481   , -0.86    , -0.172   , 0.702, 0.13  , 0.7  , -0.428   , -0.892   , -0.143   , 0.854, -0.187, 0.486 , -0.698   , -0.559   , -0.447   , paper
 0.515106, 0.105 , 0.99 , 0.094 , 0.687    , -0.589   , -0.425   , -0.017  , -0.979  , 0.201   , 0.864, -0.241, -0.442, -0.561   , -0.729   , 0.393    , 0.736, 0.116 , 0.667 , -0.527   , -0.843   , 0.105    , 0.825, 0.041 , 0.564 , -0.58    , -0.812   , -0.058   , 0.731, 0.1   , 0.675, -0.706   , -0.706   , 0.059    , 0.875, -0.209, 0.437 , -0.828   , -0.434   , -0.355   , paper
 0.555976, 0.107 , 0.988, 0.11  , 0.0      , -0.992   , -0.124   , -0.017  , -0.979  , 0.201   , 0.86 , -0.248, -0.445, -0.894   , 0.447    , -0.0     , 0.734, 0.114 , 0.669 , -1.0     , 0.0      , 0.0      , 0.821, 0.042 , 0.569 , -0.549   , 0.137    , -0.824   , 0.708, 0.117 , 0.697, -0.772   , 0.617    , -0.154   , 0.856, -0.198, 0.478 , -0.913   , 0.183    , -0.365   , paper
 1.005935, 0.111 , 0.983, 0.146 , 0.617    , -0.154   , 0.772    , -0.037  , -0.981  , 0.192   , 0.869, -0.238, -0.434, 0.514    , 0.857    , -0.0     , 0.725, 0.122 , 0.678 , -0.302   , 0.302    , 0.905    , 0.814, 0.051 , 0.579 , 0.196    , 0.784    , 0.588    , 0.696, 0.123 , 0.708, -0.398   , 0.597    , 0.697    , 0.841, -0.2  , 0.502 , -0.94    , 0.342    , 0.0      , paper
 1.006201, 0.098 , 0.981, 0.169 , 0.147    , 0.442    , 0.885    , -0.038  , -0.979  , 0.2     , 0.906, -0.186, -0.381, -0.286   , 0.857    , -0.429   , 0.673, 0.175 , 0.719 , -0.111   , 0.889    , 0.444    , 0.776, 0.116 , 0.62  , 0.331    , 0.883    , -0.331   , 0.661, 0.163 , 0.732, 0.0      , 0.965    , 0.263    , 0.823, -0.2  , 0.532 , -0.365   , 0.913    , -0.183   , paper
 1.006445, 0.1   , 0.98 , 0.172 , -0.98    , -0.089   , 0.178    , -0.036  , -0.986  , 0.162   , 0.891, -0.206, -0.404, -0.608   , 0.76     , -0.228   , 0.696, 0.156 , 0.701 , -0.429   , 0.857    , 0.286    , 0.791, 0.096 , 0.604 , 0.169    , 0.845    , -0.507   , 0.653, 0.176 , 0.737, -0.351   , 0.936    , -0.0     , 0.811, -0.177, 0.557 , -0.69    , 0.614    , -0.383   , paper
 1.006635, 0.102 , 0.983, 0.152 , 0.196    , -0.588   , 0.784    , -0.036  , -0.986  , 0.162   , 0.893, -0.198, -0.404, -0.566   , 0.793    , -0.226   , 0.693, 0.159 , 0.704 , -0.53    , 0.53     , 0.662    , 0.79 , 0.101 , 0.605 , 0.156    , 0.937    , 0.312    , 0.677, 0.157 , 0.719, -0.424   , 0.848    , 0.318    , 0.835, -0.192, 0.515 , -0.786   , 0.612    , -0.087   , paper
 1.006757, 0.105 , 0.982, 0.155 , -0.848   , -0.0     , 0.53     , -0.036  , -0.986  , 0.162   , 0.897, -0.199, -0.395, -0.13    , 0.911    , -0.391   , 0.693, 0.154 , 0.704 , -0.141   , 0.987    , -0.071   , 0.791, 0.095 , 0.605 , 0.063    , 0.947    , -0.316   , 0.675, 0.156 , 0.721, -0.11    , 0.988    , -0.11    , 0.833, -0.193, 0.518 , -0.328   , 0.93     , -0.164   , paper
 1.006876, 0.116 , 0.98 , 0.162 , -0.87    , -0.054   , 0.49     , -0.036  , -0.986  , 0.162   , 0.885, -0.217, -0.412, -0.125   , 0.941    , -0.314   , 0.706, 0.134 , 0.695 , -0.132   , 0.989    , 0.066    , 0.793, 0.081 , 0.604 , 0.184    , 0.981    , -0.061   , 0.662, 0.156 , 0.733, -0.164   , 0.986    , 0.0      , 0.817, -0.191, 0.544 , -0.282   , 0.959    , -0.0     , paper
