time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
31.003837,0.068,0.879,0.472,0.612,-0.421,-0.669,0.128,-0.951,-0.281,0.665,-0.339,0.665,-0.425,0.897,-0.118,0.755,-0.234,0.613,-0.684,0.707,0.182,0.794,-0.178,0.582,-0.429,0.883,-0.191,0.999,-0.028,0.026,-0.609,0.767,0.203,0.308,0.895,0.323,-0.028,-0.91,0.414,rock
40.159828,0.528,0.075,0.846,-0.978,-0.173,0.115,-0.335,-0.408,-0.849,0.963,0.211,-0.167,-0.0,0.423,-0.906,0.838,0.536,-0.103,-0.577,0.577,-0.577,0.783,0.609,-0.123,-0.468,0.468,-0.749,0.56,0.704,-0.437,-0.816,0.408,-0.408,-0.005,-0.608,0.794,0.496,0.447,0.744,none
24.908694,0.099,0.772,0.627,0.32,0.578,0.751,0.269,-0.9,-0.342,0.77,-0.326,0.548,0.924,-0.099,0.37,0.853,-0.161,0.497,0.896,0.133,0.424,0.883,-0.189,0.43,0.971,0.024,0.24,0.988,-0.01,-0.152,0.923,0.246,-0.295,0.121,0.926,0.358,-0.188,0.835,0.517,rock
6.094432,0.101,-0.215,0.971,0.352,0.704,0.616,0.255,0.1,-0.962,0.794,0.538,0.283,0.863,-0.465,0.199,-0.212,0.797,0.566,0.0,0.048,0.999,-0.108,0.732,0.673,0.267,-0.053,0.962,-0.08,0.869,0.489,0.206,0.309,0.928,-0.451,0.284,0.846,0.145,0.291,0.946,none
30.491073,0.028,0.849,0.528,-0.168,-0.692,-0.702,-0.394,-0.852,-0.344,0.68,-0.393,0.619,-0.83,0.257,-0.495,0.791,-0.272,0.548,-0.905,0.063,-0.421,0.813,-0.246,0.528,-0.916,0.14,-0.376,0.995,-0.087,-0.047,-0.985,-0.039,0.169,0.226,0.937,0.268,-0.005,-0.89,-0.455,rock
25.210457,0.453,0.547,0.704,0.605,-0.37,-0.706,-0.34,-0.797,-0.499,0.985,-0.007,0.17,-0.964,-0.241,-0.112,0.513,0.205,0.834,-0.597,-0.134,-0.791,0.547,-0.022,0.837,-0.427,0.017,-0.904,0.491,0.405,0.771,-0.628,-0.46,-0.628,0.193,-0.14,0.971,-0.9,-0.345,-0.268,none
8.62369,-0.092,0.947,0.307,-0.047,0.981,0.187,0.64,-0.748,0.176,0.859,0.037,-0.51,0.705,0.083,-0.705,0.742,0.227,0.631,0.718,0.191,0.67,0.839,0.064,0.541,0.852,0.047,0.521,0.94,-0.06,0.336,0.857,0.0,0.514,0.884,0.101,0.456,0.873,0.218,0.436,paper
3.09469,-0.003,-0.294,0.956,0.412,-0.082,-0.907,0.179,0.156,-0.971,0.68,0.713,0.17,-0.97,-0.243,0.0,-0.168,0.898,0.406,-0.675,-0.675,-0.3,-0.04,0.875,0.483,-0.629,-0.55,-0.55,-0.143,0.955,0.259,-0.704,-0.704,-0.088,-0.627,0.325,0.708,-0.258,-0.58,-0.773,none
8.647315,-0.172,-0.034,0.984,-0.663,0.715,0.221,0.485,-0.028,-0.874,0.798,0.601,-0.052,-0.921,0.116,-0.372,-0.001,0.838,0.545,-0.237,0.434,-0.869,0.194,0.751,0.631,-0.356,0.573,-0.738,0.358,0.934,0.015,0.987,0.06,0.151,-0.713,0.607,0.352,-0.366,0.826,0.429,none
37.633639,0.076,0.814,0.576,-0.408,-0.816,0.408,0.234,-0.932,-0.276,0.742,-0.317,0.59,0.0,-0.0,-1.0,0.823,-0.166,0.544,-0.667,0.333,-0.667,0.864,-0.167,0.474,-0.196,0.0,-0.981,0.995,0.006,-0.102,-0.857,0.286,-0.429,0.17,0.908,0.383,-0.87,0.097,-0.483,rock
16.215351,0.077,0.756,0.65,0.196,-0.981,0.0,0.436,-0.795,-0.421,0.785,-0.312,0.535,-0.101,0.404,-0.909,0.866,-0.137,0.481,-0.68,0.68,-0.272,0.901,-0.178,0.396,-0.318,0.424,-0.848,0.982,0.007,-0.19,-0.78,0.52,-0.347,0.075,0.92,0.384,-0.921,-0.276,-0.276,rock
16.344578,-0.32,0.452,0.833,0.486,-0.864,0.135,0.775,-0.397,-0.491,0.826,-0.216,-0.521,-0.183,-0.365,0.913,0.916,0.392,-0.088,-0.473,-0.158,0.867,0.907,0.414,-0.079,-0.566,-0.424,0.707,0.729,0.684,-0.04,-0.647,-0.185,0.74,0.054,0.877,0.478,-0.359,-0.598,0.717,none
13.633555,-0.313,0.737,0.6,-0.64,0.426,0.64,0.898,-0.071,-0.435,0.725,-0.645,0.242,0.365,-0.183,-0.913,0.943,-0.326,0.073,-0.0,0.707,-0.707,0.952,0.133,0.275,0.535,0.802,0.267,0.937,0.18,0.301,-0.127,0.635,0.762,0.079,0.964,0.253,-0.873,0.436,-0.218,scissors
10.093216,-0.016,0.837,0.547,0.041,0.81,0.585,0.403,-0.848,-0.345,0.701,-0.422,0.574,0.712,-0.404,0.574,0.818,-0.275,0.505,0.798,-0.249,0.549,0.83,-0.275,0.485,0.826,-0.227,0.516,0.99,-0.102,-0.1,0.999,-0.054,-0.011,0.175,0.949,0.264,0.092,0.957,0.275,rock
17.304917,-0.351,0.444,0.824,-0.64,-0.64,-0.426,0.775,-0.396,-0.492,0.797,-0.352,-0.49,-0.566,0.226,-0.793,0.933,0.324,-0.156,-0.937,0.156,-0.312,0.893,0.438,-0.107,-0.566,0.424,-0.707,0.712,0.698,-0.081,-0.889,0.381,-0.254,0.035,0.892,0.451,-0.796,0.1,-0.597,none
34.263804,0.513,-0.233,0.826,-0.995,-0.105,0.0,-0.363,0.049,-0.931,0.509,0.154,0.847,-0.717,-0.696,-0.042,-0.487,0.455,0.745,0.419,-0.387,0.822,0.087,0.696,0.712,0.865,-0.376,0.332,0.093,0.975,0.203,-0.907,0.249,-0.34,-0.398,0.007,0.918,-0.649,-0.29,0.704,none
46.782397,-0.397,0.243,0.885,-0.695,-0.711,0.109,0.539,-0.445,-0.715,0.629,0.726,-0.278,-0.552,0.832,0.058,-0.103,0.983,0.149,-0.532,0.284,-0.798,-0.049,0.944,0.327,-0.634,0.42,-0.65,0.037,0.908,0.417,-0.673,0.546,-0.499,0.231,0.664,0.711,-0.721,0.645,-0.253,none
7.603772,0.004,0.789,0.614,-0.076,-0.836,-0.543,0.59,-0.545,-0.596,0.755,-0.377,0.536,-0.655,0.376,-0.655,0.856,-0.209,0.472,-0.812,0.252,-0.527,0.875,-0.244,0.418,-0.786,0.237,-0.571,0.983,-0.062,-0.172,-0.995,0.095,-0.042,0.092,0.945,0.315,-0.239,-0.902,-0.359,rock
21.353218,0.321,-0.448,0.835,-0.943,-0.198,-0.268,-0.169,0.276,-0.946,0.654,0.753,0.068,-0.559,0.027,-0.829,-0.025,0.927,0.374,0.155,0.172,-0.973,0.011,0.792,0.61,0.187,0.349,-0.918,-0.114,0.981,-0.156,-0.253,-0.369,-0.894,-0.676,0.037,0.736,-0.187,0.513,-0.838,none
