time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s2_mag_x,s2_mag_y,s2_mag_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s3_mag_x,s3_mag_y,s3_mag_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s4_mag_x,s4_mag_y,s4_mag_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s5_mag_x,s5_mag_y,s5_mag_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,s6_mag_x,s6_mag_y,s6_mag_z,label
1.094204,-0.011,-0.307,0.952,-0.422,0.738,0.527,0.21,0.185,-0.96,0.678,0.72,0.15,0.686,0.514,-0.514,,,,-0.172,0.911,0.374,-0.53,0.53,0.662,,,,-0.051,0.887,0.458,-0.218,0.873,0.436,,,,-0.159,0.952,0.262,-0.492,0.615,0.615,,,,-0.626,0.337,0.703,-0.963,0.241,0.12,,,,none
1.094363,-0.015,-0.3,0.954,0.937,0.312,0.156,0.21,0.185,-0.96,0.673,0.725,0.147,0.535,-0.267,-0.802,,,,-0.174,0.914,0.367,-0.371,0.0,0.928,,,,-0.051,0.89,0.453,0.0,0.707,0.707,,,,-0.158,0.954,0.256,-0.348,0.348,0.87,,,,-0.627,0.341,0.701,-0.894,-0.0,0.447,,,,none
1.094517,-0.015,-0.288,0.957,0.978,0.21,-0.0,0.21,0.185,-0.96,0.688,0.711,0.147,0.436,-0.873,0.218,,,,-0.158,0.912,0.378,-0.381,-0.254,0.889,,,,-0.032,0.886,0.462,-0.218,-0.436,0.873,,,,-0.141,0.953,0.267,-0.447,-0.0,0.894,,,,-0.614,0.347,0.709,-0.424,-0.707,0.566,,,,none
1.094654,-0.016,-0.31,0.951,-0.95,0.259,0.173,0.21,0.185,-0.96,0.704,0.693,0.157,0.371,-0.0,-0.928,,,,-0.138,0.904,0.405,-0.485,0.485,0.728,,,,-0.005,0.876,0.483,0.243,0.97,0.0,,,,-0.099,0.954,0.284,-0.424,0.707,0.566,,,,-0.59,0.362,0.722,-0.913,0.183,0.365,,,,none
1.094783,-0.011,-0.307,0.951,-0.854,-0.085,0.513,0.199,0.168,-0.966,0.702,0.698,0.145,0.241,0.843,-0.482,,,,-0.146,0.906,0.397,-0.634,0.724,0.272,,,,-0.018,0.88,0.475,-0.404,0.909,0.101,,,,-0.125,0.953,0.276,-0.493,0.844,0.211,,,,-0.602,0.353,0.716,-0.928,0.232,0.29,,,,none
1.094909,-0.007,-0.292,0.956,-0.318,-0.424,0.848,0.199,0.168,-0.966,0.675,0.722,0.148,0.182,0.818,-0.545,,,,-0.174,0.912,0.371,-0.513,0.854,0.085,,,,-0.047,0.889,0.455,-0.262,0.961,-0.087,,,,-0.155,0.954,0.255,-0.418,0.906,0.07,,,,-0.626,0.341,0.702,-0.922,0.346,0.173,,,,none
1.095028,-0.015,-0.313,0.95,-0.832,0.0,0.555,0.199,0.168,-0.966,0.667,0.731,0.146,0.0,0.64,-0.768,,,,-0.188,0.914,0.36,-0.7,0.7,0.14,,,,-0.066,0.892,0.447,-0.265,0.927,-0.265,,,,-0.173,0.953,0.248,-0.444,0.889,0.111,,,,-0.637,0.332,0.696,-0.958,0.287,-0.0,,,,none
1.095146,-0.011,-0.305,0.952,0.857,0.0,-0.514,0.199,0.168,-0.966,0.673,0.725,0.145,-0.894,-0.0,-0.447,,,,-0.177,0.914,0.365,-0.937,-0.156,0.312,,,,-0.055,0.89,0.453,-0.905,-0.302,-0.302,,,,-0.162,0.954,0.254,-0.857,-0.0,0.514,,,,-0.626,0.338,0.703,-0.811,-0.487,-0.324,,,,none
1.095264,0.001,-0.277,0.961,0.98,0.14,-0.14,0.214,0.183,-0.96,0.679,0.719,0.147,-0.0,-0.447,-0.894,,,,-0.158,0.909,0.385,-0.743,-0.371,0.557,,,,-0.037,0.882,0.469,-0.894,-0.447,-0.0,,,,-0.133,0.954,0.27,-0.696,-0.174,0.696,,,,-0.608,0.353,0.711,-0.577,-0.577,-0.577,,,,none
1.095386,-0.019,-0.284,0.959,-0.811,0.487,-0.324,0.214,0.183,-0.96,0.691,0.707,0.149,-0.192,-0.192,-0.962,,,,-0.153,0.908,0.39,-0.894,-0.447,-0.0,,,,-0.023,0.881,0.473,-0.316,0.0,-0.949,,,,-0.124,0.954,0.273,-0.832,0.555,0.0,,,,-0.607,0.353,0.712,-0.617,0.154,-0.772,,,,none
