time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.044847,-0.085,0.98,0.178,0.218,0.873,-0.436,0.327,-0.928,0.177,0.873,-0.14,-0.466,0.192,-0.192,-0.962,0.598,0.557,0.576,-0.236,0.943,-0.236,0.831,0.226,0.508,0.218,0.873,-0.436,0.769,0.213,0.603,-0.707,0.707,-0.0,0.76,0.188,0.622,-0.667,0.333,-0.667,paper
0.045066,-0.081,0.98,0.182,0.218,0.873,-0.436,0.309,-0.941,0.135,0.869,-0.156,-0.47,0.316,-0.0,-0.949,0.608,0.547,0.576,-0.6,0.8,-0.0,0.836,0.213,0.505,0.0,0.981,-0.196,0.772,0.207,0.601,-0.832,0.555,-0.0,0.757,0.19,0.625,-0.745,0.298,-0.596,paper
0.045202,-0.077,0.982,0.171,0.218,0.873,-0.436,0.323,-0.936,0.141,0.864,-0.162,-0.478,0.873,-0.218,-0.436,0.616,0.54,0.574,-0.588,0.784,0.196,0.838,0.21,0.503,-0.243,0.97,-0.0,0.777,0.2,0.597,-0.873,0.436,0.218,0.763,0.186,0.619,-0.845,0.169,-0.507,paper
0.066806,-0.08,0.984,0.162,0.316,0.949,-0.0,0.307,-0.946,0.108,0.866,-0.152,-0.476,0.588,-0.196,-0.784,0.606,0.551,0.574,-0.436,0.873,0.218,0.836,0.215,0.504,0.0,0.832,-0.555,0.778,0.2,0.596,-0.802,0.535,0.267,0.768,0.184,0.613,-0.816,0.408,-0.408,paper
0.492304,-0.085,0.982,0.166,-0.535,0.802,-0.267,0.307,-0.946,0.108,0.868,-0.152,-0.472,0.316,-0.0,-0.949,0.603,0.551,0.577,-0.348,0.87,-0.348,0.835,0.218,0.505,0.0,0.781,-0.625,0.776,0.205,0.596,-0.535,0.802,-0.267,0.761,0.188,0.621,-0.743,0.557,-0.371,paper
0.492568,-0.086,0.983,0.164,-0.784,0.588,-0.196,0.307,-0.946,0.108,0.871,-0.152,-0.467,0.192,0.192,-0.962,0.607,0.547,0.577,-0.348,0.87,-0.348,0.836,0.213,0.506,-0.123,0.862,-0.492,0.773,0.209,0.599,-0.588,0.784,-0.196,0.758,0.189,0.624,-0.857,0.429,-0.286,paper
0.492703,-0.081,0.981,0.175,-0.667,-0.667,0.333,0.307,-0.946,0.108,0.866,-0.158,-0.474,0.426,0.64,-0.64,0.606,0.547,0.577,-0.549,0.824,-0.137,0.836,0.212,0.506,-0.136,0.953,-0.272,0.774,0.207,0.598,-0.625,0.781,-0.0,0.761,0.188,0.62,-0.855,0.367,-0.367,paper
0.492833,-0.082,0.982,0.169,-0.667,-0.333,0.667,0.302,-0.944,0.133,0.863,-0.167,-0.476,0.873,0.436,-0.218,0.611,0.544,0.575,-0.707,0.707,0.0,0.837,0.212,0.505,-0.302,0.905,-0.302,0.776,0.204,0.597,-0.617,0.772,0.154,0.759,0.191,0.623,-0.927,0.265,-0.265,paper
0.49298,-0.083,0.983,0.167,-0.667,-0.333,0.667,0.302,-0.944,0.133,0.865,-0.162,-0.476,0.986,0.0,0.164,0.61,0.546,0.574,-0.745,0.596,0.298,0.836,0.213,0.506,-0.371,0.928,-0.0,0.777,0.202,0.596,-0.745,0.596,0.298,0.761,0.187,0.621,-0.98,0.14,-0.14,paper
0.493101,-0.081,0.982,0.168,0.577,0.577,0.577,0.302,-0.944,0.133,0.868,-0.152,-0.473,1.0,-0.0,0.0,0.601,0.554,0.576,-0.784,0.588,0.196,0.833,0.219,0.508,-0.436,0.873,-0.218,0.773,0.208,0.599,-0.784,0.588,0.196,0.761,0.186,0.621,-0.937,0.156,-0.312,paper
