time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.011255,-0.101,0.993,0.058,0.0,0.949,-0.316,0.221,-0.922,0.317,0.479,-0.694,0.537,-0.243,0.0,-0.97,0.723,-0.453,0.521,-0.873,0.218,0.436,0.709,-0.444,0.548,-0.667,0.333,-0.667,0.903,0.022,0.43,-0.845,0.507,-0.169,0.682,0.673,0.287,-0.857,0.0,-0.514,rock
0.062963,-0.105,0.993,0.062,0.0,0.0,-1.0,0.224,-0.917,0.33,0.478,-0.694,0.538,-0.316,0.0,-0.949,0.721,-0.455,0.523,-0.707,0.0,0.707,0.708,-0.444,0.55,-0.577,0.577,-0.577,0.902,0.021,0.431,-0.928,0.371,0.0,0.681,0.673,0.287,-0.8,0.0,-0.6,rock
0.063119,-0.11,0.992,0.062,0.0,0.0,-1.0,0.224,-0.917,0.33,0.479,-0.695,0.536,0.0,0.0,-1.0,0.722,-0.453,0.523,-0.507,0.169,0.845,0.71,-0.442,0.548,-0.577,0.577,0.577,0.903,0.023,0.428,-0.811,0.487,0.324,0.678,0.675,0.29,-0.688,-0.229,-0.688,rock
0.077512,-0.112,0.991,0.066,0.688,0.229,-0.688,0.224,-0.917,0.33,0.483,-0.695,0.533,-0.408,0.408,-0.816,0.725,-0.451,0.52,-0.707,0.0,0.707,0.713,-0.441,0.544,-0.816,0.408,0.408,0.905,0.024,0.424,-0.927,0.265,0.265,0.677,0.677,0.291,-0.588,-0.196,-0.784,rock
0.098704,-0.108,0.992,0.07,0.0,-0.243,-0.97,0.224,-0.917,0.33,0.482,-0.695,0.534,-0.667,0.333,-0.667,0.725,-0.45,0.521,-0.781,0.0,0.625,0.711,-0.443,0.546,-0.949,0.0,0.316,0.904,0.022,0.426,-0.943,0.236,0.236,0.678,0.677,0.289,-0.487,-0.324,-0.811,rock
0.120157,-0.104,0.992,0.066,0.0,-0.243,-0.97,0.224,-0.917,0.33,0.48,-0.694,0.537,-0.667,0.333,-0.667,0.721,-0.452,0.524,-0.707,-0.0,0.707,0.709,-0.444,0.548,-0.905,-0.302,0.302,0.902,0.02,0.432,-0.962,0.0,0.275,0.68,0.675,0.286,-0.447,-0.0,-0.894,rock
0.144644,-0.1,0.993,0.057,0.0,-0.243,-0.97,0.244,-0.916,0.32,0.478,-0.693,0.54,-0.707,-0.0,-0.707,0.721,-0.453,0.524,-0.696,-0.174,0.696,0.708,-0.444,0.549,-0.816,-0.408,0.408,0.902,0.019,0.432,-0.949,-0.0,0.316,0.68,0.675,0.286,-0.381,0.254,-0.889,rock
0.166373,-0.107,0.992,0.061,0.0,-0.243,-0.97,0.244,-0.916,0.32,0.479,-0.693,0.538,-0.447,-0.0,-0.894,0.721,-0.457,0.522,-0.688,-0.229,0.688,0.708,-0.446,0.548,-0.707,-0.707,-0.0,0.902,0.018,0.432,-0.981,0.0,0.196,0.679,0.677,0.286,-0.512,0.384,-0.768,rock
0.185876,-0.107,0.992,0.061,-0.408,0.816,-0.408,0.244,-0.916,0.32,0.481,-0.693,0.537,-0.0,-0.316,-0.949,0.722,-0.454,0.521,-0.535,-0.267,0.802,0.71,-0.444,0.547,-0.0,-0.707,-0.707,0.904,0.02,0.427,-0.97,0.0,0.243,0.676,0.678,0.289,-0.485,0.485,-0.728,rock
0.210162,-0.112,0.991,0.07,-0.447,0.894,0.0,0.23,-0.885,0.404,0.485,-0.695,0.531,-0.0,-0.243,-0.97,0.728,-0.449,0.519,-0.707,-0.0,0.707,0.715,-0.443,0.541,-0.577,-0.577,-0.577,0.906,0.023,0.422,-1.0,-0.0,0.0,0.673,0.68,0.291,-0.527,0.422,-0.738,rock
0.232394,-0.108,0.992,0.07,-0.447,0.894,0.0,0.249,-0.905,0.344,0.482,-0.695,0.533,-0.236,-0.236,-0.943,0.725,-0.45,0.521,-0.816,-0.408,0.408,0.715,-0.443,0.54,-0.333,-0.667,-0.667,0.906,0.022,0.422,-0.949,-0.316,0.0,0.673,0.68,0.291,-0.453,0.362,-0.815,rock
0.254793,-0.105,0.993,0.062,-0.802,-0.535,-0.267,0.249,-0.905,0.344,0.477,-0.695,0.538,-0.192,-0.192,-0.962,0.722,-0.454,0.522,-0.894,-0.0,0.447,0.71,-0.446,0.545,-0.267,-0.802,-0.535,0.904,0.018,0.427,-0.894,-0.447,-0.0,0.676,0.678,0.287,-0.408,0.408,-0.816,rock
0.277281,-0.105,0.993,0.058,-0.802,-0.535,-0.267,0.249,-0.905,0.344,0.474,-0.695,0.54,0.236,-0.236,-0.943,0.719,-0.455,0.525,-0.447,-0.0,0.894,0.708,-0.446,0.548,0.0,-0.832,-0.555,0.904,0.017,0.428,-0.873,-0.436,0.218,0.677,0.679,0.286,-0.362,0.453,-0.815,rock
