time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
0.007493,-0.099,0.95,0.298,0.243,0.97,-0.0,0.272,-0.961,0.047,0.68,-0.683,0.265,0.588,-0.784,-0.196,0.889,-0.246,0.387,0.371,-0.557,0.743,0.905,0.218,0.365,0.781,-0.625,0.0,0.761,0.283,0.583,0.0,0.243,0.97,0.291,0.91,0.294,-0.302,0.905,-0.302,scissors
0.050274,-0.091,0.948,0.306,0.156,0.937,-0.312,0.272,-0.961,0.047,0.675,-0.686,0.271,0.436,-0.873,-0.218,0.885,-0.251,0.392,0.183,-0.365,0.913,0.91,0.204,0.36,0.885,-0.442,0.147,0.766,0.274,0.582,0.192,0.192,0.962,0.297,0.909,0.293,-0.312,0.937,-0.156,scissors
0.050424,-0.078,0.95,0.302,0.287,0.958,0.0,0.291,-0.955,0.066,0.679,-0.682,0.271,0.588,-0.784,0.196,0.886,-0.247,0.392,0.164,0.0,0.986,0.901,0.223,0.371,0.889,-0.254,0.381,0.761,0.277,0.587,0.391,0.13,0.911,0.291,0.909,0.3,-0.381,0.889,0.254,scissors
0.073876,-0.088,0.947,0.309,0.287,0.958,0.0,0.291,-0.955,0.066,0.695,-0.669,0.262,0.535,-0.802,-0.267,0.894,-0.231,0.383,0.196,-0.0,0.981,0.894,0.236,0.381,0.97,-0.243,-0.0,0.749,0.29,0.596,0.429,0.286,0.857,0.278,0.91,0.308,-0.492,0.862,-0.123,scissors
0.09299,-0.079,0.943,0.323,-0.514,0.857,0.0,0.291,-0.955,0.066,0.691,-0.671,0.268,0.371,-0.743,-0.557,0.891,-0.233,0.389,0.333,-0.667,0.667,0.902,0.213,0.377,0.802,0.535,-0.267,0.747,0.289,0.599,0.196,0.588,0.784,0.282,0.908,0.309,-0.549,0.768,-0.329,scissors
0.114297,-0.069,0.947,0.314,-0.514,0.857,0.0,0.297,-0.955,0.0,0.678,-0.68,0.281,0.686,-0.514,-0.514,0.883,-0.245,0.399,0.667,-0.333,0.667,0.914,0.182,0.361,0.662,0.53,0.53,0.761,0.269,0.591,-0.137,0.549,0.824,0.297,0.905,0.303,-0.64,0.768,-0.0,scissors
0.137438,-0.073,0.955,0.287,-0.514,0.857,0.0,0.315,-0.949,0.012,0.673,-0.682,0.285,0.814,-0.465,-0.349,0.879,-0.25,0.406,0.873,0.218,0.436,0.909,0.192,0.37,0.631,0.451,0.631,0.77,0.257,0.584,-0.0,0.53,0.848,0.307,0.904,0.299,-0.597,0.796,0.1,scissors
0.15869,-0.069,0.956,0.284,0.0,0.832,0.555,0.315,-0.949,0.012,0.675,-0.681,0.284,0.738,-0.527,-0.422,0.881,-0.245,0.405,0.962,0.192,0.192,0.905,0.202,0.374,0.686,0.514,0.514,0.767,0.261,0.587,0.094,0.656,0.749,0.305,0.903,0.304,-0.612,0.786,0.087,scissors
0.180662,-0.074,0.955,0.288,-0.085,0.854,0.513,0.315,-0.949,0.012,0.68,-0.678,0.281,0.64,-0.64,-0.426,0.884,-0.241,0.401,0.986,0.0,0.164,0.902,0.209,0.379,0.743,0.557,0.371,0.761,0.264,0.592,0.185,0.74,0.647,0.303,0.902,0.306,-0.573,0.819,0.0,scissors
0.205212,-0.067,0.953,0.297,-0.085,0.854,0.513,0.292,-0.956,0.023,0.679,-0.678,0.283,0.488,-0.781,-0.39,0.882,-0.241,0.404,0.824,-0.549,0.137,0.905,0.201,0.375,0.909,0.404,0.101,0.757,0.266,0.596,0.309,0.722,0.619,0.304,0.901,0.309,-0.408,0.898,-0.163,scissors
0.22642,-0.068,0.953,0.296,-0.085,0.854,0.513,0.328,-0.944,0.04,0.673,-0.681,0.287,0.535,-0.802,-0.267,0.879,-0.246,0.408,0.768,-0.549,0.329,0.91,0.187,0.37,0.941,0.282,0.188,0.766,0.255,0.591,0.426,0.64,0.64,0.311,0.901,0.304,-0.239,0.958,-0.16,scissors
0.246621,-0.064,0.954,0.294,-0.085,0.854,0.513,0.328,-0.944,0.04,0.669,-0.685,0.289,0.535,-0.841,-0.076,0.876,-0.251,0.412,0.681,-0.596,0.426,0.918,0.171,0.359,0.946,0.145,0.291,0.771,0.249,0.586,0.609,0.508,0.609,0.316,0.9,0.299,-0.071,0.987,-0.141,scissors
0.271502,-0.07,0.955,0.29,-0.055,0.997,0.055,0.265,-0.963,0.058,0.667,-0.686,0.29,0.523,-0.85,0.065,0.876,-0.254,0.41,0.662,-0.53,0.53,0.912,0.187,0.366,0.954,0.0,0.298,0.776,0.247,0.581,0.675,0.3,0.675,0.314,0.902,0.296,0.062,0.998,-0.0,scissors
0.293801,-0.086,0.952,0.293,-0.0,0.995,0.095,0.265,-0.963,0.058,0.675,-0.683,0.28,0.52,-0.844,0.13,0.881,-0.249,0.401,0.694,-0.442,0.568,0.908,0.201,0.368,0.983,0.0,0.184,0.765,0.268,0.586,0.701,0.319,0.638,0.303,0.906,0.297,0.117,0.993,0.0,scissors
0.315025,-0.086,0.947,0.309,-0.052,0.993,0.105,0.265,-0.963,0.058,0.678,-0.683,0.272,0.511,-0.852,0.114,0.885,-0.249,0.393,0.706,-0.529,0.471,0.91,0.201,0.363,0.981,0.109,0.163,0.765,0.271,0.585,0.717,0.359,0.598,0.295,0.909,0.295,0.11,0.994,-0.0,scissors
0.337699,-0.098,0.948,0.303,-0.147,0.978,0.147,0.265,-0.963,0.058,0.675,-0.686,0.27,0.551,-0.827,0.11,0.886,-0.251,0.391,0.734,-0.451,0.508,0.909,0.209,0.361,0.958,0.106,0.266,0.76,0.286,0.584,0.667,0.333,0.667,0.291,0.911,0.294,0.11,0.992,0.055,scissors
0.35939,-0.101,0.947,0.305,0.0,0.989,0.148,0.265,-0.963,0.058,0.682,-0.683,0.26,0.565,-0.816,0.125,0.891,-0.246,0.381,0.743,-0.371,0.557,0.901,0.233,0.366,0.953,0.112,0.28,0.753,0.301,0.585,0.66,0.36,0.66,0.281,0.914,0.294,0.055,0.992,0.11,scissors
0.380211,-0.113,0.946,0.304,0.0,0.986,0.164,0.265,-0.963,0.058,0.686,-0.683,0.253,0.503,-0.862,0.072,0.895,-0.245,0.373,0.735,-0.441,0.515,0.899,0.244,0.364,0.957,0.205,0.205,0.754,0.306,0.582,0.679,0.407,0.611,0.273,0.916,0.293,-0.0,1.0,0.0,scissors
0.404683,-0.109,0.944,0.31,-0.208,0.968,0.138,0.286,-0.957,0.045,0.682,-0.688,0.247,0.513,-0.854,-0.085,0.894,-0.252,0.37,0.716,-0.447,0.537,0.905,0.236,0.354,0.967,0.242,0.081,0.758,0.305,0.576,0.655,0.492,0.573,0.275,0.919,0.283,-0.071,0.995,-0.071,scissors
0.421093,-0.111,0.942,0.318,-0.208,0.968,0.138,0.286,-0.957,0.045,0.685,-0.688,0.238,0.513,-0.854,-0.085,0.897,-0.255,0.362,0.716,-0.537,0.447,0.907,0.235,0.349,0.972,0.224,0.075,0.764,0.302,0.57,0.629,0.55,0.55,0.271,0.922,0.278,-0.131,0.983,-0.131,scissors
0.442469,-0.115,0.94,0.32,-0.148,0.964,0.222,0.286,-0.957,0.045,0.686,-0.688,0.235,0.429,-0.857,-0.286,0.898,-0.256,0.358,0.662,-0.735,0.147,0.905,0.245,0.348,0.924,0.355,-0.142,0.754,0.32,0.573,0.614,0.69,0.383,0.264,0.923,0.279,-0.125,0.941,-0.314,scissors
0.46653,-0.123,0.94,0.318,-0.371,0.928,0.0,0.286,-0.957,0.045,0.683,-0.691,0.235,0.432,-0.864,-0.259,0.898,-0.256,0.358,0.634,-0.724,0.272,0.903,0.251,0.349,0.961,0.262,-0.087,0.75,0.326,0.575,0.539,0.647,0.539,0.261,0.924,0.28,-0.16,0.958,-0.239,scissors
0.488083,-0.124,0.938,0.324,-0.371,0.928,0.0,0.275,-0.961,0.014,0.688,-0.689,0.23,0.482,-0.843,-0.241,0.901,-0.252,0.352,0.577,-0.577,0.577,0.901,0.256,0.35,0.992,0.124,-0.0,0.748,0.331,0.576,0.492,0.615,0.615,0.256,0.926,0.278,-0.282,0.941,-0.188,scissors
0.510932,-0.128,0.936,0.329,-0.0,0.986,0.164,0.268,-0.963,0.015,0.691,-0.687,0.226,0.557,-0.743,-0.371,0.904,-0.251,0.347,0.485,-0.485,0.728,0.901,0.26,0.348,0.986,0.164,-0.0,0.746,0.333,0.576,0.154,0.772,0.617,0.251,0.927,0.28,-0.482,0.843,-0.241,scissors
0.535063,-0.125,0.938,0.322,0.0,0.949,0.316,0.268,-0.963,0.015,0.688,-0.69,0.227,0.371,-0.557,-0.743,0.902,-0.256,0.349,0.408,-0.816,0.408,0.905,0.25,0.345,0.894,0.447,-0.0,0.756,0.321,0.57,-0.169,0.845,0.507,0.261,0.925,0.275,-0.651,0.651,-0.391,scissors
0.556238,-0.116,0.943,0.313,-0.667,0.667,0.333,0.268,-0.963,0.015,0.683,-0.692,0.233,0.183,-0.365,-0.913,0.899,-0.257,0.354,-0.408,-0.816,0.408,0.905,0.249,0.344,0.728,0.485,-0.485,0.756,0.319,0.571,-0.183,0.913,0.365,0.265,0.924,0.275,-0.707,0.566,-0.424,scissors
0.578216,-0.119,0.943,0.312,-0.667,0.667,0.333,0.273,-0.956,0.108,0.683,-0.691,0.234,-0.236,-0.236,-0.943,0.898,-0.256,0.358,-0.949,0.0,0.316,0.903,0.253,0.347,0.408,0.408,-0.816,0.751,0.324,0.575,-0.485,0.728,0.485,0.263,0.924,0.278,-0.811,0.324,-0.487,scissors
0.601981,-0.119,0.94,0.319,0.0,-0.316,-0.949,0.302,-0.953,0.002,0.685,-0.689,0.236,-0.447,0.0,-0.894,0.898,-0.255,0.359,-0.962,0.192,0.192,0.905,0.246,0.348,-0.447,-0.0,-0.894,0.754,0.316,0.575,-0.873,0.436,0.218,0.267,0.923,0.277,-0.894,0.0,-0.447,scissors
0.622134,-0.114,0.942,0.315,0.0,-0.316,-0.949,0.302,-0.953,0.002,0.68,-0.691,0.245,-0.588,0.196,-0.784,0.894,-0.255,0.369,-0.986,0.164,0.0,0.905,0.241,0.351,-0.667,-0.333,-0.667,0.757,0.313,0.574,-0.981,0.196,-0.0,0.275,0.92,0.28,-0.885,-0.147,-0.442,scissors
0.64366,-0.106,0.95,0.292,0.267,-0.802,-0.535,0.302,-0.953,0.002,0.673,-0.695,0.254,-0.667,0.333,-0.667,0.887,-0.264,0.378,-0.992,0.124,-0.0,0.912,0.221,0.346,-0.688,-0.229,-0.688,0.769,0.289,0.569,-0.937,0.156,-0.312,0.294,0.915,0.277,-0.717,-0.359,-0.598,scissors
0.669496,-0.083,0.957,0.277,-0.408,-0.408,-0.816,0.302,-0.953,0.002,0.655,-0.703,0.277,-0.845,0.169,-0.507,0.875,-0.274,0.399,-0.992,0.0,0.124,0.92,0.187,0.343,-0.485,-0.485,-0.728,0.781,0.26,0.568,-0.928,0.0,-0.371,0.318,0.907,0.276,-0.745,-0.298,-0.596,scissors
0.689237,-0.066,0.961,0.27,0.218,0.436,-0.873,0.302,-0.953,0.002,0.648,-0.702,0.296,-0.873,-0.218,-0.436,0.865,-0.274,0.42,-0.885,-0.147,0.442,0.924,0.159,0.348,0.0,-0.707,-0.707,0.79,0.225,0.57,-1.0,-0.0,-0.0,0.34,0.897,0.283,-0.6,0.0,-0.8,scissors
0.710956,-0.045,0.964,0.263,0.218,0.436,-0.873,0.28,-0.959,0.046,0.641,-0.697,0.321,-0.365,-0.913,-0.183,0.855,-0.269,0.444,-0.371,-0.557,0.743,0.925,0.127,0.358,0.811,-0.487,-0.324,0.794,0.199,0.575,0.408,0.408,0.816,0.358,0.886,0.294,-0.154,0.772,-0.617,scissors
0.73408,-0.007,0.965,0.263,-0.152,0.986,-0.076,0.28,-0.959,0.046,0.638,-0.69,0.342,0.287,-0.958,-0.0,0.847,-0.262,0.462,0.508,-0.609,0.609,0.923,0.103,0.37,1.0,0.0,0.0,0.798,0.167,0.58,0.64,0.426,0.64,0.372,0.876,0.307,-0.0,0.986,-0.164,scissors
0.754752,0.004,0.965,0.264,-0.226,0.948,0.226,0.28,-0.959,0.046,0.641,-0.681,0.355,0.49,-0.872,0.0,0.845,-0.253,0.472,0.749,-0.499,0.437,0.92,0.097,0.381,0.981,0.163,0.109,0.791,0.158,0.591,0.684,0.456,0.57,0.376,0.87,0.319,0.05,0.998,-0.05,scissors
0.776847,0.004,0.964,0.266,-0.202,0.942,0.269,0.28,-0.959,0.046,0.644,-0.676,0.359,0.536,-0.843,0.038,0.846,-0.246,0.474,0.801,-0.464,0.379,0.916,0.1,0.388,0.969,0.194,0.155,0.789,0.157,0.594,0.707,0.393,0.589,0.374,0.868,0.326,0.071,0.997,0.036,scissors
0.799852,-0.003,0.965,0.264,-0.164,0.938,0.305,0.299,-0.954,0.025,0.643,-0.677,0.358,0.574,-0.816,0.06,0.846,-0.248,0.473,0.846,-0.407,0.345,0.917,0.099,0.385,0.949,0.237,0.208,0.789,0.161,0.593,0.694,0.392,0.604,0.375,0.869,0.324,0.085,0.993,0.085,scissors
0.820963,-0.011,0.965,0.262,-0.164,0.938,0.305,0.291,-0.956,0.026,0.634,-0.685,0.359,0.587,-0.807,0.073,0.84,-0.258,0.478,0.848,-0.411,0.334,0.923,0.086,0.376,0.94,0.241,0.241,0.799,0.145,0.583,0.709,0.391,0.587,0.386,0.867,0.314,0.094,0.991,0.094,scissors
0.843549,-0.011,0.969,0.246,-0.179,0.937,0.299,0.291,-0.956,0.026,0.619,-0.695,0.366,0.584,-0.805,0.101,0.831,-0.275,0.483,0.862,-0.379,0.336,0.931,0.065,0.359,0.938,0.235,0.254,0.811,0.13,0.57,0.72,0.38,0.58,0.4,0.866,0.301,0.135,0.982,0.135,scissors
0.865737,-0.015,0.974,0.228,-0.184,0.936,0.301,0.277,-0.957,0.089,0.613,-0.701,0.363,0.621,-0.772,0.134,0.829,-0.283,0.483,0.875,-0.343,0.343,0.934,0.065,0.351,0.934,0.209,0.29,0.815,0.136,0.564,0.719,0.343,0.605,0.402,0.868,0.292,0.144,0.974,0.176,scissors
0.887255,-0.022,0.97,0.24,-0.184,0.936,0.301,0.253,-0.966,0.06,0.613,-0.704,0.36,0.625,-0.767,0.142,0.829,-0.286,0.48,0.882,-0.333,0.333,0.935,0.07,0.346,0.927,0.235,0.291,0.818,0.14,0.558,0.722,0.354,0.595,0.401,0.869,0.29,0.151,0.972,0.178,scissors
0.907343,-0.03,0.972,0.232,-0.125,0.932,0.341,0.253,-0.966,0.06,0.61,-0.705,0.363,0.64,-0.755,0.141,0.827,-0.287,0.483,0.891,-0.314,0.328,0.936,0.068,0.346,0.922,0.24,0.303,0.819,0.143,0.556,0.716,0.352,0.603,0.403,0.868,0.289,0.149,0.969,0.199,scissors
0.932339,-0.019,0.973,0.228,-0.104,0.929,0.355,0.253,-0.966,0.053,0.606,-0.709,0.36,0.648,-0.748,0.145,0.826,-0.295,0.48,0.891,-0.316,0.327,0.94,0.06,0.335,0.918,0.251,0.306,0.827,0.13,0.546,0.715,0.352,0.605,0.408,0.869,0.28,0.152,0.967,0.206,scissors
0.953501,-0.023,0.973,0.229,-0.104,0.929,0.355,0.228,-0.968,0.101,0.596,-0.72,0.356,0.642,-0.752,0.15,0.823,-0.306,0.479,0.886,-0.322,0.332,0.944,0.065,0.322,0.923,0.236,0.304,0.833,0.134,0.537,0.73,0.325,0.601,0.412,0.871,0.268,0.177,0.962,0.206,scissors
0.976963,-0.054,0.975,0.217,-0.104,0.929,0.355,0.228,-0.968,0.101,0.593,-0.726,0.348,0.639,-0.749,0.174,0.824,-0.315,0.47,0.885,-0.31,0.347,0.948,0.068,0.311,0.922,0.222,0.319,0.836,0.147,0.528,0.735,0.314,0.601,0.406,0.877,0.258,0.186,0.957,0.222,scissors
0.998273,-0.057,0.972,0.228,-0.095,0.944,0.317,0.237,-0.968,0.079,0.601,-0.728,0.33,0.643,-0.743,0.184,0.833,-0.317,0.454,0.887,-0.301,0.351,0.948,0.087,0.306,0.921,0.212,0.326,0.837,0.163,0.522,0.736,0.306,0.604,0.394,0.884,0.251,0.194,0.954,0.226,scissors
1.01981,-0.075,0.969,0.236,-0.096,0.941,0.326,0.237,-0.968,0.079,0.604,-0.731,0.317,0.641,-0.749,0.17,0.838,-0.321,0.442,0.888,-0.317,0.332,0.95,0.099,0.297,0.923,0.227,0.31,0.84,0.175,0.513,0.742,0.321,0.589,0.385,0.891,0.241,0.187,0.96,0.21,scissors
1.040854,-0.081,0.97,0.228,-0.132,0.933,0.334,0.237,-0.968,0.079,0.597,-0.738,0.315,0.646,-0.747,0.158,0.834,-0.33,0.441,0.892,-0.312,0.326,0.953,0.098,0.286,0.922,0.232,0.31,0.845,0.181,0.503,0.739,0.327,0.59,0.386,0.893,0.234,0.184,0.96,0.212,scissors
1.06515,-0.092,0.974,0.205,-0.125,0.929,0.349,0.237,-0.968,0.079,0.59,-0.746,0.309,0.646,-0.747,0.155,0.831,-0.341,0.439,0.896,-0.31,0.317,0.957,0.103,0.272,0.92,0.238,0.311,0.851,0.187,0.491,0.736,0.332,0.59,0.391,0.893,0.221,0.184,0.96,0.21,scissors
1.086784,-0.104,0.976,0.192,-0.125,0.929,0.349,0.181,-0.98,0.082,0.58,-0.754,0.308,0.646,-0.748,0.153,0.827,-0.353,0.438,0.893,-0.321,0.315,0.96,0.105,0.26,0.922,0.245,0.301,0.858,0.187,0.478,0.741,0.335,0.582,0.397,0.893,0.211,0.181,0.963,0.2,scissors
1.106169,-0.108,0.978,0.177,-0.125,0.929,0.349,0.181,-0.98,0.082,0.568,-0.762,0.31,0.638,-0.756,0.149,0.821,-0.361,0.442,0.892,-0.328,0.31,0.963,0.1,0.249,0.926,0.242,0.29,0.864,0.185,0.467,0.743,0.338,0.577,0.407,0.891,0.202,0.182,0.964,0.194,scissors
1.128862,-0.111,0.982,0.153,-0.164,0.928,0.334,0.181,-0.98,0.082,0.55,-0.772,0.317,0.631,-0.762,0.143,0.809,-0.378,0.45,0.891,-0.341,0.299,0.969,0.08,0.235,0.928,0.245,0.28,0.877,0.168,0.449,0.751,0.337,0.568,0.427,0.885,0.186,0.182,0.966,0.182,scissors
1.151756,-0.108,0.987,0.119,-0.164,0.928,0.334,0.137,-0.977,0.161,0.524,-0.786,0.329,0.63,-0.766,0.13,0.792,-0.403,0.46,0.891,-0.354,0.285,0.975,0.051,0.215,0.924,0.247,0.291,0.889,0.153,0.431,0.755,0.346,0.556,0.451,0.877,0.165,0.179,0.968,0.174,scissors
1.17486,-0.114,0.988,0.101,-0.164,0.928,0.334,0.137,-0.977,0.161,0.505,-0.795,0.336,0.645,-0.754,0.126,0.781,-0.417,0.466,0.899,-0.333,0.283,0.979,0.039,0.202,0.919,0.262,0.294,0.895,0.154,0.419,0.741,0.357,0.568,0.458,0.875,0.156,0.166,0.968,0.187,scissors
1.196781,-0.131,0.988,0.082,-0.164,0.928,0.334,0.076,-0.984,0.162,0.5,-0.799,0.334,0.664,-0.737,0.126,0.779,-0.423,0.463,0.912,-0.306,0.274,0.98,0.04,0.195,0.909,0.279,0.31,0.898,0.159,0.411,0.725,0.365,0.584,0.46,0.875,0.151,0.145,0.968,0.207,scissors
