  0.003878, BNO0_UnitAccX, BNO0_UnitAccY, BNO0_UnitAccZ, BNO0_RawAccMag, BNO0_GyrX, BNO0_GyrY, BNO0_GyrZ, BNO0_MagX, BNO0_MagY, BNO0_MagZ, BNO1_UnitAccX, BNO1_UnitAccY, BNO1_UnitAccZ, BNO1_RawAccMag, BNO1_GyrX, BNO1_GyrY, BNO1_GyrZ, BNO1_MagX, BNO1_MagY, BNO1_MagZ, BNO2_UnitAccX, BNO2_UnitAccY, BNO2_UnitAccZ, BNO2_RawAccMag, BNO2_GyrX, BNO2_GyrY, BNO2_GyrZ, BNO2_MagX, BNO2_MagY, BNO2_MagZ, BNO3_UnitAccX, BNO3_UnitAccY, BNO3_UnitAccZ, BNO3_RawAccMag, BNO3_GyrX, BNO3_GyrY, BNO3_GyrZ, BNO3_MagX, BNO3_MagY, BNO3_MagZ, MPU0_UnitAccX, MPU0_UnitAccY, MPU0_UnitAccZ, MPU0_RawAccMag, MPU0_GyrX, MPU0_GyrY, MPU0_GyrZ, MPU1_UnitAccX, MPU1_UnitAccY, MPU1_UnitAccZ, MPU1_RawAccMag, MPU1_GyrX, MPU1_GyrY, MPU1_GyrZ, none
  0.047695, 0.967        , 0.226        , -0.115       ,        2552.51, 0.112    , -0.224   , -0.895   , -0.992   , -0.119   , 0.048    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.602        , -0.528       , -0.599       ,        2482.85, -1.455   , -0.783   , 0.560    ,     0.261,     0.851,     0.455, 0.519        , 0.014        , -0.855       ,        2489.74, -1.231   , -0.448   , -0.336   , -0.459   , 0.116    ,     0.881, 0.166        , 0.654        , 0.738        ,         10.612, 5.267    , -1.252   , -0.855   , 0.337        , 0.940        , 0.047        ,         10.132, -5.328   , -5.679   , 0.366    , none
  0.061976, 0.968        , 0.226        , -0.111       ,        2551.38, -0.783   , -0.671   , -1.231   , -0.992   , -0.108   , 0.066    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.601        , -0.527       , -0.601       ,        2472.16, -1.567   , -0.671   , 0.671    ,     0.263,     0.850,     0.456, 0.519        , 0.021        , -0.855       ,        2490.07, -3.581   , -0.336   , -0.448   , -0.458   , 0.115    ,     0.881, 0.150        , 0.654        , 0.741        ,         10.670, 4.855    , -1.557   , 0.061    , 0.338        , 0.940        , 0.046        ,         10.112, -5.160   , -6.214   , 0.275    , none
  0.085407, 0.967        , 0.231        , -0.108       ,        2542.90, -0.895   , -0.336   , -1.007   , -0.989   , -0.138   , 0.053    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.604        , -0.522       , -0.601       ,        2455.58, -1.343   , -0.448   , 0.448    ,     0.256,     0.851,     0.459, 0.517        , 0.029        , -0.855       ,        2499.13, -2.350   , -0.112   , -0.112   , -0.455   , 0.113    ,     0.883, 0.170        , 0.653        , 0.738        ,         10.622, 5.145    , -0.229   , -1.191   , 0.335        , 0.941        , 0.048        ,         10.155, -5.481   , -5.282   , -0.122   , none
  0.086760, 0.966        , 0.235        , -0.104       ,        2543.20, 0.224    , 0.448    , -0.783   , -0.989   , -0.120   , 0.080    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.604        , -0.519       , -0.605       ,        2473.69, -0.895   , -0.336   , 0.448    ,     0.269,     0.852,     0.448, 0.514        , 0.025        , -0.857       ,        2494.56, -0.224   , -0.112   , 0.000    , -0.454   , 0.116    ,     0.884, 0.169        , 0.653        , 0.739        ,         10.662, 5.237    , 0.794    , -1.450   , 0.337        , 0.940        , 0.047        ,         10.136, -5.725   , -4.397   , -0.916   , none
  0.094515, 0.968        , 0.226        , -0.111       ,        2551.38, 0.000    , 0.224    , 0.112    , -0.989   , -0.132   , 0.060    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.603        , -0.525       , -0.600       ,        2460.29, 0.112    , 0.000    , -0.224   ,     0.267,     0.850,     0.455, 0.514        , 0.021        , -0.858       ,        2494.32, 1.231    , 0.112    , 0.112    , -0.449   , 0.108    ,     0.887, 0.166        , 0.653        , 0.739        ,         10.641, 5.466    , 0.947    , -1.725   , 0.336        , 0.940        , 0.049        ,         10.118, -5.679   , -4.427   , -1.328   , none
  0.111005, 0.969        , 0.220        , -0.112       ,        2537.24, 0.000    , 0.000    , 0.448    , -0.990   , -0.132   , 0.054    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.601        , -0.527       , -0.601       ,        2472.16, 0.448    , 0.336    , -0.224   ,     0.261,     0.849,     0.459, 0.517        , 0.018        , -0.856       ,        2499.30, 1.231    , 0.560    , 0.448    , -0.457   , 0.120    ,     0.881, 0.167        , 0.652        , 0.740        ,         10.631, 5.664    , 0.626    , -1.847   , 0.338        , 0.940        , 0.049        ,         10.125, -5.573   , -4.611   , -1.359   , none
  0.136561, 0.967        , 0.226        , -0.115       ,        2552.51, 0.448    , 0.336    , 0.336    , -0.991   , -0.119   , 0.058    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.602        , -0.528       , -0.599       ,        2466.16, 0.000    , -0.112   , -0.112   ,     0.273,     0.848,     0.453, 0.521        , 0.014        , -0.854       ,        2482.05, -0.112   , 0.112    , -0.112   , -0.451   , 0.111    ,     0.885, 0.167        , 0.655        , 0.737        ,         10.622, 5.832    , -0.031   , -1.878   , 0.336        , 0.940        , 0.050        ,         10.130, -5.511   , -5.038   , -1.053   , none
  0.160692, 0.968        , 0.226        , -0.111       ,        2551.38, 0.224    , -0.224   , -0.224   , -0.993   , -0.107   , 0.046    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.602        , -0.524       , -0.603       ,        2484.20, -0.112   , -0.224   , 0.112    ,     0.264,     0.847,     0.461, 0.519        , 0.018        , -0.855       ,        2490.75, -0.671   , -0.112   , -0.224   , -0.458   , 0.113    ,     0.882, 0.169        , 0.654        , 0.738        ,         10.611, 5.756    , -0.534   , -1.603   , 0.339        , 0.940        , 0.048        ,         10.129, -5.435   , -5.221   , -0.626   , none
  0.186728, 0.968        , 0.227        , -0.108       ,        2540.61, -0.224   , -0.112   , -0.224   , -0.992   , -0.108   , 0.072    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.602        , -0.524       , -0.603       ,        2466.31, -0.560   , -0.224   , 0.224    ,     0.253,     0.858,     0.447, 0.516        , 0.021        , -0.856       ,        2485.75, -0.895   , -0.336   , -0.112   , -0.451   , 0.110    ,     0.886, 0.169        , 0.654        , 0.737        ,         10.620, 5.496    , -0.427   , -1.435   , 0.339        , 0.939        , 0.049        ,         10.153, -5.466   , -5.084   , -0.504   , none
  0.210985, 0.968        , 0.226        , -0.111       ,        2551.38, -0.112   , -0.112   , -0.448   , -0.991   , -0.120   , 0.063    ,         0.953, -0.219       , -0.207       ,        3645.68,    47.448, -8.617   , -23.165  , -0.804   ,     0.214, -0.555   , 0.599        , -0.526       , -0.604       ,        2477.59, -0.336   , -0.336   , 0.000    ,     0.249,     0.850,     0.464, 0.519        , 0.021        , -0.855       ,        2490.07, -0.671   , -0.224   , -0.112   , -0.457   , 0.115    ,     0.882, 0.169        , 0.654        , 0.737        ,         10.619, 5.466    , -0.275   , -1.450   , 0.337        , 0.940        , 0.044        ,         10.138, -5.496   , -5.084   , -0.565   , none
