  0.004161, BNO0_UnitAccX, BNO0_UnitAccY, BNO0_UnitAccZ, BNO0_RawAccMag, BNO0_GyrX, BNO0_GyrY, BNO0_GyrZ, BNO0_MagX, BNO0_MagY, BNO0_MagZ, BNO1_UnitAccX, BNO1_UnitAccY, BNO1_UnitAccZ, BNO1_RawAccMag, BNO1_GyrX, BNO1_GyrY, BNO1_GyrZ, BNO1_MagX, BNO1_MagY, BNO1_MagZ, BNO2_UnitAccX, BNO2_UnitAccY, BNO2_UnitAccZ, BNO2_RawAccMag, BNO2_GyrX, BNO2_GyrY, BNO2_GyrZ, BNO2_MagX, BNO2_MagY, BNO2_MagZ, BNO3_UnitAccX, BNO3_UnitAccY, BNO3_UnitAccZ, BNO3_RawAccMag, BNO3_GyrX, BNO3_GyrY, BNO3_GyrZ, BNO3_MagX, BNO3_MagY, BNO3_MagZ, MPU0_UnitAccX, MPU0_UnitAccY, MPU0_UnitAccZ, MPU0_RawAccMag, MPU0_GyrX, MPU0_GyrY, MPU0_GyrZ, MPU1_UnitAccX, MPU1_UnitAccY, MPU1_UnitAccZ, MPU1_RawAccMag, MPU1_GyrX, MPU1_GyrY, MPU1_GyrZ
  0.049973, 0.278        , -0.959       , -0.057       ,        2650.77, 11.862   , 16.338   , -13.764  , 0.196    ,     0.957, -0.214   , 0.193        , -0.621       , 0.760        ,        2529.12, 81.020   , 3.581    , -17.122  , 0.138    , 0.309    , -0.941   , 0.362        , -0.559       , -0.746       ,        2276.00, -60.765  , -4.029   , -70.053  , -0.423   ,     0.690, -0.588   , -0.336       , 0.726        , -0.600       ,        3126.25, -35.474  , 101.163  , -15.779  , 0.038    , -0.656   ,     0.754, 0.416        , 0.530        , 0.739        ,         11.470, 153.954  , -2.931   , 51.481   , 0.204        , 0.665        , 0.718        ,         10.557, 110.519  , -14.702  , 2.031
  0.093934, 0.567        , -0.823       , 0.036        ,        3134.22, -50.805  , -23.388  , -164.613 , 0.168    ,     0.965, -0.200   , 0.521        , -0.284       , 0.805        ,        3422.04, 130.258  , -139.994 , -85.608  , 0.038    , 0.212    , -0.977   , 0.275        , -0.841       , -0.465       ,        2387.43, 117.725  , -44.539  , -80.684  , -0.470   ,     0.672, -0.572   , 0.078        , 0.962        , -0.262       ,        2512.88, -18.912  , 70.389   , -66.360  , 0.023    , -0.650   ,     0.760, 0.213        , 0.671        , 0.710        ,         10.608, 140.046  , -163.603 , 186.565  , 0.260        , 0.690        , 0.676        ,          9.869, 137.084  , -61.282  , 45.573
  0.094860, 0.265        , -0.946       , 0.189        ,        2003.70, -100.603 , -56.960  , -153.982 , 0.068    ,     0.983, -0.170   , 0.345        , -0.084       , 0.935        ,        2127.66, -87.622  , -111.234 , -211.166 , 0.000    , 0.205    , -0.979   , 0.137        , -0.933       , -0.333       ,        3152.89, 63.227   , -66.360  , 62.555   , -0.482   ,     0.680, -0.553   , -0.153       , 0.941        , -0.302       ,        2120.05, 172.783  , 76.991   , -95.679  , 0.004    , -0.630   ,     0.777, 0.104        , 0.202        , 0.974        ,         11.571, 37.084   , 10.565   , 57.267   , 0.277        , 0.190        , 0.942        ,         10.147, 42.061   , -27.344  , 55.420
  0.096339, 0.103        , -0.935       , -0.339       ,        2676.43, 90.644   , 50.246   , -3.469   , -0.021   ,     0.970, -0.243   , 0.438        , -0.737       , 0.514        ,        2344.83, 123.208  , 29.319   , -35.474  , -0.175   , 0.154    , -0.972   , 0.347        , -0.677       , -0.649       ,        2936.25, -32.453  , 182.183  , -63.898  , -0.546   ,     0.679, -0.491   , -0.450       , 0.686        , -0.572       ,        2920.30, -16.226  , -30.774  , -31.446  , -0.008   , -0.624   ,     0.782, 0.410        , 0.607        , 0.681        ,         11.216, 108.366  , 3.832    , 6.168    , 0.248        , 0.706        , 0.664        ,         10.143, 91.496   , -69.145  , 38.870
  0.105552, 0.425        , -0.888       , -0.174       ,        2839.43, 67.591   , 0.560    , -97.134  , -0.072   ,     0.956, -0.283   , 0.536        , -0.508       , 0.675        ,        2612.75, 219.895  , -45.993  , 71.732   , -0.183   , 0.075    , -0.980   , 0.583        , -0.463       , -0.668       ,        4056.62, -323.184 , 50.581   , -95.232  , -0.626   ,     0.613, -0.482   , -0.310       , 0.662        , -0.683       ,        2689.11, -64.905  , 73.634   , -57.184  , -0.015   , -0.626   ,     0.779, 0.545        , 0.451        , 0.706        ,         12.076, 220.198  , 3.664    , 87.237   , 0.579        , 0.613        , 0.537        ,         11.096, 180.122  , -134.947 , 67.771
  0.126763, 0.739        , -0.659       , -0.137       ,        3037.36, -166.628 , -18.576  , -277.862 , -0.160   ,     0.958, -0.239   , 0.702        , -0.059       , 0.710        ,        3505.71, 269.917  , -126.565 , 48.903   , -0.248   , -0.006   , -0.969   , 0.381        , 0.174        , -0.908       ,        2603.21, -364.813 , -73.970  , -253.243 , -0.809   ,     0.513, -0.288   , -0.062       , 0.617        , -0.784       ,        2691.92, 78.334   , 52.820   , -185.428 , -0.027   , -0.628   ,     0.777, 0.485        , 0.560        , 0.672        ,         13.418, 247.359  , 187.130  , 141.328  , 0.680        , 0.640        , 0.358        ,         12.929, 228.046  , -64.137  , 144.397
  0.150637, 0.536        , -0.781       , -0.321       ,        2087.89, -122.089 , -30.998  , -214.747 , -0.290   ,     0.932, -0.217   , 0.412        , -0.504       , 0.759        ,        2088.88, 271.595  , -65.241  , 144.359  , -0.307   , -0.120   , -0.944   , 0.053        , -0.909       , -0.413       ,        2046.71, 340.306  , -226.497 , -143.799 , -0.830   ,     0.424, -0.361   , -0.626       , 0.637        , -0.450       ,        2208.71, 235.114  , -42.748  , -197.961 , -0.014   , -0.607   ,     0.795, 0.036        , 0.444        , 0.895        ,         12.897, 225.954  , 226.641  , 137.771  , 0.183        , 0.379        , 0.907        ,         11.823, 178.458  , 277.176  , 41.313
  0.176625, 0.622        , -0.463       , -0.631       ,        2650.06, -152.863 , -62.443  , -137.644 , -0.362   ,     0.918, -0.164   , -0.353       , -0.486       , 0.799        ,        2365.50, -32.453  , -182.518 , -126.789 , -0.419   , -0.140   , -0.897   , 0.379        , -0.904       , -0.201       ,        1917.97, 173.678  , -288.381 , -98.477  , -0.855   ,     0.410, -0.316   , -0.966       , -0.138       , -0.220       ,        1747.08, 259.510  , 19.472   , -170.433 , -0.016   , -0.570   ,     0.822, -0.245       , 0.383        , 0.890        ,         10.752, 53.954   , 303.756  , 104.168  , -0.025       , 0.411        , 0.911        ,          9.087, 132.137  , 290.107  , 132.031
  0.194435, 0.261        , -0.712       , -0.652       ,        1916.77, 80.236   , -118.284 , -146.485 , -0.456   ,     0.874, -0.169   , -0.363       , -0.541       , 0.759        ,        6437.30, 270.253  , -26.969  , 152.192  , -0.470   , -0.174   , -0.865   , 0.158        , -0.802       , 0.576        ,        3419.45, 254.698  , -137.085 , -209.376 , -0.854   ,     0.439, -0.281   , -0.818       , -0.146       , -0.556       ,        2527.07, 118.956  , 14.324   , -102.170 , -0.011   , -0.552   ,     0.834, -0.124       , 0.655        , 0.745        ,          7.432, 16.458   , -34.565  , 156.565  , -0.052       , 0.456        , 0.888        ,          8.216, 114.824  , -26.122  , 196.794
  0.216126, 0.241        , -0.904       , -0.353       ,        4069.34, -34.579  , -204.340 , -162.375 , -0.611   ,     0.783, -0.113   , -0.246       , -0.381       , 0.891        ,        2992.60, -126.901 , -13.317  , -70.724  , -0.475   , -0.174   , -0.863   , -0.065       , -0.909       , 0.411        ,        3762.51, 148.275  , 80.236   , -132.273 , -0.751   ,     0.471, -0.463   , -0.690       , 0.241        , -0.682       ,        2373.98, 35.027   , 73.410   , -73.970  , -0.011   , -0.526   ,     0.850, -0.161       , 0.691        , 0.705        ,          8.342, 100.626  , 149.374  , 13.359   , -0.343       , 0.667        , 0.662        ,         16.211, 23.924   , 259.634  , 40.458
  0.238908, 0.628        , -0.706       , 0.326        ,        2154.67, -104.744 , -235.002 , -54.722  , -0.699   ,     0.710, -0.077   , -0.035       , -0.393       , 0.919        ,        2572.16, 4.812    , 156.668  , 82.475   , -0.466   , -0.195   , -0.863   , 0.249        , -0.878       , -0.410       ,        2399.82, -50.022  , 193.038  , 7.162    , -0.806   ,     0.443, -0.394   , -0.554       , 0.128        , -0.823       ,        2708.76, 182.742  , 10.183   , -72.291  , -0.034   , -0.498   ,     0.866, -0.101       , 0.791        , 0.603        ,         12.804, 148.046  , -19.038  , 59.817   , -0.172       , 0.701        , 0.692        ,          9.804, 73.863   , -180.656 , 73.252
