 0.003512, BNO0_UnitAccX, BNO0_UnitAccY, BNO0_UnitAccZ, BNO0_RawAccMag, BNO0_GyrX, BNO0_GyrY, BNO0_GyrZ, BNO0_MagX, BNO0_MagY, BNO0_MagZ, BNO1_UnitAccX, BNO1_UnitAccY, BNO1_UnitAccZ, BNO1_RawAccMag, BNO1_GyrX, BNO1_GyrY, BNO1_GyrZ, BNO1_MagX, BNO1_MagY, BNO1_MagZ, BNO2_UnitAccX, BNO2_UnitAccY, BNO2_UnitAccZ, BNO2_RawAccMag, BNO2_GyrX, BNO2_GyrY, BNO2_GyrZ, BNO2_MagX, BNO2_MagY, BNO2_MagZ, BNO3_UnitAccX, BNO3_UnitAccY, BNO3_UnitAccZ, BNO3_RawAccMag, BNO3_GyrX, BNO3_GyrY, BNO3_GyrZ, BNO3_MagX, BNO3_MagY, BNO3_MagZ, MPU0_UnitAccX, MPU0_UnitAccY, MPU0_UnitAccZ, MPU0_RawAccMag, MPU0_GyrX, MPU0_GyrY, MPU0_GyrZ, MPU1_UnitAccX, MPU1_UnitAccY, MPU1_UnitAccZ, MPU1_RawAccMag, MPU1_GyrX, MPU1_GyrY, MPU1_GyrZ, none
 0.047959, 0.502        , -0.184       , -0.845       ,        2522.41, 0.224    , -0.783   , 0.336    , -0.477   , 0.089    , 0.874    , 0.634        , -0.121       , -0.764       ,        2519.86, 0.224    , -0.336   , 0.224    , -0.925   , -0.213   , 0.314    , -0.032       , -0.693       , -0.720       ,        2508.45, -0.448   , -0.895   , 0.560    , -0.100   , 0.200    , -0.975   , 0.269        , -0.136       , -0.954       ,        2499.17, 0.336    , 0.224    , 0.000    , -0.860   , 0.485    , 0.159    , 0.274        , 0.188        , 0.943        ,         10.966, 5.679    , 0.489    , -1.740   , 0.565        , 0.336        , 0.753        ,          9.981, -5.511   , -4.611   , -1.176   , none
 0.048403, 0.501        , -0.187       , -0.845       ,        2525.11, 0.224    , 0.448    , 0.224    , -0.531   , 0.048    , 0.846    , 0.636        , -0.122       , -0.762       ,        2511.46, -0.224   , 0.336    , 0.224    , -0.949   , -0.222   , 0.222    , -0.032       , -0.697       , -0.716       ,        2508.24, 0.336    , 0.448    , -0.336   , -0.100   , 0.243    , -0.965   , 0.270        , -0.137       , -0.953       ,        2489.64, -0.224   , -0.112   , -0.112   , -0.877   , 0.472    , 0.094    , 0.274        , 0.187        , 0.944        ,         10.980, 5.786    , 0.580    , -1.817   , 0.566        , 0.335        , 0.753        ,         10.018, -5.511   , -4.565   , -1.496   , none
 0.059190, 0.504        , -0.184       , -0.844       ,        2513.96, 0.112    , 0.336    , 0.112    , -0.510   , 0.094    , 0.855    , 0.636        , -0.122       , -0.762       ,        2511.46, -0.224   , 0.560    , 0.336    , -0.927   , -0.185   , 0.326    , -0.032       , -0.697       , -0.716       ,        2508.24, 0.560    , 0.224    , -0.448   , -0.106   , 0.226    , -0.968   , 0.269        , -0.140       , -0.953       ,        2500.41, -0.671   , 0.000    , -0.448   , -0.876   , 0.476    , 0.081    , 0.274        , 0.188        , 0.943        ,         10.978, 5.847    , 0.580    , -1.832   , 0.567        , 0.335        , 0.753        ,          9.982, -5.344   , -4.702   , -1.542   , none
 0.081718, 0.506        , -0.184       , -0.843       ,        2519.86, 0.224    , 0.671    , 0.224    , -0.544   , 0.078    , 0.836    , 0.638        , -0.122       , -0.761       ,        2517.95, -0.224   , 0.336    , 0.336    , -0.918   , -0.205   , 0.340    , -0.028       , -0.697       , -0.716       ,        2507.22, 0.224    , 0.224    , -0.560   , -0.118   , 0.198    , -0.973   , 0.271        , -0.141       , -0.952       ,        2480.41, -0.448   , 0.112    , -0.112   , -0.835   , 0.527    , 0.156    , 0.274        , 0.188        , 0.943        ,         10.970, 5.908    , 0.656    , -1.893   , 0.564        , 0.335        , 0.755        ,          9.995, -5.374   , -4.519   , -1.618   , none
 0.103641, 0.504        , -0.187       , -0.843       ,        2529.29, 0.000    , 0.560    , 0.112    , -0.488   , 0.100    , 0.867    , 0.638        , -0.122       , -0.761       ,        2517.95, 0.000    , 0.336    , 0.336    , -0.946   , -0.194   , 0.260    , -0.028       , -0.699       , -0.714       ,        2514.20, 0.560    , 0.560    , -0.560   , -0.125   , 0.244    , -0.962   , 0.271        , -0.145       , -0.952       ,        2481.84, 0.224    , -0.112   , 0.000    , -0.883   , 0.456    , 0.112    , 0.272        , 0.187        , 0.944        ,         10.977, 5.786    , 0.443    , -1.802   , 0.565        , 0.338        , 0.753        ,          9.993, -5.405   , -4.702   , -1.374   , none
 0.126180, 0.501        , -0.187       , -0.845       ,        2525.11, 0.112    , 0.336    , 0.112    , -0.511   , 0.114    , 0.852    , 0.638        , -0.125       , -0.760       ,        2518.43, -0.448   , 0.112    , 0.000    , -0.958   , -0.200   , 0.207    , -0.028       , -0.697       , -0.716       ,        2507.22, 0.336    , 0.560    , -0.224   , -0.116   , 0.214    , -0.970   , 0.270        , -0.140       , -0.953       ,        2490.89, -0.336   , -0.112   , -0.112   , -0.881   , 0.460    , 0.112    , 0.274        , 0.189        , 0.943        ,         10.966, 5.725    , 0.076    , -1.527   , 0.563        , 0.339        , 0.754        ,         10.015, -5.313   , -5.038   , -1.038   , none
 0.149756, 0.509        , -0.183       , -0.841       ,        2524.43, -0.224   , 0.224    , -0.336   , -0.504   , 0.128    , 0.854    , 0.638        , -0.122       , -0.760       ,        2503.85, -0.336   , -0.112   , -0.224   , -0.947   , -0.159   , 0.278    , -0.028       , -0.697       , -0.716       ,        2507.22, -0.112   , 0.112    , -0.224   , -0.093   , 0.200    , -0.975   , 0.274        , -0.141       , -0.951       ,        2482.86, -0.224   , -0.224   , -0.224   , -0.866   , 0.481    , 0.135    , 0.273        , 0.191        , 0.943        ,         10.980, 5.618    , 0.015    , -1.481   , 0.565        , 0.338        , 0.753        ,          9.981, -5.435   , -4.901   , -0.748   , none
 0.172680, 0.504        , -0.184       , -0.844       ,        2513.96, -0.112   , -0.224   , -0.224   , -0.521   , 0.077    , 0.850    , 0.638        , -0.122       , -0.761       ,        2517.95, 0.000    , 0.000    , 0.000    , -0.934   , -0.140   , 0.328    , -0.028       , -0.701       , -0.713       ,        2507.78, -0.448   , 0.000    , 0.112    , -0.093   , 0.214    , -0.972   , 0.274        , -0.141       , -0.951       ,        2482.86, -0.112   , 0.112    , 0.112    , -0.853   , 0.502    , 0.141    , 0.274        , 0.187        , 0.943        ,         10.984, 5.542    , -0.015   , -1.405   , 0.563        , 0.337        , 0.755        ,          9.992, -5.466   , -4.901   , -0.534   , none
 0.193632, 0.501        , -0.187       , -0.845       ,        2525.11, 0.336    , -0.224   , -0.112   , -0.498   , 0.091    , 0.862    , 0.638        , -0.122       , -0.761       ,        2517.95, 0.336    , -0.112   , -0.224   , -0.939   , -0.188   , 0.287    , -0.032       , -0.697       , -0.716       ,        2508.24, -0.560   , -0.336   , 0.224    , -0.093   , 0.214    , -0.972   , 0.271        , -0.141       , -0.952       ,        2480.41, 0.112    , 0.000    , 0.112    , -0.852   , 0.493    , 0.176    , 0.274        , 0.189        , 0.943        ,         10.974, 5.649    , 0.122    , -1.542   , 0.566        , 0.336        , 0.753        ,          9.999, -5.481   , -4.672   , -0.718   , none
 0.215961, 0.502        , -0.184       , -0.845       ,        2522.41, 0.000    , -0.112   , -0.112   , -0.524   , 0.109    , 0.845    , 0.638        , -0.122       , -0.760       ,        2503.85, 0.000    , -0.112   , -0.112   , -0.944   , -0.180   , 0.278    , -0.028       , -0.695       , -0.718       ,        2501.67, -0.112   , 0.112    , 0.112    , -0.091   , 0.230    , -0.969   , 0.274        , -0.141       , -0.951       ,        2482.86, 0.560    , -0.112   , 0.224    , -0.870   , 0.488    , 0.073    , 0.274        , 0.188        , 0.943        ,         10.966, 5.679    , 0.489    , -1.679   , 0.566        , 0.336        , 0.753        ,          9.963, -5.603   , -4.321   , -0.748   , none
