time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s2_mag_x,s2_mag_y,s2_mag_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s3_mag_x,s3_mag_y,s3_mag_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s4_mag_x,s4_mag_y,s4_mag_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s5_mag_x,s5_mag_y,s5_mag_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,s6_mag_x,s6_mag_y,s6_mag_z,label
0.032603,-0.99,9.03,3.1,0.57,-0.03,0.05,23.63,-20.94,1.69,8.34,1.51,-4.69,0.06,-0.42,0.17,,,,6.99,2.84,6.75,-0.14,-0.46,0.21,,,,8.19,1.31,5.72,-0.15,-0.45,0.21,,,,9.55,-0.74,2.8,-0.2,-0.39,0.22,,,,8.62,-1.73,5.54,-0.4,-0.47,0.26,,,,paper
0.076786,-0.95,9.49,3.03,0.56,-0.06,0.06,23.5,-19.88,2.19,8.56,1.38,-4.65,-0.02,-0.2,0.09,,,,7.4,2.68,6.9,-0.09,-0.23,0.1,,,,8.72,1.0,5.65,-0.09,-0.21,0.09,,,,10.0,-1.16,2.36,-0.12,-0.16,0.12,,,,8.94,-2.15,4.39,-0.27,-0.21,0.23,,,,paper
0.115646,-1.11,9.31,2.76,0.03,0.07,0.02,23.5,-19.88,2.19,8.25,1.28,-4.97,0.04,-0.08,-0.0,,,,7.45,2.56,6.45,-0.0,-0.09,0.09,,,,8.53,0.96,5.36,0.02,-0.11,0.09,,,,9.71,-1.08,2.33,0.0,-0.08,0.07,,,,8.79,-2.02,5.02,-0.13,-0.11,0.14,,,,paper
0.161653,-1.07,9.27,3.03,0.08,0.06,0.01,24.75,-18.38,3.81,8.44,1.33,-4.78,0.07,-0.03,0.02,,,,7.24,2.69,6.71,-0.02,-0.04,0.12,,,,8.44,1.07,5.56,0.03,-0.06,0.13,,,,9.78,-1.01,2.5,0.04,-0.02,0.09,,,,8.74,-2.21,4.79,-0.07,-0.04,0.09,,,,paper
0.200041,-0.95,9.3,2.87,-0.04,0.05,0.03,24.75,-18.38,3.81,8.25,1.13,-5.05,0.08,0.04,0.02,,,,7.42,2.53,6.53,0.02,0.01,0.12,,,,8.47,0.96,5.4,0.1,-0.04,0.16,,,,9.71,-0.98,2.49,0.13,0.04,0.07,,,,8.73,-2.19,4.94,0.05,0.05,-0.03,,,,paper
0.246896,-0.91,9.34,2.91,0.03,0.06,0.06,22.75,-21.19,4.75,8.43,1.1,-5.01,0.14,0.09,0.08,,,,7.52,2.43,6.54,0.01,0.06,0.18,,,,8.67,0.66,5.22,0.14,-0.07,0.25,,,,9.74,-1.15,2.35,0.19,0.03,0.1,,,,8.67,-2.03,5.2,0.11,0.07,-0.15,,,,paper
0.284674,-1.03,9.19,2.76,0.03,0.04,0.06,22.75,-21.19,4.75,8.3,1.3,-4.73,0.14,0.11,0.13,,,,7.18,2.68,6.67,0.01,0.09,0.2,,,,8.4,1.3,5.72,0.18,-0.06,0.28,,,,9.6,-0.65,2.75,0.26,0.04,0.11,,,,8.58,-1.98,5.28,0.05,0.02,-0.2,,,,paper
0.331123,-0.91,9.0,2.8,-0.02,-0.02,-0.0,22.5,-19.63,2.81,8.08,0.98,-4.95,0.08,0.04,0.06,,,,7.22,2.42,6.4,0.05,0.01,0.13,,,,8.41,0.8,5.27,0.17,-0.04,0.2,,,,9.5,-0.86,2.61,0.23,0.06,0.04,,,,8.76,-1.71,5.44,0.02,0.04,-0.32,,,,paper
0.370088,-0.91,9.15,2.76,0.06,0.0,-0.0,23.31,-19.69,3.88,8.02,0.92,-5.05,0.15,-0.06,-0.02,,,,7.39,2.38,6.32,0.08,-0.1,0.17,,,,8.41,0.94,5.28,0.18,-0.12,0.23,,,,9.59,-0.78,2.61,0.23,-0.01,0.07,,,,8.84,-1.66,5.31,-0.04,-0.1,-0.2,,,,paper
0.414988,-0.88,9.5,2.95,0.06,0.06,0.0,23.44,-20.81,3.44,8.45,0.98,-4.87,0.17,-0.03,-0.11,,,,7.59,2.4,6.53,0.13,-0.06,0.15,,,,8.78,0.68,5.31,0.19,-0.06,0.17,,,,9.85,-1.01,2.49,0.19,0.02,0.03,,,,8.88,-1.62,5.11,0.03,0.01,-0.28,,,,paper
0.453785,-0.99,9.27,2.76,-0.01,0.06,0.01,23.44,-20.81,3.44,8.33,0.92,-5.06,0.23,-0.03,-0.11,,,,7.47,2.59,6.57,0.15,-0.07,0.21,,,,8.61,0.9,5.33,0.23,-0.07,0.24,,,,9.73,-0.79,2.64,0.24,0.01,0.06,,,,8.7,-1.49,5.44,0.03,-0.01,-0.35,,,,paper
0.498956,-0.99,9.49,2.87,0.08,-0.05,0.02,23.44,-20.81,3.44,8.59,1.03,-4.79,0.17,-0.03,-0.05,,,,7.39,2.71,6.82,0.08,-0.04,0.18,,,,8.66,1.01,5.6,0.15,-0.04,0.19,,,,9.82,-0.64,2.87,0.18,0.04,0.07,,,,8.62,-1.35,5.2,0.21,0.09,-0.73,,,,paper
0.538431,-0.91,9.5,2.8,0.06,-0.06,0.01,22.63,-21.0,3.31,8.3,1.02,-4.91,0.13,0.01,-0.04,,,,7.36,2.53,6.45,0.07,0.01,0.13,,,,8.51,0.87,5.3,0.13,0.01,0.12,,,,9.55,-0.67,2.74,0.14,0.07,0.02,,,,8.83,-1.25,4.75,0.31,0.07,-0.84,,,,paper
0.583475,-1.03,9.27,2.72,-0.06,0.02,-0.03,22.5,-21.69,3.25,8.24,0.92,-4.81,0.09,0.04,-0.09,,,,7.32,2.51,6.41,0.12,0.06,0.02,,,,8.55,0.83,5.29,0.14,0.04,-0.0,,,,9.61,-0.74,2.62,0.11,0.1,-0.09,,,,8.87,-0.33,5.26,0.57,0.01,-0.92,,,,paper
0.625089,-0.99,9.11,2.76,-0.06,-0.01,-0.02,22.5,-21.69,3.25,8.18,0.92,-4.89,0.09,0.04,-0.11,,,,7.34,2.57,6.4,0.1,0.05,0.03,,,,8.53,0.81,5.19,0.12,0.03,0.01,,,,9.76,-0.75,2.66,0.11,0.11,-0.05,,,,8.35,0.26,6.01,0.41,-0.26,-0.89,,,,paper
0.666394,-1.03,9.31,2.8,0.04,-0.09,-0.01,22.75,-21.19,4.06,8.34,0.96,-4.84,0.06,0.05,-0.11,,,,7.31,2.67,6.52,0.05,0.05,0.01,,,,8.54,0.97,5.4,0.09,0.04,-0.02,,,,9.55,-0.56,2.78,0.07,0.13,-0.02,,,,9.58,0.72,5.45,-0.13,-0.43,-0.7,,,,paper
0.708506,-0.95,9.49,2.84,-0.03,-0.06,-0.02,23.13,-20.5,3.44,8.28,0.94,-4.97,0.02,0.12,-0.14,,,,7.41,2.56,6.35,0.08,0.11,-0.04,,,,8.55,0.81,5.18,0.12,0.09,-0.07,,,,9.48,-0.55,2.75,0.07,0.15,-0.11,,,,9.88,0.61,5.07,-0.57,-0.32,-0.25,,,,paper
0.751019,-1.03,9.42,2.8,-0.17,0.02,-0.06,22.94,-19.75,3.88,8.26,1.05,-4.86,0.02,0.15,-0.2,,,,7.2,2.71,6.38,0.14,0.15,-0.13,,,,8.39,0.97,5.27,0.15,0.11,-0.18,,,,9.48,-0.49,2.88,0.09,0.27,-0.24,,,,9.59,0.41,4.97,-1.0,-0.27,0.22,,,,paper
0.796042,-1.07,8.89,2.8,-0.15,0.04,-0.08,22.63,-19.5,3.5,8.32,0.8,-5.08,0.01,0.08,-0.16,,,,7.47,2.68,6.46,0.09,0.08,-0.11,,,,8.56,1.07,5.38,0.08,0.05,-0.16,,,,9.6,-0.16,3.15,-0.04,0.12,-0.19,,,,9.12,0.09,5.06,-1.06,-0.34,0.36,,,,paper
0.831637,-1.14,9.19,2.87,0.02,0.0,-0.04,24.5,-18.31,4.88,8.34,1.03,-4.81,-0.03,0.01,-0.11,,,,7.22,2.93,6.6,0.01,0.03,-0.11,,,,8.49,1.27,5.47,0.01,0.02,-0.16,,,,9.57,-0.16,3.04,-0.14,0.05,-0.13,,,,9.63,-0.12,4.64,-1.01,-0.39,0.54,,,,paper
0.872878,-1.22,9.15,2.87,-0.14,0.04,-0.07,23.44,-20.25,2.13,8.07,1.03,-5.03,-0.08,0.04,-0.15,,,,7.33,2.79,6.18,0.0,0.09,-0.17,,,,8.54,1.08,5.07,-0.02,0.09,-0.24,,,,9.67,-0.36,2.72,-0.17,0.08,-0.14,,,,9.2,-0.55,5.07,-1.26,-0.58,0.81,,,,paper
