time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s2_mag_x,s2_mag_y,s2_mag_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s3_mag_x,s3_mag_y,s3_mag_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s4_mag_x,s4_mag_y,s4_mag_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s5_mag_x,s5_mag_y,s5_mag_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,s6_mag_x,s6_mag_y,s6_mag_z,label
0.032603,-0.103,0.941,0.323,0.995,-0.052,0.087,0.747,-0.662,0.053,0.861,0.156,-0.484,0.131,-0.919,0.372,,,,0.69,0.281,0.667,-0.267,-0.877,0.4,,,,0.813,0.13,0.568,-0.289,-0.867,0.405,,,,0.957,-0.074,0.281,-0.408,-0.795,0.449,,,,0.83,-0.166,0.533,-0.597,-0.702,0.388,,,,paper
0.076786,-0.095,0.948,0.303,0.989,-0.106,0.106,0.762,-0.644,0.071,0.87,0.14,-0.473,-0.091,-0.908,0.409,,,,0.707,0.256,0.659,-0.338,-0.863,0.375,,,,0.835,0.096,0.541,-0.367,-0.855,0.367,,,,0.967,-0.112,0.228,-0.514,-0.686,0.514,,,,0.877,-0.211,0.431,-0.655,-0.509,0.558,,,,paper
0.115646,-0.114,0.953,0.282,0.381,0.889,0.254,0.762,-0.644,0.071,0.849,0.132,-0.512,0.447,-0.894,-0.0,,,,0.732,0.251,0.634,-0.0,-0.707,0.707,,,,0.843,0.095,0.53,0.139,-0.766,0.627,,,,0.967,-0.108,0.232,0.0,-0.753,0.659,,,,0.852,-0.196,0.486,-0.59,-0.499,0.635,,,,paper
0.161653,-0.109,0.945,0.309,0.796,0.597,0.1,0.797,-0.592,0.123,0.862,0.136,-0.488,0.889,-0.381,0.254,,,,0.708,0.263,0.656,-0.156,-0.312,0.937,,,,0.83,0.105,0.547,0.205,-0.41,0.889,,,,0.964,-0.1,0.246,0.398,-0.199,0.896,,,,0.856,-0.216,0.469,-0.579,-0.331,0.745,,,,paper
0.200041,-0.097,0.951,0.293,-0.566,0.707,0.424,0.797,-0.592,0.123,0.847,0.116,-0.519,0.873,0.436,0.218,,,,0.727,0.248,0.64,0.164,0.082,0.983,,,,0.839,0.095,0.535,0.518,-0.207,0.83,,,,0.964,-0.097,0.247,0.85,0.261,0.458,,,,0.85,-0.213,0.481,0.651,0.651,-0.391,,,,paper
0.246896,-0.093,0.951,0.296,0.333,0.667,0.667,0.723,-0.674,0.151,0.854,0.111,-0.508,0.758,0.487,0.433,,,,0.733,0.237,0.638,0.053,0.316,0.947,,,,0.855,0.065,0.515,0.475,-0.237,0.848,,,,0.966,-0.114,0.233,0.876,0.138,0.461,,,,0.841,-0.197,0.504,0.553,0.352,-0.755,,,,paper
0.284674,-0.107,0.952,0.286,0.384,0.512,0.768,0.723,-0.674,0.151,0.861,0.135,-0.491,0.635,0.499,0.59,,,,0.707,0.264,0.657,0.046,0.41,0.911,,,,0.82,0.127,0.558,0.532,-0.177,0.828,,,,0.959,-0.065,0.275,0.912,0.14,0.386,,,,0.836,-0.193,0.514,0.241,0.097,-0.966,,,,paper
0.331123,-0.096,0.95,0.296,-0.707,-0.707,-0.0,0.75,-0.655,0.094,0.848,0.103,-0.52,0.743,0.371,0.557,,,,0.726,0.243,0.643,0.358,0.072,0.931,,,,0.845,0.08,0.529,0.64,-0.151,0.753,,,,0.961,-0.087,0.264,0.954,0.249,0.166,,,,0.838,-0.164,0.52,0.062,0.124,-0.99,,,,paper
0.370088,-0.095,0.953,0.287,1.0,0.0,-0.0,0.758,-0.64,0.126,0.842,0.097,-0.53,0.921,-0.369,-0.123,,,,0.738,0.238,0.631,0.376,-0.47,0.799,,,,0.843,0.094,0.529,0.57,-0.38,0.728,,,,0.962,-0.078,0.262,0.956,-0.042,0.291,,,,0.846,-0.159,0.508,-0.176,-0.44,-0.88,,,,paper
0.414988,-0.088,0.951,0.295,0.707,0.707,0.0,0.743,-0.66,0.109,0.862,0.1,-0.497,0.831,-0.147,-0.537,,,,0.737,0.233,0.634,0.627,-0.289,0.723,,,,0.854,0.066,0.516,0.725,-0.229,0.649,,,,0.965,-0.099,0.244,0.982,0.103,0.155,,,,0.856,-0.156,0.493,0.106,0.035,-0.994,,,,paper
0.453785,-0.102,0.953,0.284,-0.162,0.973,0.162,0.743,-0.66,0.109,0.851,0.094,-0.517,0.896,-0.117,-0.428,,,,0.727,0.252,0.639,0.561,-0.262,0.785,,,,0.847,0.089,0.524,0.677,-0.206,0.706,,,,0.962,-0.078,0.261,0.969,0.04,0.242,,,,0.839,-0.144,0.525,0.085,-0.028,-0.996,,,,paper
0.498956,-0.099,0.952,0.288,0.83,-0.518,0.207,0.743,-0.66,0.109,0.869,0.104,-0.484,0.946,-0.167,-0.278,,,,0.71,0.26,0.655,0.398,-0.199,0.896,,,,0.836,0.097,0.54,0.611,-0.163,0.774,,,,0.958,-0.062,0.28,0.913,0.203,0.355,,,,0.849,-0.133,0.512,0.275,0.118,-0.954,,,,paper
0.538431,-0.091,0.955,0.282,0.702,-0.702,0.117,0.729,-0.676,0.107,0.856,0.105,-0.506,0.953,0.073,-0.293,,,,0.728,0.25,0.638,0.473,0.068,0.878,,,,0.846,0.086,0.527,0.734,0.056,0.677,,,,0.959,-0.067,0.275,0.887,0.444,0.127,,,,0.874,-0.124,0.47,0.345,0.078,-0.935,,,,paper
0.583475,-0.106,0.954,0.28,-0.857,0.286,-0.429,0.716,-0.69,0.103,0.86,0.096,-0.502,0.675,0.3,-0.675,,,,0.728,0.25,0.638,0.885,0.442,0.147,,,,0.848,0.082,0.524,0.962,0.275,-0.0,,,,0.962,-0.074,0.262,0.633,0.575,-0.518,,,,0.86,-0.032,0.51,0.527,0.009,-0.85,,,,paper
0.625089,-0.103,0.952,0.288,-0.937,-0.156,-0.312,0.716,-0.69,0.103,0.854,0.096,-0.511,0.61,0.271,-0.745,,,,0.729,0.255,0.635,0.864,0.432,0.259,,,,0.851,0.081,0.518,0.967,0.242,0.081,,,,0.962,-0.074,0.262,0.673,0.673,-0.306,,,,0.811,0.025,0.584,0.404,-0.256,-0.878,,,,paper
0.666394,-0.105,0.952,0.286,0.404,-0.909,-0.101,0.726,-0.676,0.129,0.861,0.099,-0.499,0.445,0.371,-0.815,,,,0.72,0.263,0.642,0.7,0.7,0.14,,,,0.841,0.096,0.532,0.896,0.398,-0.199,,,,0.959,-0.056,0.279,0.47,0.873,-0.134,,,,0.867,0.065,0.493,-0.156,-0.517,-0.842,,,,paper
0.708506,-0.095,0.954,0.285,-0.429,-0.857,-0.286,0.744,-0.659,0.111,0.853,0.097,-0.512,0.108,0.647,-0.755,,,,0.734,0.254,0.629,0.564,0.776,-0.282,,,,0.852,0.081,0.516,0.725,0.544,-0.423,,,,0.959,-0.056,0.278,0.352,0.755,-0.553,,,,0.888,0.055,0.456,-0.814,-0.457,-0.357,,,,paper
0.751019,-0.104,0.953,0.283,-0.937,0.11,-0.331,0.752,-0.647,0.127,0.857,0.109,-0.504,0.08,0.598,-0.797,,,,0.72,0.271,0.638,0.576,0.618,-0.535,,,,0.843,0.097,0.529,0.58,0.425,-0.695,,,,0.956,-0.049,0.29,0.242,0.725,-0.645,,,,0.887,0.038,0.46,-0.944,-0.255,0.208,,,,paper
0.796042,-0.114,0.948,0.298,-0.859,0.229,-0.458,0.752,-0.648,0.116,0.851,0.082,-0.519,0.056,0.447,-0.893,,,,0.73,0.262,0.631,0.552,0.491,-0.674,,,,0.842,0.105,0.529,0.431,0.269,-0.861,,,,0.95,-0.016,0.312,-0.175,0.526,-0.832,,,,0.874,0.009,0.485,-0.906,-0.291,0.308,,,,paper
0.831637,-0.118,0.948,0.296,0.447,0.0,-0.894,0.791,-0.591,0.158,0.861,0.106,-0.497,-0.262,0.087,-0.961,,,,0.707,0.287,0.646,0.087,0.262,-0.961,,,,0.834,0.125,0.537,0.062,0.124,-0.99,,,,0.953,-0.016,0.303,-0.709,0.253,-0.658,,,,0.901,-0.011,0.434,-0.835,-0.322,0.446,,,,paper
0.872878,-0.126,0.947,0.297,-0.867,0.248,-0.433,0.755,-0.652,0.069,0.844,0.108,-0.526,-0.458,0.229,-0.859,,,,0.734,0.279,0.619,0.0,0.468,-0.884,,,,0.855,0.108,0.508,-0.078,0.35,-0.933,,,,0.962,-0.036,0.271,-0.726,0.341,-0.598,,,,0.875,-0.052,0.482,-0.784,-0.361,0.504,,,,paper
0.912854,-0.093,0.946,0.311,-0.867,0.248,-0.433,0.758,-0.64,0.126,0.846,0.107,-0.522,-0.0,-0.507,-0.862,,,,0.735,0.273,0.621,0.138,-0.208,-0.968,,,,0.861,0.092,0.501,-0.212,-0.042,-0.976,,,,0.959,-0.028,0.283,-0.882,-0.237,-0.407,,,,0.913,-0.132,0.385,-0.702,-0.435,0.563,,,,paper
