0.003672,BNO0_UnitAccX,BNO0_UnitAccY,BNO0_UnitAccZ,BNO0_RawAccMag,BNO0_GyrX,BNO0_GyrY,BNO0_GyrZ,BNO0_MagX,BNO0_MagY,BNO0_MagZ,BNO1_UnitAccX,BNO1_UnitAccY,BNO1_UnitAccZ,BNO1_RawAccMag,BNO1_GyrX,BNO1_GyrY,BNO1_GyrZ,BNO1_MagX,BNO1_MagY,BNO1_MagZ,BNO2_UnitAccX,BNO2_UnitAccY,BNO2_UnitAccZ,BNO2_RawAccMag,BNO2_GyrX,BNO2_GyrY,BNO2_GyrZ,BNO2_MagX,BNO2_MagY,BNO2_MagZ,BNO3_UnitAccX,BNO3_UnitAccY,BNO3_UnitAccZ,BNO3_RawAccMag,BNO3_GyrX,BNO3_GyrY,BNO3_GyrZ,BNO3_MagX,BNO3_MagY,BNO3_MagZ,MPU0_UnitAccX,MPU0_UnitAccY,MPU0_UnitAccZ,MPU0_RawAccMag,MPU0_GyrX,MPU0_GyrY,MPU0_GyrZ,MPU1_UnitAccX,MPU1_UnitAccY,MPU1_UnitAccZ,MPU1_RawAccMag,MPU1_GyrX,MPU1_GyrY,MPU1_GyrZ,none
0.045734,0.814,0.559,0.159,2383.58,-2.238,2.462,-0.560,-0.815,-0.301,-0.496,0.931,0.364,-0.014,2397.83,-4.364,4.029,-2.350,-0.896,0.064,-0.440,0.468,-0.542,-0.698,2388.22,-3.357,4.364,-6.267,-0.794,0.561,0.235,0.250,0.710,-0.658,2446.24,-0.224,3.805,4.364,-0.172,0.132,0.976,0.577,0.780,-0.242,9.866,9.084,-3.985,-4.962,0.283,0.793,-0.539,10.507,-1.603,-9.802,-3.954,none
0.045992,0.824,0.551,0.134,2524.29,-2.014,2.574,0.112,-0.802,-0.302,-0.515,0.935,0.355,-0.029,2546.59,-4.141,3.357,-2.238,-0.893,0.073,-0.443,0.443,-0.573,-0.690,2500.09,-3.245,4.700,-6.714,-0.845,0.532,0.051,0.256,0.710,-0.656,2586.04,-2.238,4.141,4.588,-0.173,0.141,0.975,0.567,0.797,-0.207,10.356,6.565,-3.710,-5.618,0.278,0.817,-0.506,10.944,-4.397,-10.656,-4.076,none
0.068945,0.845,0.523,0.111,2620.22,0.560,-0.671,5.148,-0.823,-0.320,-0.469,0.946,0.322,-0.039,2620.76,-3.133,2.014,1.119,-0.896,0.069,-0.439,0.445,-0.575,-0.687,2509.83,-0.671,4.588,-2.238,-0.830,0.544,0.123,0.257,0.709,-0.657,2645.10,0.224,1.455,4.476,-0.172,0.132,0.976,0.577,0.797,-0.176,10.635,-3.420,-0.748,-4.366,0.297,0.830,-0.473,11.218,-14.504,-9.084,-1.160,none
0.499812,0.855,0.513,0.079,2672.31,3.693,-7.610,11.974,-0.812,-0.305,-0.498,0.948,0.315,-0.052,2709.05,0.000,-5.483,10.631,-0.899,0.056,-0.434,0.433,-0.588,-0.684,2537.50,5.148,4.141,4.700,-0.824,0.547,0.147,0.257,0.707,-0.659,2651.02,6.155,-2.574,3.021,-0.166,0.141,0.976,0.577,0.794,-0.192,10.585,-12.046,2.473,-1.939,0.287,0.822,-0.493,11.156,-22.351,-7.573,2.504,none
0.499978,0.832,0.543,0.112,2685.04,-3.581,-17.793,16.450,-0.813,-0.296,-0.502,0.955,0.292,-0.057,2688.65,1.455,-10.295,14.883,-0.893,0.073,-0.443,0.426,-0.597,-0.680,2579.48,8.393,3.357,11.862,-0.820,0.554,0.146,0.259,0.694,-0.671,2629.98,11.079,-8.841,1.343,-0.165,0.142,0.976,0.583,0.781,-0.225,10.205,-15.847,3.267,1.053,0.290,0.801,-0.524,10.829,-24.916,-7.267,6.061,none
0.500102,0.829,0.545,0.125,2553.23,1.455,-21.038,14.324,-0.836,-0.295,-0.464,0.941,0.337,-0.036,2591.26,-4.700,-16.450,14.772,-0.918,0.069,-0.390,0.441,-0.575,-0.689,2576.19,7.162,2.574,17.010,-0.827,0.548,0.128,0.252,0.690,-0.678,2588.82,10.183,-11.302,1.007,-0.165,0.152,0.974,0.584,0.788,-0.195,10.150,-17.634,1.115,5.282,0.300,0.821,-0.486,10.832,-26.947,-9.573,11.069,none
0.500195,0.866,0.499,0.035,2648.47,4.924,-23.053,13.541,-0.828,-0.291,-0.480,0.950,0.298,-0.091,2733.04,-3.469,-20.926,13.541,-0.908,0.071,-0.412,0.445,-0.570,-0.691,2510.99,5.931,1.007,19.695,-0.833,0.548,0.081,0.264,0.701,-0.662,2576.67,11.414,-12.310,0.895,-0.170,0.147,0.974,0.585,0.803,-0.114,10.861,-30.611,3.008,9.328,0.316,0.856,-0.409,11.469,-39.908,-9.771,18.519,none
0.501260,0.884,0.468,0.006,2783.35,14.100,-34.803,22.157,-0.832,-0.296,-0.468,0.958,0.252,-0.134,2881.92,-1.679,-36.034,22.157,-0.905,0.091,-0.416,0.428,-0.597,-0.679,2496.67,8.729,0.895,23.388,-0.808,0.567,0.159,0.256,0.709,-0.657,2657.39,12.086,-12.869,0.336,-0.168,0.154,0.974,0.584,0.802,-0.124,10.938,-50.198,9.084,12.855,0.314,0.847,-0.429,11.515,-56.947,-7.740,25.008,none
0.501374,0.928,0.367,-0.059,2744.87,16.898,-55.393,33.572,-0.845,-0.264,-0.465,0.931,0.364,-0.025,2557.69,-9.624,-50.246,28.536,-0.914,0.083,-0.396,0.429,-0.590,-0.684,2579.99,13.876,0.448,29.543,-0.828,0.545,0.132,0.247,0.705,-0.665,2642.56,13.764,-13.541,-1.567,-0.164,0.152,0.975,0.578,0.799,-0.166,10.522,-60.305,14.550,13.160,0.300,0.836,-0.459,11.101,-66.412,-6.427,29.069,none
0.501468,0.858,0.513,0.028,2651.23,-12.645,-76.879,40.398,-0.862,-0.274,-0.427,0.923,0.381,-0.052,2547.05,0.112,-38.831,29.096,-0.913,0.084,-0.398,0.432,-0.588,-0.684,2519.78,14.772,-3.021,33.796,-0.798,0.577,0.176,0.230,0.707,-0.669,2623.83,13.764,-17.457,-3.917,-0.164,0.156,0.974,0.569,0.798,-0.200,10.163,-60.519,14.534,8.656,0.272,0.804,-0.528,10.618,-68.947,-4.397,24.168,none
