time,s1_X,s1_Y,s1_Z,s1_gyro_x,s1_gyro_y,s1_gyro_z,s1_mag_x,s1_mag_y,s1_mag_z,s2_X,s2_Y,s2_Z,s2_gyro_x,s2_gyro_y,s2_gyro_z,s3_X,s3_Y,s3_Z,s3_gyro_x,s3_gyro_y,s3_gyro_z,s4_X,s4_Y,s4_Z,s4_gyro_x,s4_gyro_y,s4_gyro_z,s5_X,s5_Y,s5_Z,s5_gyro_x,s5_gyro_y,s5_gyro_z,s6_X,s6_Y,s6_Z,s6_gyro_x,s6_gyro_y,s6_gyro_z,label
3.557348,0.159,0.959,0.233,-1.0,0.0,-0.0,-0.1,-0.989,0.106,0.922,-0.193,-0.336,-0.348,0.348,-0.87,0.658,0.148,0.739,-0.905,0.302,0.302,0.749,0.109,0.654,-0.408,0.408,-0.816,0.603,0.17,0.78,-0.845,0.507,0.169,0.778,-0.201,0.596,-0.911,0.13,-0.391,paper
9.078667,0.055,0.851,0.522,0.087,0.864,0.495,0.528,-0.473,-0.705,0.683,-0.352,0.64,0.676,-0.373,0.636,0.783,-0.228,0.579,0.755,-0.245,0.608,0.821,-0.198,0.535,0.798,-0.185,0.574,0.999,-0.036,-0.038,0.998,-0.01,0.06,0.231,0.917,0.327,0.153,0.939,0.307,rock
32.574195,0.096,0.857,0.506,-0.507,-0.697,0.507,0.179,-0.937,-0.301,0.704,-0.314,0.637,0.204,-0.153,-0.967,0.788,-0.18,0.589,0.14,0.14,-0.98,0.841,-0.149,0.521,0.0,-0.282,-0.959,0.998,0.015,-0.061,-0.537,-0.119,-0.835,0.249,0.893,0.376,-0.891,0.089,-0.445,rock
14.266502,0.047,0.967,0.252,-0.193,-0.95,-0.245,-0.631,-0.759,0.161,0.884,-0.065,-0.463,-0.872,0.243,0.425,0.723,0.318,0.614,-0.707,-0.136,-0.694,0.815,0.215,0.538,-0.728,-0.043,-0.685,0.68,0.3,0.669,-0.587,-0.114,-0.802,0.836,-0.055,0.546,-0.789,0.235,-0.567,paper
12.131018,0.017,0.846,0.533,-0.126,-0.984,-0.126,-0.24,-0.94,-0.24,0.694,-0.376,0.614,-0.378,0.307,-0.874,0.8,-0.238,0.55,-0.597,0.338,-0.727,0.833,-0.219,0.508,-0.552,0.168,-0.816,0.996,-0.051,-0.075,-0.93,0.116,-0.349,0.2,0.927,0.318,-0.613,-0.707,-0.353,rock
0.347679,0.036,0.974,0.222,-0.426,-0.64,0.64,-0.187,-0.963,0.194,0.75,-0.49,0.445,-0.241,0.12,-0.963,0.755,-0.202,0.624,-0.873,0.218,-0.436,0.825,-0.249,0.507,-0.302,0.302,-0.905,0.9,-0.007,0.436,-0.816,0.408,-0.408,0.761,0.461,0.455,-0.976,0.098,-0.195,rock
4.742245,-0.041,0.997,0.066,-0.097,-0.967,-0.238,-0.464,-0.802,0.375,0.65,-0.543,0.531,-0.756,0.465,-0.46,0.674,-0.312,0.67,-0.761,0.178,-0.624,0.732,-0.303,0.61,-0.807,0.219,-0.548,0.822,-0.072,0.565,-0.866,-0.016,-0.5,0.807,0.512,0.295,-0.769,-0.431,-0.472,rock
29.472373,0.027,0.778,0.628,0.049,-0.937,-0.345,-0.453,-0.522,-0.723,0.776,-0.341,0.531,-0.439,0.393,-0.808,0.863,-0.166,0.478,-0.648,0.399,-0.648,0.888,-0.21,0.409,-0.598,0.239,-0.765,0.984,-0.027,-0.177,-0.943,0.184,-0.276,0.087,0.932,0.353,-0.554,-0.771,-0.313,rock
7.786635,0.004,0.989,0.146,-0.101,-0.974,0.202,-0.387,-0.804,0.451,0.733,-0.493,0.469,-0.565,0.418,-0.712,0.733,-0.208,0.647,-0.549,0.257,-0.795,0.811,-0.237,0.535,-0.627,0.168,-0.761,0.885,0.005,0.465,-0.701,-0.034,-0.712,0.778,0.456,0.431,-0.913,-0.33,-0.242,rock
21.246891,-0.127,0.758,0.64,0.11,0.988,-0.11,0.175,-0.922,-0.346,0.797,-0.501,0.336,0.069,-0.553,0.83,0.966,-0.172,0.196,0.314,-0.496,0.81,0.909,0.027,0.415,0.699,-0.699,-0.15,0.897,0.073,0.435,0.761,-0.637,-0.124,0.089,0.895,0.437,0.79,0.562,0.246,scissors
27.947118,-0.027,0.71,0.703,0.577,0.577,0.577,0.498,-0.739,-0.454,0.857,-0.39,0.338,0.0,0.243,-0.97,0.977,-0.043,0.207,-0.667,0.667,0.333,0.855,-0.004,0.519,-0.577,0.577,-0.577,0.843,0.049,0.536,-0.514,0.514,0.686,0.04,0.849,0.527,-0.889,0.381,-0.254,scissors
3.560215,-0.116,0.882,0.456,0.022,0.851,0.525,-0.468,-0.711,-0.524,0.765,-0.613,0.196,0.809,-0.552,0.202,0.946,-0.163,0.28,0.936,-0.077,0.345,0.74,0.339,0.581,0.673,0.269,0.689,0.586,0.46,0.667,0.401,0.432,0.808,0.169,0.981,0.097,0.14,0.971,0.193,scissors
20.227313,0.047,0.708,0.705,0.0,0.602,0.799,0.414,-0.786,-0.459,0.849,-0.365,0.381,0.91,-0.349,0.224,0.969,-0.027,0.247,0.987,0.012,0.16,0.844,-0.053,0.534,0.803,0.024,0.596,0.836,-0.025,0.549,0.736,0.061,0.674,0.057,0.82,0.57,-0.142,0.841,0.521,scissors
1.519884,-0.007,0.823,0.568,0.185,-0.554,-0.812,0.189,-0.929,-0.32,0.832,-0.503,0.233,-0.862,0.503,0.072,0.942,-0.036,0.333,-0.992,-0.031,0.124,0.651,0.299,0.698,-0.503,-0.574,-0.646,0.494,0.445,0.747,-0.224,-0.616,-0.756,0.173,0.951,0.255,0.038,-0.922,-0.384,scissors
10.150754,0.019,0.871,0.491,0.245,0.817,0.521,0.405,-0.871,-0.279,0.661,-0.376,0.649,0.727,-0.217,0.651,0.77,-0.26,0.583,0.755,-0.084,0.65,0.801,-0.225,0.555,0.838,-0.042,0.545,0.998,-0.069,-0.013,0.989,0.141,0.033,0.248,0.922,0.299,0.127,0.887,0.444,rock
14.106802,-0.316,0.74,0.594,-0.535,-0.267,0.802,0.888,-0.08,-0.452,0.715,-0.656,0.24,0.549,-0.137,-0.824,0.938,-0.339,0.071,0.0,-0.316,-0.949,0.959,0.123,0.254,0.408,0.816,0.408,0.948,0.162,0.275,-0.117,0.702,0.702,0.089,0.967,0.237,-0.858,0.477,-0.191,scissors
24.307261,-0.129,0.715,0.687,0.401,0.803,-0.441,0.637,-0.65,-0.414,0.83,-0.473,0.296,-0.243,-0.199,0.949,0.979,-0.13,0.159,-0.08,-0.279,0.957,0.893,0.047,0.447,0.286,-0.94,-0.184,0.882,0.101,0.461,0.332,-0.93,-0.155,0.045,0.897,0.44,0.949,0.093,0.301,scissors
4.161456,-0.238,0.964,0.12,0.1,-0.911,-0.4,-0.226,-0.97,0.084,0.474,-0.86,0.19,-0.705,0.678,-0.208,0.796,-0.516,0.316,-0.923,0.229,-0.308,0.994,0.098,0.038,-0.886,-0.242,-0.395,0.935,0.217,0.281,-0.715,-0.296,-0.634,0.396,0.918,0.015,-0.2,-0.929,-0.311,scissors
26.959955,0.074,0.848,0.525,-0.092,-0.925,-0.37,-0.335,-0.906,-0.258,0.703,-0.322,0.634,-0.386,0.193,-0.902,0.79,-0.192,0.582,-0.76,0.228,-0.608,0.835,-0.167,0.524,-0.582,0.145,-0.8,0.999,-0.003,-0.051,-0.932,0.186,-0.311,0.221,0.904,0.365,-0.728,-0.485,-0.485,rock
6.621799,-0.169,0.633,0.755,-0.179,-0.851,-0.494,-0.013,-0.987,-0.158,0.89,-0.447,-0.087,-0.83,0.424,-0.362,0.989,0.112,0.099,-0.873,-0.0,-0.489,0.403,0.635,0.66,-0.61,-0.129,-0.782,0.154,0.695,0.702,-0.416,-0.191,-0.889,-0.136,0.942,0.308,-0.346,-0.865,-0.363,scissors
14.617234,-0.18,0.743,0.644,-0.29,-0.339,0.895,0.83,-0.133,-0.542,0.778,-0.549,0.306,0.649,0.022,-0.761,0.965,-0.215,0.148,0.52,0.322,-0.792,0.925,0.059,0.375,0.094,0.849,0.519,0.916,0.088,0.39,-0.065,0.758,0.649,0.078,0.921,0.382,-0.925,0.379,-0.021,scissors
